Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,bw3-1,Sewaddle,Pokémon,Grass,Noble Victories,1,Common,https://images.pokemontcg.io/bw3/1_hires.png,https://images.pokemontcg.io/bw3/1.png,0.1,0.25,1.0,0.16,,,,,,,0.2,0.55,1.0,0.46,,,,,,,,,,,
001.jpg,bw3-2,Swadloon,Pokémon,Grass,Noble Victories,2,Uncommon,https://images.pokemontcg.io/bw3/2_hires.png,https://images.pokemontcg.io/bw3/2.png,0.08,0.25,1.0,0.17,,,,,,,0.35,0.51,1.29,0.39,,,,,,,,,,,
002.jpg,bw3-3,Leavanny,Pokémon,Grass,Noble Victories,3,Rare Holo,https://images.pokemontcg.io/bw3/3_hires.png,https://images.pokemontcg.io/bw3/3.png,,,,,,0.55,0.95,2.99,0.91,0.56,0.65,0.71,5.15,0.61,0.48,,,,,,,,,,
003.jpg,bw3-4,Petilil,Pokémon,Grass,Noble Victories,4,Common,https://images.pokemontcg.io/bw3/4_hires.png,https://images.pokemontcg.io/bw3/4.png,0.1,0.25,1.0,0.16,,,,,,,0.2,0.56,0.99,0.68,0.67,,,,,,,,,,
004.jpg,bw3-5,Lilligant,Pokémon,Grass,Noble Victories,5,Rare,https://images.pokemontcg.io/bw3/5_hires.png,https://images.pokemontcg.io/bw3/5.png,0.26,0.53,1.29,0.46,0.5,,,,,,1.25,1.99,5.7,1.53,1.49,,,,,,,,,,
005.jpg,bw3-6,Dwebble,Pokémon,Grass,Noble Victories,6,Common,https://images.pokemontcg.io/bw3/6_hires.png,https://images.pokemontcg.io/bw3/6.png,0.1,0.29,1.0,0.18,,,,,,,0.34,0.38,2.99,0.54,,,,,,,,,,,
006.jpg,bw3-7,Crustle,Pokémon,Grass,Noble Victories,7,Uncommon,https://images.pokemontcg.io/bw3/7_hires.png,https://images.pokemontcg.io/bw3/7.png,0.19,0.44,1.0,0.2,0.67,,,,,,1.34,2.0,2.49,1.34,1.34,,,,,,,,,,
007.jpg,bw3-8,Karrablast,Pokémon,Grass,Noble Victories,8,Common,https://images.pokemontcg.io/bw3/8_hires.png,https://images.pokemontcg.io/bw3/8.png,0.1,0.25,1.0,0.22,,,,,,,0.19,0.47,0.99,0.4,,,,,,,,,,,
008.jpg,bw3-9,Foongus,Pokémon,Grass,Noble Victories,9,Common,https://images.pokemontcg.io/bw3/9_hires.png,https://images.pokemontcg.io/bw3/9.png,0.05,0.25,1.0,0.2,,,,,,,0.1,0.4,2.99,0.3,0.2,,,,,,,,,,
009.jpg,bw3-10,Amoonguss,Pokémon,Grass,Noble Victories,10,Uncommon,https://images.pokemontcg.io/bw3/10_hires.png,https://images.pokemontcg.io/bw3/10.png,0.2,0.31,1.11,0.3,,,,,,,0.89,1.04,2.0,0.86,,,,,,,,,,,
010.jpg,bw3-11,Shelmet,Pokémon,Grass,Noble Victories,11,Common,https://images.pokemontcg.io/bw3/11_hires.png,https://images.pokemontcg.io/bw3/11.png,0.07,0.25,1.0,0.11,0.23,,,,,,0.4,0.5,1.0,0.55,0.4,,,,,,,,,,
011.jpg,bw3-12,Accelgor,Pokémon,Grass,Noble Victories,12,Rare,https://images.pokemontcg.io/bw3/12_hires.png,https://images.pokemontcg.io/bw3/12.png,0.37,0.59,1.49,0.39,,,,,,,0.48,0.55,1.75,1.08,0.62,,,,,,,,,,
012.jpg,bw3-13,Virizion,Pokémon,Grass,Noble Victories,13,Rare Holo,https://images.pokemontcg.io/bw3/13_hires.png,https://images.pokemontcg.io/bw3/13.png,,,,,,0.95,1.49,6.25,1.42,0.95,0.55,1.25,1.75,0.97,0.99,,,,,,,,,,
