Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv3-1,Oddish,Pokémon,Grass,Obsidian Flames,1,Common,https://images.pokemontcg.io/sv3/1_hires.png,https://images.pokemontcg.io/sv3/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv3-2,Gloom,Pokémon,Grass,Obsidian Flames,2,Common,https://images.pokemontcg.io/sv3/2_hires.png,https://images.pokemontcg.io/sv3/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv3-3,Bellossom,Pokémon,Grass,Obsidian Flames,3,Uncommon,https://images.pokemontcg.io/sv3/3_hires.png,https://images.pokemontcg.io/sv3/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv3-4,Scyther,Pokémon,Grass,Obsidian Flames,4,Common,https://images.pokemontcg.io/sv3/4_hires.png,https://images.pokemontcg.io/sv3/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv3-5,Shuckle,Pokémon,Grass,Obsidian Flames,5,Common,https://images.pokemontcg.io/sv3/5_hires.png,https://images.pokemontcg.io/sv3/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv3-6,Surskit,Pokémon,Grass,Obsidian Flames,6,Common,https://images.pokemontcg.io/sv3/6_hires.png,https://images.pokemontcg.io/sv3/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv3-7,Masquerain,Pokémon,Grass,Obsidian Flames,7,Uncommon,https://images.pokemontcg.io/sv3/7_hires.png,https://images.pokemontcg.io/sv3/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv3-8,Combee,Pokémon,Grass,Obsidian Flames,8,Common,https://images.pokemontcg.io/sv3/8_hires.png,https://images.pokemontcg.io/sv3/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv3-9,Foongus,Pokémon,Grass,Obsidian Flames,9,Common,https://images.pokemontcg.io/sv3/9_hires.png,https://images.pokemontcg.io/sv3/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv3-10,Amoonguss,Pokémon,Grass,Obsidian Flames,10,Uncommon,https://images.pokemontcg.io/sv3/10_hires.png,https://images.pokemontcg.io/sv3/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,sv3-11,Phantump,Pokémon,Grass,Obsidian Flames,11,Common,https://images.pokemontcg.io/sv3/11_hires.png,https://images.pokemontcg.io/sv3/11.png,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,sv3-12,Trevenant,Pokémon,Grass,Obsidian Flames,12,Uncommon,https://images.pokemontcg.io/sv3/12_hires.png,https://images.pokemontcg.io/sv3/12.png,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,sv3-13,Rowlet,Pokémon,Grass,Obsidian Flames,13,Common,https://images.pokemontcg.io/sv3/13_hires.png,https://images.pokemontcg.io/sv3/13.png,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,sv3-14,Dartrix,Pokémon,Grass,Obsidian Flames,14,Uncommon,https://images.pokemontcg.io/sv3/14_hires.png,https://images.pokemontcg.io/sv3/14.png,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,sv3-15,Decidueye ex,Pokémon,Grass,Obsidian Flames,15,Double Rare,https://images.pokemontcg.io/sv3/15_hires.png,https://images.pokemontcg.io/sv3/15.png,,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,sv3-16,Bounsweet,Pokémon,Grass,Obsidian Flames,16,Common,https://images.pokemontcg.io/sv3/16_hires.png,https://images.pokemontcg.io/sv3/16.png,,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,sv3-17,Steenee,Pokémon,Grass,Obsidian Flames,17,Common,https://images.pokemontcg.io/sv3/17_hires.png,https://images.pokemontcg.io/sv3/17.png,,,,,,,,,,,,,,,,,,,,,,,,,
017.jpg,sv3-18,Tsareena,Pokémon,Grass,Obsidian Flames,18,Uncommon,https://images.pokemontcg.io/sv3/18_hires.png,https://images.pokemontcg.io/sv3/18.png,,,,,,,,,,,,,,,,,,,,,,,,,
018.jpg,sv3-19,Smoliv,Pokémon,Grass,Obsidian Flames,19,Common,https://images.pokemontcg.io/sv3/19_hires.png,https://images.pokemontcg.io/sv3/19.png,,,,,,,,,,,,,,,,,,,,,,,,,
019.jpg,sv3-20,Dolliv,Pokémon,Grass,Obsidian Flames,20,Common,https://images.pokemontcg.io/sv3/20_hires.png,https://images.pokemontcg.io/sv3/20.png,,,,,,,,,,,,,,,,,,,,,,,,,
020.jpg,sv3-21,Arboliva,Pokémon,Grass,Obsidian Flames,21,Uncommon,https://images.pokemontcg.io/sv3/21_hires.png,https://images.pokemontcg.io/sv3/21.png,,,,,,,,,,,,,,,,,,,,,,,,,
021.jpg,sv3-22,Toedscruel ex,Pokémon,Grass,Obsidian Flames,22,Double Rare,https://images.pokemontcg.io/sv3/22_hires.png,https://images.pokemontcg.io/sv3/22.png,,,,,,,,,,,,,,,,,,,,,,,,,
022.jpg,sv3-23,Capsakid,Pokémon,Grass,Obsidian Flames,23,Common,https://images.pokemontcg.io/sv3/23_hires.png,https://images.pokemontcg.io/sv3/23.png,,,,,,,,,,,,,,,,,,,,,,,,,
023.jpg,sv3-24,Capsakid,Pokémon,Grass,Obsidian Flames,24,Common,https://images.pokemontcg.io/sv3/24_hires.png,https://images.pokemontcg.io/sv3/24.png,,,,,,,,,,,,,,,,,,,,,,,,,
024.jpg,sv3-25,Scovillain,Pokémon,Grass,Obsidian Flames,25,Rare,https://images.pokemontcg.io/sv3/25_hires.png,https://images.pokemontcg.io/sv3/25.png,,,,,,,,,,,,,,,,,,,,,,,,,
025.jpg,sv3-26,Charmander,Pokémon,Fire,Obsidian Flames,26,Common,https://images.pokemontcg.io/sv3/26_hires.png,https://images.pokemontcg.io/sv3/26.png,,,,,,,,,,,,,,,,,,,,,,,,,
026.jpg,sv3-27,Charmeleon,Pokémon,Fire,Obsidian Flames,27,Uncommon,https://images.pokemontcg.io/sv3/27_hires.png,https://images.pokemontcg.io/sv3/27.png,,,,,,,,,,,,,,,,,,,,,,,,,
027.jpg,sv3-28,Vulpix,Pokémon,Fire,Obsidian Flames,28,Common,https://images.pokemontcg.io/sv3/28_hires.png,https://images.pokemontcg.io/sv3/28.png,,,,,,,,,,,,,,,,,,,,,,,,,
028.jpg,sv3-29,Ninetales,Pokémon,Fire,Obsidian Flames,29,Uncommon,https://images.pokemontcg.io/sv3/29_hires.png,https://images.pokemontcg.io/sv3/29.png,,,,,,,,,,,,,,,,,,,,,,,,,
029.jpg,sv3-30,Entei,Pokémon,Fire,Obsidian Flames,30,Rare,https://images.pokemontcg.io/sv3/30_hires.png,https://images.pokemontcg.io/sv3/30.png,,,,,,,,,,,,,,,,,,,,,,,,,
030.jpg,sv3-31,Numel,Pokémon,Fire,Obsidian Flames,31,Common,https://images.pokemontcg.io/sv3/31_hires.png,https://images.pokemontcg.io/sv3/31.png,,,,,,,,,,,,,,,,,,,,,,,,,
031.jpg,sv3-32,Camerupt,Pokémon,Fire,Obsidian Flames,32,Uncommon,https://images.pokemontcg.io/sv3/32_hires.png,https://images.pokemontcg.io/sv3/32.png,,,,,,,,,,,,,,,,,,,,,,,,,
032.jpg,sv3-33,Victini ex,Pokémon,Fire,Obsidian Flames,33,Double Rare,https://images.pokemontcg.io/sv3/33_hires.png,https://images.pokemontcg.io/sv3/33.png,,,,,,,,,,,,,,,,,,,,,,,,,
033.jpg,sv3-34,Darumaka,Pokémon,Fire,Obsidian Flames,34,Common,https://images.pokemontcg.io/sv3/34_hires.png,https://images.pokemontcg.io/sv3/34.png,,,,,,,,,,,,,,,,,,,,,,,,,
