Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,pop2-1,Entei,Pokémon,Fire,POP Series 2,1,Rare,https://images.pokemontcg.io/pop2/1_hires.png,https://images.pokemontcg.io/pop2/1.png,3.69,6.75,10.16,9.43,,4.0,10.0,20.0,18.39,,,,,,,,,,,,,,,,
001.jpg,pop2-2,Pidgeot,Pokémon,Colorless,POP Series 2,2,Rare,https://images.pokemontcg.io/pop2/2_hires.png,https://images.pokemontcg.io/pop2/2.png,0.99,3.99,32.0,13.66,,1.55,2.59,9.99,3.86,,,,,,,,,,,,,,,,
002.jpg,pop2-3,Raikou,Pokémon,Lightning,POP Series 2,3,Rare,https://images.pokemontcg.io/pop2/3_hires.png,https://images.pokemontcg.io/pop2/3.png,4.38,12.19,20.0,16.09,,4.86,13.99,24.18,20.99,,,,,,,,,,,,,,,,
003.jpg,pop2-4,Suicune,Pokémon,Water,POP Series 2,4,Rare,https://images.pokemontcg.io/pop2/4_hires.png,https://images.pokemontcg.io/pop2/4.png,3.75,4.74,10.83,16.08,,4.0,12.52,25.0,20.74,,,,,,,,,,,,,,,,
004.jpg,pop2-5,Tauros,Pokémon,Colorless,POP Series 2,5,Rare,https://images.pokemontcg.io/pop2/5_hires.png,https://images.pokemontcg.io/pop2/5.png,0.95,5.4,12.55,7.69,,0.87,1.73,4.27,2.7,,,,,,,,,,,,,,,,
005.jpg,pop2-6,Venusaur,Pokémon,Grass,POP Series 2,6,Rare,https://images.pokemontcg.io/pop2/6_hires.png,https://images.pokemontcg.io/pop2/6.png,3.49,4.43,11.83,10.0,,3.89,11.01,19.61,15.32,,,,,,,,,,,,,,,,
006.jpg,pop2-7,Ivysaur,Pokémon,Grass,POP Series 2,7,Uncommon,https://images.pokemontcg.io/pop2/7_hires.png,https://images.pokemontcg.io/pop2/7.png,24.63,29.26,45.0,28.52,,,,,,,,,,,,,,,,,,,,,
007.jpg,pop2-8,Mr. Briney's Compassion,Trainer,,POP Series 2,8,Uncommon,https://images.pokemontcg.io/pop2/8_hires.png,https://images.pokemontcg.io/pop2/8.png,6.99,7.0,7.24,7.0,,,,,,,,,,,,,,,,,,,,,
008.jpg,pop2-9,Multi Technical Machine 01,Trainer,,POP Series 2,9,Uncommon,https://images.pokemontcg.io/pop2/9_hires.png,https://images.pokemontcg.io/pop2/9.png,1.13,3.95,3.95,3.95,,,,,,,,,,,,,,,,,,,,,
009.jpg,pop2-10,Pokémon Park,Trainer,,POP Series 2,10,Uncommon,https://images.pokemontcg.io/pop2/10_hires.png,https://images.pokemontcg.io/pop2/10.png,1.59,9.98,9.99,7.07,,,,,,,,,,,,,,,,,,,,,
010.jpg,pop2-11,TV Reporter,Trainer,,POP Series 2,11,Uncommon,https://images.pokemontcg.io/pop2/11_hires.png,https://images.pokemontcg.io/pop2/11.png,1.0,1.96,2.99,2.05,,,,,,,,,,,,,,,,,,,,,
011.jpg,pop2-12,Bulbasaur,Pokémon,Grass,POP Series 2,12,Common,https://images.pokemontcg.io/pop2/12_hires.png,https://images.pokemontcg.io/pop2/12.png,4.16,5.78,8.0,5.85,,,,,,,,,,,,,,,,,,,,,
012.jpg,pop2-13,Cacnea,Pokémon,Grass,POP Series 2,13,Common,https://images.pokemontcg.io/pop2/13_hires.png,https://images.pokemontcg.io/pop2/13.png,0.38,0.53,1.0,0.57,,,,,,,,,,,,,,,,,,,,,
013.jpg,pop2-14,Luvdisc,Pokémon,Water,POP Series 2,14,Common,https://images.pokemontcg.io/pop2/14_hires.png,https://images.pokemontcg.io/pop2/14.png,0.44,0.93,1.99,0.95,,,,,,,,,,,,,,,,,,,,,
014.jpg,pop2-15,Phanpy,Pokémon,Fighting,POP Series 2,15,Common,https://images.pokemontcg.io/pop2/15_hires.png,https://images.pokemontcg.io/pop2/15.png,0.5,0.66,1.99,1.41,,,,,,,,,,,,,,,,,,,,,
015.jpg,pop2-16,Pikachu,Pokémon,Lightning,POP Series 2,16,Common,https://images.pokemontcg.io/pop2/16_hires.png,https://images.pokemontcg.io/pop2/16.png,6.26,9.0,24.75,8.21,,,,,,,,,,,,,,,,,,,,,
016.jpg,pop2-17,Celebi ex,Pokémon,Psychic,POP Series 2,17,Rare,https://images.pokemontcg.io/pop2/17_hires.png,https://images.pokemontcg.io/pop2/17.png,,,,,,17.39,25.77,99.99,35.91,,,,,,,,,,,,,,,,
