Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv2-1,Hoppip,Pokémon,Grass,Paldea Evolved,1,Common,https://images.pokemontcg.io/sv2/1_hires.png,https://images.pokemontcg.io/sv2/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv2-2,Skiploom,Pokémon,Grass,Paldea Evolved,2,Uncommon,https://images.pokemontcg.io/sv2/2_hires.png,https://images.pokemontcg.io/sv2/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv2-3,Jumpluff,Pokémon,Grass,Paldea Evolved,3,Rare,https://images.pokemontcg.io/sv2/3_hires.png,https://images.pokemontcg.io/sv2/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv2-4,Pineco,Pokémon,Grass,Paldea Evolved,4,Common,https://images.pokemontcg.io/sv2/4_hires.png,https://images.pokemontcg.io/sv2/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv2-5,Forretress ex,Pokémon,Grass,Paldea Evolved,5,Double Rare,https://images.pokemontcg.io/sv2/5_hires.png,https://images.pokemontcg.io/sv2/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv2-6,Heracross,Pokémon,Grass,Paldea Evolved,6,Uncommon,https://images.pokemontcg.io/sv2/6_hires.png,https://images.pokemontcg.io/sv2/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv2-7,Tropius,Pokémon,Grass,Paldea Evolved,7,Common,https://images.pokemontcg.io/sv2/7_hires.png,https://images.pokemontcg.io/sv2/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv2-8,Combee,Pokémon,Grass,Paldea Evolved,8,Common,https://images.pokemontcg.io/sv2/8_hires.png,https://images.pokemontcg.io/sv2/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv2-9,Vespiquen,Pokémon,Grass,Paldea Evolved,9,Uncommon,https://images.pokemontcg.io/sv2/9_hires.png,https://images.pokemontcg.io/sv2/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv2-10,Snover,Pokémon,Grass,Paldea Evolved,10,Common,https://images.pokemontcg.io/sv2/10_hires.png,https://images.pokemontcg.io/sv2/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,sv2-11,Abomasnow,Pokémon,Grass,Paldea Evolved,11,Rare,https://images.pokemontcg.io/sv2/11_hires.png,https://images.pokemontcg.io/sv2/11.png,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,sv2-12,Sprigatito,Pokémon,Grass,Paldea Evolved,12,Common,https://images.pokemontcg.io/sv2/12_hires.png,https://images.pokemontcg.io/sv2/12.png,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,sv2-13,Sprigatito,Pokémon,Grass,Paldea Evolved,13,Common,https://images.pokemontcg.io/sv2/13_hires.png,https://images.pokemontcg.io/sv2/13.png,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,sv2-14,Floragato,Pokémon,Grass,Paldea Evolved,14,Uncommon,https://images.pokemontcg.io/sv2/14_hires.png,https://images.pokemontcg.io/sv2/14.png,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,sv2-15,Meowscarada ex,Pokémon,Grass,Paldea Evolved,15,Double Rare,https://images.pokemontcg.io/sv2/15_hires.png,https://images.pokemontcg.io/sv2/15.png,,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,sv2-16,Tarountula,Pokémon,Grass,Paldea Evolved,16,Common,https://images.pokemontcg.io/sv2/16_hires.png,https://images.pokemontcg.io/sv2/16.png,,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,sv2-17,Tarountula,Pokémon,Grass,Paldea Evolved,17,Common,https://images.pokemontcg.io/sv2/17_hires.png,https://images.pokemontcg.io/sv2/17.png,,,,,,,,,,,,,,,,,,,,,,,,,
017.jpg,sv2-18,Spidops,Pokémon,Grass,Paldea Evolved,18,Uncommon,https://images.pokemontcg.io/sv2/18_hires.png,https://images.pokemontcg.io/sv2/18.png,,,,,,,,,,,,,,,,,,,,,,,,,
018.jpg,sv2-19,Nymble,Pokémon,Grass,Paldea Evolved,19,Common,https://images.pokemontcg.io/sv2/19_hires.png,https://images.pokemontcg.io/sv2/19.png,,,,,,,,,,,,,,,,,,,,,,,,,
019.jpg,sv2-20,Nymble,Pokémon,Grass,Paldea Evolved,20,Common,https://images.pokemontcg.io/sv2/20_hires.png,https://images.pokemontcg.io/sv2/20.png,,,,,,,,,,,,,,,,,,,,,,,,,
020.jpg,sv2-21,Lokix,Pokémon,Grass,Paldea Evolved,21,Rare,https://images.pokemontcg.io/sv2/21_hires.png,https://images.pokemontcg.io/sv2/21.png,,,,,,,,,,,,,,,,,,,,,,,,,
021.jpg,sv2-22,Bramblin,Pokémon,Grass,Paldea Evolved,22,Common,https://images.pokemontcg.io/sv2/22_hires.png,https://images.pokemontcg.io/sv2/22.png,,,,,,,,,,,,,,,,,,,,,,,,,
022.jpg,sv2-23,Bramblin,Pokémon,Grass,Paldea Evolved,23,Common,https://images.pokemontcg.io/sv2/23_hires.png,https://images.pokemontcg.io/sv2/23.png,,,,,,,,,,,,,,,,,,,,,,,,,
023.jpg,sv2-24,Brambleghast,Pokémon,Grass,Paldea Evolved,24,Uncommon,https://images.pokemontcg.io/sv2/24_hires.png,https://images.pokemontcg.io/sv2/24.png,,,,,,,,,,,,,,,,,,,,,,,,,
024.jpg,sv2-25,Rellor,Pokémon,Grass,Paldea Evolved,25,Common,https://images.pokemontcg.io/sv2/25_hires.png,https://images.pokemontcg.io/sv2/25.png,,,,,,,,,,,,,,,,,,,,,,,,,
025.jpg,sv2-26,Rellor,Pokémon,Grass,Paldea Evolved,26,Common,https://images.pokemontcg.io/sv2/26_hires.png,https://images.pokemontcg.io/sv2/26.png,,,,,,,,,,,,,,,,,,,,,,,,,
026.jpg,sv2-27,Wo-Chien ex,Pokémon,Grass,Paldea Evolved,27,Double Rare,https://images.pokemontcg.io/sv2/27_hires.png,https://images.pokemontcg.io/sv2/27.png,,,,,,,,,,,,,,,,,,,,,,,,,
027.jpg,sv2-28,Paldean Tauros,Pokémon,Fire,Paldea Evolved,28,Uncommon,https://images.pokemontcg.io/sv2/28_hires.png,https://images.pokemontcg.io/sv2/28.png,,,,,,,,,,,,,,,,,,,,,,,,,
028.jpg,sv2-29,Fletchinder,Pokémon,Fire,Paldea Evolved,29,Uncommon,https://images.pokemontcg.io/sv2/29_hires.png,https://images.pokemontcg.io/sv2/29.png,,,,,,,,,,,,,,,,,,,,,,,,,
029.jpg,sv2-30,Talonflame,Pokémon,Fire,Paldea Evolved,30,Uncommon,https://images.pokemontcg.io/sv2/30_hires.png,https://images.pokemontcg.io/sv2/30.png,,,,,,,,,,,,,,,,,,,,,,,,,
030.jpg,sv2-31,Litleo,Pokémon,Fire,Paldea Evolved,31,Common,https://images.pokemontcg.io/sv2/31_hires.png,https://images.pokemontcg.io/sv2/31.png,,,,,,,,,,,,,,,,,,,,,,,,,
