Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv4pt5-1,Pineco,Pokémon,Grass,Paldean Fates,1,Common,https://images.pokemontcg.io/sv4pt5/1_hires.png,https://images.pokemontcg.io/sv4pt5/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv4pt5-2,Forretress ex,Pokémon,Grass,Paldean Fates,2,Double Rare,https://images.pokemontcg.io/sv4pt5/2_hires.png,https://images.pokemontcg.io/sv4pt5/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv4pt5-3,Maractus,Pokémon,Grass,Paldean Fates,3,Common,https://images.pokemontcg.io/sv4pt5/3_hires.png,https://images.pokemontcg.io/sv4pt5/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv4pt5-4,Toedscool,Pokémon,Grass,Paldean Fates,4,Common,https://images.pokemontcg.io/sv4pt5/4_hires.png,https://images.pokemontcg.io/sv4pt5/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv4pt5-5,Toedscruel ex,Pokémon,Grass,Paldean Fates,5,Double Rare,https://images.pokemontcg.io/sv4pt5/5_hires.png,https://images.pokemontcg.io/sv4pt5/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv4pt5-6,Espathra ex,Pokémon,Grass,Paldean Fates,6,Double Rare,https://images.pokemontcg.io/sv4pt5/6_hires.png,https://images.pokemontcg.io/sv4pt5/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv4pt5-7,Charmander,Pokémon,Fire,Paldean Fates,7,Common,https://images.pokemontcg.io/sv4pt5/7_hires.png,https://images.pokemontcg.io/sv4pt5/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv4pt5-8,Charmeleon,Pokémon,Fire,Paldean Fates,8,Uncommon,https://images.pokemontcg.io/sv4pt5/8_hires.png,https://images.pokemontcg.io/sv4pt5/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv4pt5-9,Magmar,Pokémon,Fire,Paldean Fates,9,Common,https://images.pokemontcg.io/sv4pt5/9_hires.png,https://images.pokemontcg.io/sv4pt5/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv4pt5-10,Magmortar,Pokémon,Fire,Paldean Fates,10,Rare,https://images.pokemontcg.io/sv4pt5/10_hires.png,https://images.pokemontcg.io/sv4pt5/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,sv4pt5-11,Numel,Pokémon,Fire,Paldean Fates,11,Common,https://images.pokemontcg.io/sv4pt5/11_hires.png,https://images.pokemontcg.io/sv4pt5/11.png,,,,,,,,,,,,,,,,,,,,,,,,,
