Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,me3-1,Spinarak,Pokémon,Grass,Perfect Order,1,Common,https://images.scrydex.com/pokemon/me3-1/large,https://images.scrydex.com/pokemon/me3-1/small,60,,"[{""name"": ""Gooey Thread"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""During your opponent's next turn, the Defending Pokémon can't retreat.""}]",Gooey Thread,10,"During your opponent's next turn, the Defending Pokémon can't retreat.",Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,me3-2,Ariados,Pokémon,Grass,Perfect Order,2,Common,https://images.scrydex.com/pokemon/me3-2/large,https://images.scrydex.com/pokemon/me3-2/small,110,,"[{""name"": ""Poison Ring"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""50"", ""text"": ""Your opponent's Active Pokémon is now Poisoned. During your opponent's next turn, that Pokémon can't retreat.""}]",Poison Ring,50,"Your opponent's Active Pokémon is now Poisoned. During your opponent's next turn, that Pokémon can't retreat.",Fire:×2,,Colorless,Spinarak,,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,me3-3,Shaymin,Pokémon,Grass,Perfect Order,3,Uncommon,https://images.scrydex.com/pokemon/me3-3/large,https://images.scrydex.com/pokemon/me3-3/small,70,,"[{""name"": ""Send Flowers"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for an Energy card and attach it to 1 of your Benched Grass Pokémon. Then, shuffle your deck.""}, {""name"": ""Leaf Step"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}]",Send Flowers|Leaf Step,|30,"Search your deck for an Energy card and attach it to 1 of your Benched Grass Pokémon. Then, shuffle your deck.|",Fire:×2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,me3-4,Snivy,Pokémon,Grass,Perfect Order,4,Common,https://images.scrydex.com/pokemon/me3-4/large,https://images.scrydex.com/pokemon/me3-4/small,70,,"[{""name"": ""Reckless Charge"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""This Pokémon also does 10 damage to itself.""}]",Reckless Charge,30,This Pokémon also does 10 damage to itself.,Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,me3-5,Servine,Pokémon,Grass,Perfect Order,5,Common,https://images.scrydex.com/pokemon/me3-5/large,https://images.scrydex.com/pokemon/me3-5/small,100,,"[{""name"": ""Solar Cutter"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""40"", ""text"": """"}]",Solar Cutter,40,,Fire:×2,,Colorless,Snivy,,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,me3-6,Serperior,Pokémon,Grass,Perfect Order,6,Rare,https://images.scrydex.com/pokemon/me3-6/large,https://images.scrydex.com/pokemon/me3-6/small,160,,"[{""name"": ""Regal Command"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20×"", ""text"": ""This attack does 20 damage for each of your Pokémon in play.""}, {""name"": ""Solar Coiling"", ""cost"": [""Grass"", ""Grass"", ""Grass""], ""convertedEnergyCost"": 3, ""damage"": ""100+"", ""text"": ""If Rosa's Encouragement is in your discard pile, this attack does 150 more damage.""}]",Regal Command|Solar Coiling,20×|100+,"This attack does 20 damage for each of your Pokémon in play.|If Rosa's Encouragement is in your discard pile, this attack does 150 more damage.",Fire:×2,,Colorless__Colorless,Servine,,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,me3-7,Scatterbug,Pokémon,Grass,Perfect Order,7,Common,https://images.scrydex.com/pokemon/me3-7/large,https://images.scrydex.com/pokemon/me3-7/small,40,,"[{""name"": ""Gnaw"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Gnaw,20,,Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,me3-8,Spewpa,Pokémon,Grass,Perfect Order,8,Common,https://images.scrydex.com/pokemon/me3-8/large,https://images.scrydex.com/pokemon/me3-8/small,80,,"[{""name"": ""Hide"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.""}]",Hide,,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.",Fire:×2,,Colorless__Colorless__Colorless,Scatterbug,,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,me3-9,Vivillon,Pokémon,Grass,Perfect Order,9,Uncommon,https://images.scrydex.com/pokemon/me3-9/large,https://images.scrydex.com/pokemon/me3-9/small,120,"[{""name"": ""Grand Wing"", ""text"": ""Once during your turn, you may use this Ability. Your opponent shuffles their hand and puts it on the bottom of their deck. If they put any cards on the bottom of their deck in this way, they draw 4 cards."", ""type"": ""Ability""}]","[{""name"": ""Blow Through"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""60+"", ""text"": ""If a Stadium is in play, this attack does 60 more damage.""}]",Blow Through,60+,"If a Stadium is in play, this attack does 60 more damage.",Fire:×2,,Colorless,Spewpa,,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,me3-10,Rowlet,Pokémon,Grass,Perfect Order,10,Common,https://images.scrydex.com/pokemon/me3-10/large,https://images.scrydex.com/pokemon/me3-10/small,80,,"[{""name"": ""Find a Friend"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.""}, {""name"": ""Tackle"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": """"}]",Find a Friend|Tackle,|30,"Search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.|",Fire:×2,,Colorless__Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,me3-11,Dartrix,Pokémon,Grass,Perfect Order,11,Common,https://images.scrydex.com/pokemon/me3-11/large,https://images.scrydex.com/pokemon/me3-11/small,100,,"[{""name"": ""Leafage"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Feather Shot"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""Discard all Energy from this Pokémon, and this attack does 90 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Leafage|Feather Shot,20|,"|Discard all Energy from this Pokémon, and this attack does 90 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fire:×2,,Colorless__Colorless,Rowlet,,,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,me3-12,Decidueye ex,Pokémon,Grass,Perfect Order,12,Double Rare,https://images.scrydex.com/pokemon/me3-12/large,https://images.scrydex.com/pokemon/me3-12/small,320,"[{""name"": ""Sniper's Eye"", ""text"": ""If your opponent has exactly 4 cards in their hand, ignore all Colorless Energy in the costs of attacks used by this Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Crushing Arrow"", ""cost"": [""Grass"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""240"", ""text"": ""Discard an Energy from your opponent's Active Pokémon.""}]",Crushing Arrow,240,Discard an Energy from your opponent's Active Pokémon.,Fire:×2,,Colorless__Colorless,Dartrix,,,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,me3-13,Fletchinder,Pokémon,Fire,Perfect Order,13,Common,https://images.scrydex.com/pokemon/me3-13/large,https://images.scrydex.com/pokemon/me3-13/small,90,,"[{""name"": ""Flare"", ""cost"": [""Fire"", ""Fire""], ""convertedEnergyCost"": 2, ""damage"": ""60"", ""text"": """"}]",Flare,60,,Lightning:×2,Fighting:-30,Colorless,Fletchling,,,,,,,,,,,,,,,,,,,,,,,,,,,
