Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,me2-1,Oddish,Pokémon,Grass,Phantasmal Flames,1,Common,https://images.pokemontcg.io/me2/1_hires.png,https://images.pokemontcg.io/me2/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,me2-2,Gloom,Pokémon,Grass,Phantasmal Flames,2,Common,https://images.pokemontcg.io/me2/2_hires.png,https://images.pokemontcg.io/me2/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,me2-3,Vileplume,Pokémon,Grass,Phantasmal Flames,3,Rare,https://images.pokemontcg.io/me2/3_hires.png,https://images.pokemontcg.io/me2/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,me2-4,Mega Heracross ex,Pokémon,Grass,Phantasmal Flames,4,Double Rare,https://images.pokemontcg.io/me2/4_hires.png,https://images.pokemontcg.io/me2/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,me2-5,Lotad,Pokémon,Grass,Phantasmal Flames,5,Common,https://images.pokemontcg.io/me2/5_hires.png,https://images.pokemontcg.io/me2/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,me2-6,Lombre,Pokémon,Grass,Phantasmal Flames,6,Common,https://images.pokemontcg.io/me2/6_hires.png,https://images.pokemontcg.io/me2/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,me2-7,Ludicolo,Pokémon,Grass,Phantasmal Flames,7,Uncommon,https://images.pokemontcg.io/me2/7_hires.png,https://images.pokemontcg.io/me2/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,me2-8,Genesect,Pokémon,Grass,Phantasmal Flames,8,Rare,https://images.pokemontcg.io/me2/8_hires.png,https://images.pokemontcg.io/me2/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,me2-9,Nymble,Pokémon,Grass,Phantasmal Flames,9,Common,https://images.pokemontcg.io/me2/9_hires.png,https://images.pokemontcg.io/me2/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,me2-10,Lokix,Pokémon,Grass,Phantasmal Flames,10,Uncommon,https://images.pokemontcg.io/me2/10_hires.png,https://images.pokemontcg.io/me2/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,me2-11,Charmander,Pokémon,Fire,Phantasmal Flames,11,Common,https://images.pokemontcg.io/me2/11_hires.png,https://images.pokemontcg.io/me2/11.png,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,me2-12,Charmeleon,Pokémon,Fire,Phantasmal Flames,12,Common,https://images.pokemontcg.io/me2/12_hires.png,https://images.pokemontcg.io/me2/12.png,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,me2-13,Mega Charizard X ex,Pokémon,Fire,Phantasmal Flames,13,Double Rare,https://images.pokemontcg.io/me2/13_hires.png,https://images.pokemontcg.io/me2/13.png,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,me2-14,Moltres,Pokémon,Fire,Phantasmal Flames,14,Rare,https://images.pokemontcg.io/me2/14_hires.png,https://images.pokemontcg.io/me2/14.png,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,me2-15,Darumaka,Pokémon,Fire,Phantasmal Flames,15,Common,https://images.pokemontcg.io/me2/15_hires.png,https://images.pokemontcg.io/me2/15.png,,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,me2-16,Darmanitan,Pokémon,Fire,Phantasmal Flames,16,Uncommon,https://images.pokemontcg.io/me2/16_hires.png,https://images.pokemontcg.io/me2/16.png,,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,me2-17,Reshiram,Pokémon,Fire,Phantasmal Flames,17,Rare,https://images.pokemontcg.io/me2/17_hires.png,https://images.pokemontcg.io/me2/17.png,,,,,,,,,,,,,,,,,,,,,,,,,
017.jpg,me2-18,Oricorio ex,Pokémon,Fire,Phantasmal Flames,18,Double Rare,https://images.pokemontcg.io/me2/18_hires.png,https://images.pokemontcg.io/me2/18.png,,,,,,,,,,,,,,,,,,,,,,,,,
018.jpg,me2-19,Charcadet,Pokémon,Fire,Phantasmal Flames,19,Common,https://images.pokemontcg.io/me2/19_hires.png,https://images.pokemontcg.io/me2/19.png,,,,,,,,,,,,,,,,,,,,,,,,,
019.jpg,me2-20,Ceruledge,Pokémon,Fire,Phantasmal Flames,20,Uncommon,https://images.pokemontcg.io/me2/20_hires.png,https://images.pokemontcg.io/me2/20.png,,,,,,,,,,,,,,,,,,,,,,,,,
020.jpg,me2-21,Seel,Pokémon,Water,Phantasmal Flames,21,Common,https://images.pokemontcg.io/me2/21_hires.png,https://images.pokemontcg.io/me2/21.png,,,,,,,,,,,,,,,,,,,,,,,,,
021.jpg,me2-22,Dewgong,Pokémon,Water,Phantasmal Flames,22,Common,https://images.pokemontcg.io/me2/22_hires.png,https://images.pokemontcg.io/me2/22.png,,,,,,,,,,,,,,,,,,,,,,,,,
022.jpg,me2-23,Swinub,Pokémon,Water,Phantasmal Flames,23,Common,https://images.pokemontcg.io/me2/23_hires.png,https://images.pokemontcg.io/me2/23.png,,,,,,,,,,,,,,,,,,,,,,,,,
023.jpg,me2-24,Piloswine,Pokémon,Water,Phantasmal Flames,24,Common,https://images.pokemontcg.io/me2/24_hires.png,https://images.pokemontcg.io/me2/24.png,,,,,,,,,,,,,,,,,,,,,,,,,
