Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,bw8-1,Turtwig,Pokémon,Grass,Plasma Storm,1,Common,https://images.pokemontcg.io/bw8/1_hires.png,https://images.pokemontcg.io/bw8/1.png,0.08,0.28,999.99,0.27,0.08,,,,,,0.33,0.5,1.0,0.51,0.35,,,,,,,,,,
001.jpg,bw8-2,Grotle,Pokémon,Grass,Plasma Storm,2,Uncommon,https://images.pokemontcg.io/bw8/2_hires.png,https://images.pokemontcg.io/bw8/2.png,0.15,0.35,1.0,0.35,0.2,,,,,,0.5,0.55,4.71,0.89,0.54,,,,,,,,,,
002.jpg,bw8-3,Torterra,Pokémon,Grass,Plasma Storm,3,Rare,https://images.pokemontcg.io/bw8/3_hires.png,https://images.pokemontcg.io/bw8/3.png,1.75,2.73,9.49,1.46,2.13,,,,,,1.99,2.79,8.83,2.3,,,,,,,,,,,
003.jpg,bw8-4,Combee,Pokémon,Grass,Plasma Storm,4,Common,https://images.pokemontcg.io/bw8/4_hires.png,https://images.pokemontcg.io/bw8/4.png,0.05,0.25,1.0,0.24,0.15,,,,,,0.1,0.36,1.0,0.32,0.25,,,,,,,,,,
004.jpg,bw8-5,Vespiquen,Pokémon,Grass,Plasma Storm,5,Rare,https://images.pokemontcg.io/bw8/5_hires.png,https://images.pokemontcg.io/bw8/5.png,0.25,0.43,1.0,0.4,,,,,,,0.45,0.75,2.41,0.75,,,,,,,,,,,
005.jpg,bw8-6,Cherubi,Pokémon,Grass,Plasma Storm,6,Common,https://images.pokemontcg.io/bw8/6_hires.png,https://images.pokemontcg.io/bw8/6.png,0.05,0.25,1.0,0.22,0.13,,,,,,0.15,0.43,1.36,0.28,0.25,,,,,,,,,,
006.jpg,bw8-7,Cherrim,Pokémon,Grass,Plasma Storm,7,Rare,https://images.pokemontcg.io/bw8/7_hires.png,https://images.pokemontcg.io/bw8/7.png,0.4,0.59,4.05,0.47,0.47,,,,,,0.44,0.86,6.26,1.03,,,,,,,,,,,
007.jpg,bw8-8,Sewaddle,Pokémon,Grass,Plasma Storm,8,Common,https://images.pokemontcg.io/bw8/8_hires.png,https://images.pokemontcg.io/bw8/8.png,0.05,0.25,1.0,0.25,0.09,,,,,,0.23,0.42,1.0,0.23,0.23,,,,,,,,,,
008.jpg,bw8-9,Swadloon,Pokémon,Grass,Plasma Storm,9,Uncommon,https://images.pokemontcg.io/bw8/9_hires.png,https://images.pokemontcg.io/bw8/9.png,0.16,0.26,0.99,0.29,0.16,,,,,,0.25,0.46,1.25,0.33,0.42,,,,,,,,,,
009.jpg,bw8-10,Leavanny,Pokémon,Grass,Plasma Storm,10,Rare,https://images.pokemontcg.io/bw8/10_hires.png,https://images.pokemontcg.io/bw8/10.png,0.25,0.5,1.12,0.57,0.42,,,,,,0.5,0.55,1.99,0.45,0.51,,,,,,,,,,
010.jpg,bw8-11,Maractus,Pokémon,Grass,Plasma Storm,11,Uncommon,https://images.pokemontcg.io/bw8/11_hires.png,https://images.pokemontcg.io/bw8/11.png,0.14,0.25,1.0,0.28,0.14,,,,,,0.25,0.34,1.25,0.52,0.3,,,,,,,,,,
011.jpg,bw8-12,Foongus,Pokémon,Grass,Plasma Storm,12,Common,https://images.pokemontcg.io/bw8/12_hires.png,https://images.pokemontcg.io/bw8/12.png,0.01,0.25,1.0,0.17,0.08,,,,,,0.2,0.48,1.0,0.28,0.25,,,,,,,,,,
012.jpg,bw8-13,Amoonguss,Pokémon,Grass,Plasma Storm,13,Uncommon,https://images.pokemontcg.io/bw8/13_hires.png,https://images.pokemontcg.io/bw8/13.png,0.05,0.25,1.0,0.22,0.15,,,,,,0.1,0.46,2.6,0.33,,,,,,,,,,,
013.jpg,bw8-14,Moltres-EX,Pokémon,Fire,Plasma Storm,14,Rare Holo EX,https://images.pokemontcg.io/bw8/14_hires.png,https://images.pokemontcg.io/bw8/14.png,,,,,,2.98,5.47,14.27,5.48,2.98,,,,,,,,,,,,,,,
014.jpg,bw8-15,Chimchar,Pokémon,Fire,Plasma Storm,15,Common,https://images.pokemontcg.io/bw8/15_hires.png,https://images.pokemontcg.io/bw8/15.png,0.09,0.25,1.0,0.18,0.14,,,,,,0.25,0.41,0.79,0.43,0.25,,,,,,,,,,
015.jpg,bw8-16,Monferno,Pokémon,Fire,Plasma Storm,16,Uncommon,https://images.pokemontcg.io/bw8/16_hires.png,https://images.pokemontcg.io/bw8/16.png,0.04,0.27,1.0,0.24,0.25,,,,,,0.46,0.74,1.26,0.74,0.74,,,,,,,,,,
016.jpg,bw8-17,Infernape,Pokémon,Fire,Plasma Storm,17,Rare Holo,https://images.pokemontcg.io/bw8/17_hires.png,https://images.pokemontcg.io/bw8/17.png,,,,,,1.0,1.64,999.99,2.6,1.42,1.19,1.5,2.29,2.0,,,,,,,,,,,
017.jpg,bw8-18,Victini-EX,Pokémon,Fire,Plasma Storm,18,Rare Holo EX,https://images.pokemontcg.io/bw8/18_hires.png,https://images.pokemontcg.io/bw8/18.png,,,,,,2.78,5.64,9.57,6.51,5.98,,,,,,,,,,,,,,,
018.jpg,bw8-19,Pansear,Pokémon,Fire,Plasma Storm,19,Common,https://images.pokemontcg.io/bw8/19_hires.png,https://images.pokemontcg.io/bw8/19.png,0.09,0.25,1.0,0.19,0.11,,,,,,0.14,0.37,1.0,0.33,0.2,,,,,,,,,,
019.jpg,bw8-20,Simisear,Pokémon,Fire,Plasma Storm,20,Uncommon,https://images.pokemontcg.io/bw8/20_hires.png,https://images.pokemontcg.io/bw8/20.png,0.08,0.25,1.0,0.22,0.14,,,,,,0.24,0.46,1.81,0.36,0.24,,,,,,,,,,
020.jpg,bw8-21,Litwick,Pokémon,Fire,Plasma Storm,21,Common,https://images.pokemontcg.io/bw8/21_hires.png,https://images.pokemontcg.io/bw8/21.png,0.08,0.25,999.99,0.27,0.18,,,,,,0.2,0.49,1.0,0.3,0.3,,,,,,,,,,
021.jpg,bw8-22,Lampent,Pokémon,Fire,Plasma Storm,22,Uncommon,https://images.pokemontcg.io/bw8/22_hires.png,https://images.pokemontcg.io/bw8/22.png,0.1,0.25,1.0,0.18,0.13,,,,,,0.4,0.5,2.6,0.59,,,,,,,,,,,
022.jpg,bw8-23,Heatmor,Pokémon,Fire,Plasma Storm,23,Uncommon,https://images.pokemontcg.io/bw8/23_hires.png,https://images.pokemontcg.io/bw8/23.png,0.05,0.3,0.95,0.27,0.21,,,,,,0.35,0.5,1.25,0.49,0.45,,,,,,,,,,
023.jpg,bw8-24,Squirtle,Pokémon,Water,Plasma Storm,24,Common,https://images.pokemontcg.io/bw8/24_hires.png,https://images.pokemontcg.io/bw8/24.png,0.24,1.14,4.95,1.19,1.38,,,,,,1.44,3.98,15.0,3.8,,,,,,,,,,,
024.jpg,bw8-25,Articuno-EX,Pokémon,Water,Plasma Storm,25,Rare Holo EX,https://images.pokemontcg.io/bw8/25_hires.png,https://images.pokemontcg.io/bw8/25.png,,,,,,2.0,6.86,12.95,6.13,4.39,,,,,,,,,,,,,,,
025.jpg,bw8-26,Swinub,Pokémon,Water,Plasma Storm,26,Common,https://images.pokemontcg.io/bw8/26_hires.png,https://images.pokemontcg.io/bw8/26.png,0.1,0.26,0.99,0.27,0.15,,,,,,0.2,0.46,1.0,0.41,0.32,,,,,,,,,,
026.jpg,bw8-27,Piloswine,Pokémon,Water,Plasma Storm,27,Uncommon,https://images.pokemontcg.io/bw8/27_hires.png,https://images.pokemontcg.io/bw8/27.png,0.15,0.26,0.99,0.28,0.25,,,,,,0.45,0.5,1.25,0.55,,,,,,,,,,,
