Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,pl1-1,Ampharos,Pokémon,Lightning,Platinum,1,Rare Holo,https://images.pokemontcg.io/pl1/1_hires.png,https://images.pokemontcg.io/pl1/1.png,,,,,,4.75,6.6,10.44,8.57,,3.73,12.59,14.98,6.27,4.79,,,,,,,,,,
001.jpg,pl1-2,Blastoise,Pokémon,Water,Platinum,2,Rare Holo,https://images.pokemontcg.io/pl1/2_hires.png,https://images.pokemontcg.io/pl1/2.png,,,,,,9.4,13.5,15.19,15.07,,10.41,13.57,39.99,22.58,,,,,,,,,,,
002.jpg,pl1-3,Blaziken,Pokémon,Fire,Platinum,3,Rare Holo,https://images.pokemontcg.io/pl1/3_hires.png,https://images.pokemontcg.io/pl1/3.png,,,,,,4.85,6.52,11.49,7.56,,3.5,5.32,7.99,4.63,,,,,,,,,,,
003.jpg,pl1-4,Delcatty,Pokémon,Colorless,Platinum,4,Rare Holo,https://images.pokemontcg.io/pl1/4_hires.png,https://images.pokemontcg.io/pl1/4.png,,,,,,2.24,4.48,5.99,3.53,2.24,0.81,1.79,8.19,0.6,1.48,,,,,,,,,,
004.jpg,pl1-5,Dialga,Pokémon,Metal,Platinum,5,Rare Holo,https://images.pokemontcg.io/pl1/5_hires.png,https://images.pokemontcg.io/pl1/5.png,,,,,,4.99,12.0,39.97,6.44,,4.33,5.38,6.59,5.99,,,,,,,,,,,
005.jpg,pl1-6,Dialga,Pokémon,Metal,Platinum,6,Rare Holo,https://images.pokemontcg.io/pl1/6_hires.png,https://images.pokemontcg.io/pl1/6.png,,,,,,1.5,8.32,17.0,7.48,,2.98,3.25,18.96,5.0,2.48,,,,,,,,,,
006.jpg,pl1-7,Dialga G,Pokémon,Metal,Platinum,7,Rare Holo,https://images.pokemontcg.io/pl1/7_hires.png,https://images.pokemontcg.io/pl1/7.png,,,,,,5.98,6.89,7.95,7.25,,2.71,5.52,5.52,3.94,2.98,,,,,,,,,,
007.jpg,pl1-8,Gardevoir,Pokémon,Psychic,Platinum,8,Rare Holo,https://images.pokemontcg.io/pl1/8_hires.png,https://images.pokemontcg.io/pl1/8.png,,,,,,5.0,5.99,8.6,9.18,5.22,4.5,5.25,19.19,19.98,4.65,,,,,,,,,,
008.jpg,pl1-9,Giratina,Pokémon,Psychic,Platinum,9,Rare Holo,https://images.pokemontcg.io/pl1/9_hires.png,https://images.pokemontcg.io/pl1/9.png,,,,,,4.0,4.98,9999.0,7.76,,3.28,6.26,14.99,14.99,,,,,,,,,,,
009.jpg,pl1-10,Giratina,Pokémon,Psychic,Platinum,10,Rare Holo,https://images.pokemontcg.io/pl1/10_hires.png,https://images.pokemontcg.io/pl1/10.png,,,,,,6.99,12.89,18.79,19.26,,4.0,4.29,14.95,10.84,3.18,,,,,,,,,,
