Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh2-1,Caterpie,Pokémon,Grass,Rebel Clash,1,Common,https://images.pokemontcg.io/swsh2/1_hires.png,https://images.pokemontcg.io/swsh2/1.png,0.02,0.15,1.0,0.1,0.09,,,,,,0.13,0.29,1.0,0.26,,,,,,,,,,,
001.jpg,swsh2-2,Metapod,Pokémon,Grass,Rebel Clash,2,Uncommon,https://images.pokemontcg.io/swsh2/2_hires.png,https://images.pokemontcg.io/swsh2/2.png,0.02,0.2,1.0,0.08,0.07,,,,,,0.08,0.3,2.99,0.3,0.35,,,,,,,,,,
002.jpg,swsh2-3,Butterfree,Pokémon,Grass,Rebel Clash,3,Rare,https://images.pokemontcg.io/swsh2/3_hires.png,https://images.pokemontcg.io/swsh2/3.png,0.04,0.3,5.0,0.24,0.29,0.25,0.49,2.0,0.54,,0.5,0.74,3.0,0.74,0.59,,,,,,,,,,
003.jpg,swsh2-4,Scyther,Pokémon,Grass,Rebel Clash,4,Common,https://images.pokemontcg.io/swsh2/4_hires.png,https://images.pokemontcg.io/swsh2/4.png,0.03,0.2,1.0,0.1,0.15,,,,,,0.15,0.34,1.49,0.35,0.29,,,,,,,,,,
004.jpg,swsh2-5,Shuckle,Pokémon,Grass,Rebel Clash,5,Uncommon,https://images.pokemontcg.io/swsh2/5_hires.png,https://images.pokemontcg.io/swsh2/5.png,0.03,0.2,1.0,0.11,0.15,,,,,,0.1,0.32,1.07,0.24,0.18,,,,,,,,,,
005.jpg,swsh2-6,Heracross,Pokémon,Grass,Rebel Clash,6,Uncommon,https://images.pokemontcg.io/swsh2/6_hires.png,https://images.pokemontcg.io/swsh2/6.png,0.03,0.2,1.02,0.07,0.06,,,,,,0.13,0.3,1.25,0.26,0.24,,,,,,,,,,
006.jpg,swsh2-7,Lotad,Pokémon,Grass,Rebel Clash,7,Common,https://images.pokemontcg.io/swsh2/7_hires.png,https://images.pokemontcg.io/swsh2/7.png,0.01,0.15,5.0,0.05,0.05,,,,,,0.1,0.29,1.02,0.25,0.13,,,,,,,,,,
007.jpg,swsh2-8,Lombre,Pokémon,Grass,Rebel Clash,8,Uncommon,https://images.pokemontcg.io/swsh2/8_hires.png,https://images.pokemontcg.io/swsh2/8.png,0.05,0.25,1.05,0.26,0.27,,,,,,0.24,0.58,1.49,0.6,1.46,,,,,,,,,,
008.jpg,swsh2-9,Ludicolo,Pokémon,Grass,Rebel Clash,9,Rare,https://images.pokemontcg.io/swsh2/9_hires.png,https://images.pokemontcg.io/swsh2/9.png,0.1,0.29,5.0,0.24,0.24,,,,,,0.26,0.75,20.0,0.93,0.39,,,,,,,,,,
009.jpg,swsh2-10,Surskit,Pokémon,Grass,Rebel Clash,10,Common,https://images.pokemontcg.io/swsh2/10_hires.png,https://images.pokemontcg.io/swsh2/10.png,0.01,0.15,1.0,0.05,0.05,,,,,,0.1,0.26,1.02,0.21,0.2,,,,,,,,,,
