Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,pl2-1,Arcanine,Pokémon,Fire,Rising Rivals,1,Rare Holo,https://images.pokemontcg.io/pl2/1_hires.png,https://images.pokemontcg.io/pl2/1.png,,,,,,9.35,14.03,29.99,18.77,9.98,8.25,11.91,999.99,12.39,8.25,,,,,,,,,,
001.jpg,pl2-2,Bastiodon GL,Pokémon,Metal,Rising Rivals,2,Rare Holo,https://images.pokemontcg.io/pl2/2_hires.png,https://images.pokemontcg.io/pl2/2.png,,,,,,2.55,2.99,6.0,2.68,2.56,1.25,1.58,5.0,4.2,0.95,,,,,,,,,,
002.jpg,pl2-3,Darkrai G,Pokémon,Darkness,Rising Rivals,3,Rare Holo,https://images.pokemontcg.io/pl2/3_hires.png,https://images.pokemontcg.io/pl2/3.png,,,,,,8.95,9.98,23.0,12.21,8.95,8.8,19.37,19.97,18.75,,,,,,,,,,,
003.jpg,pl2-4,Floatzel GL,Pokémon,Water,Rising Rivals,4,Rare Holo,https://images.pokemontcg.io/pl2/4_hires.png,https://images.pokemontcg.io/pl2/4.png,,,,,,3.0,5.25,7.9,3.08,5.19,1.0,4.74,9.99,1.0,1.0,,,,,,,,,,
004.jpg,pl2-5,Flygon,Pokémon,Colorless,Rising Rivals,5,Rare Holo,https://images.pokemontcg.io/pl2/5_hires.png,https://images.pokemontcg.io/pl2/5.png,,,,,,5.55,14.99,25.99,12.68,18.99,8.99,12.77,18.63,12.98,13.16,,,,,,,,,,
005.jpg,pl2-6,Froslass GL,Pokémon,Water,Rising Rivals,6,Rare Holo,https://images.pokemontcg.io/pl2/6_hires.png,https://images.pokemontcg.io/pl2/6.png,,,,,,1.74,5.94,999.99,5.21,1.74,12.98,14.95,29.95,3.0,12.89,,,,,,,,,,
006.jpg,pl2-7,Jirachi,Pokémon,Metal,Rising Rivals,7,Rare Holo,https://images.pokemontcg.io/pl2/7_hires.png,https://images.pokemontcg.io/pl2/7.png,,,,,,8.49,11.29,29.99,15.63,19.95,4.86,8.08,12.03,7.25,,,,,,,,,,,
007.jpg,pl2-8,Lucario GL,Pokémon,Fighting,Rising Rivals,8,Rare Holo,https://images.pokemontcg.io/pl2/8_hires.png,https://images.pokemontcg.io/pl2/8.png,,,,,,4.0,7.0,99.99,7.42,6.29,3.38,15.0,20.95,3.38,,,,,,,,,,,
008.jpg,pl2-9,Luxray GL,Pokémon,Lightning,Rising Rivals,9,Rare Holo,https://images.pokemontcg.io/pl2/9_hires.png,https://images.pokemontcg.io/pl2/9.png,,,,,,6.8,10.48,19.98,11.67,6.8,7.91,11.0,24.99,9.67,11.0,,,,,,,,,,
009.jpg,pl2-10,Mismagius GL,Pokémon,Psychic,Rising Rivals,10,Rare Holo,https://images.pokemontcg.io/pl2/10_hires.png,https://images.pokemontcg.io/pl2/10.png,,,,,,2.99,4.58,10.0,4.06,4.99,1.12,1.6,2.99,2.36,,,,,,,,,,,
010.jpg,pl2-11,Rampardos GL,Pokémon,Fighting,Rising Rivals,11,Rare Holo,https://images.pokemontcg.io/pl2/11_hires.png,https://images.pokemontcg.io/pl2/11.png,,,,,,1.7,4.14,8.99,5.44,,1.05,2.0,6.21,2.68,,,,,,,,,,,
011.jpg,pl2-12,Roserade GL,Pokémon,Grass,Rising Rivals,12,Rare Holo,https://images.pokemontcg.io/pl2/12_hires.png,https://images.pokemontcg.io/pl2/12.png,,,,,,3.5,5.69,19.99,11.45,2.98,1.5,2.43,3.19,3.88,5.5,,,,,,,,,,
012.jpg,pl2-13,Shiftry,Pokémon,Darkness,Rising Rivals,13,Rare Holo,https://images.pokemontcg.io/pl2/13_hires.png,https://images.pokemontcg.io/pl2/13.png,,,,,,1.0,2.18,5.0,1.88,1.88,0.64,1.5,4.99,1.75,0.79,,,,,,,,,,
