Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,xy6-1,Exeggcute,Pokémon,Grass,Roaring Skies,1,Common,https://images.pokemontcg.io/xy6/1_hires.png,https://images.pokemontcg.io/xy6/1.png,0.01,0.23,999.99,0.15,0.04,,,,,,0.1,0.35,2.99,0.3,0.1,,,,,,,,,,
001.jpg,xy6-2,Exeggutor,Pokémon,Grass,Roaring Skies,2,Uncommon,https://images.pokemontcg.io/xy6/2_hires.png,https://images.pokemontcg.io/xy6/2.png,0.05,0.25,999.99,0.21,0.14,,,,,,0.12,0.33,4.0,0.28,0.21,,,,,,,,,,
002.jpg,xy6-3,Wurmple,Pokémon,Grass,Roaring Skies,3,Common,https://images.pokemontcg.io/xy6/3_hires.png,https://images.pokemontcg.io/xy6/3.png,0.05,0.25,999.99,0.11,0.06,,,,,,0.11,0.34,1.95,0.3,0.16,,,,,,,,,,
003.jpg,xy6-4,Silcoon,Pokémon,Grass,Roaring Skies,4,Uncommon,https://images.pokemontcg.io/xy6/4_hires.png,https://images.pokemontcg.io/xy6/4.png,0.04,0.25,1.0,0.13,0.14,,,,,,0.19,0.29,1.95,0.27,0.24,,,,,,,,,,
004.jpg,xy6-5,Beautifly,Pokémon,Grass,Roaring Skies,5,Rare Holo,https://images.pokemontcg.io/xy6/5_hires.png,https://images.pokemontcg.io/xy6/5.png,,,,,,0.1,0.58,2.69,0.46,0.4,0.25,0.56,2.33,0.33,0.49,,,,,,,,,,
005.jpg,xy6-6,Cascoon,Pokémon,Grass,Roaring Skies,6,Common,https://images.pokemontcg.io/xy6/6_hires.png,https://images.pokemontcg.io/xy6/6.png,0.04,0.24,999.99,0.11,0.15,,,,,,0.1,0.3,2.0,0.28,0.16,,,,,,,,,,
006.jpg,xy6-7,Dustox,Pokémon,Grass,Roaring Skies,7,Uncommon,https://images.pokemontcg.io/xy6/7_hires.png,https://images.pokemontcg.io/xy6/7.png,0.05,0.25,1.0,0.11,0.15,,,,,,0.1,0.35,2.0,0.33,,,,,,,,,,,
007.jpg,xy6-8,Dustox,Pokémon,Grass,Roaring Skies,8,Rare,https://images.pokemontcg.io/xy6/8_hires.png,https://images.pokemontcg.io/xy6/8.png,0.14,0.32,1.13,0.26,0.25,,,,,,0.3,0.53,2.99,0.54,0.34,,,,,,,,,,
008.jpg,xy6-9,Nincada,Pokémon,Grass,Roaring Skies,9,Common,https://images.pokemontcg.io/xy6/9_hires.png,https://images.pokemontcg.io/xy6/9.png,0.04,0.2,999.99,0.1,0.05,,,,,,0.05,0.3,5.25,0.17,0.12,,,,,,,,,,
009.jpg,xy6-10,Ninjask,Pokémon,Grass,Roaring Skies,10,Uncommon,https://images.pokemontcg.io/xy6/10_hires.png,https://images.pokemontcg.io/xy6/10.png,0.05,0.25,1.0,0.13,0.16,,,,,,0.08,0.32,1.95,0.32,0.25,,,,,,,,,,
010.jpg,xy6-11,Shedinja,Pokémon,Grass,Roaring Skies,11,Rare,https://images.pokemontcg.io/xy6/11_hires.png,https://images.pokemontcg.io/xy6/11.png,0.1,0.33,1.13,0.28,0.23,,,,,,0.25,0.5,2.0,0.41,0.29,,,,,,,,,,
011.jpg,xy6-12,Tropius,Pokémon,Grass,Roaring Skies,12,Uncommon,https://images.pokemontcg.io/xy6/12_hires.png,https://images.pokemontcg.io/xy6/12.png,0.04,0.25,1.0,0.14,0.15,,,,,,0.14,0.34,1.95,0.24,0.14,,,,,,,,,,
012.jpg,xy6-13,Victini,Pokémon,Fire,Roaring Skies,13,Rare,https://images.pokemontcg.io/xy6/13_hires.png,https://images.pokemontcg.io/xy6/13.png,0.07,0.34,1.19,0.24,0.15,,,,,,0.24,0.5,1.95,0.54,0.25,,,,,,,,,,
013.jpg,xy6-14,Fletchinder,Pokémon,Fire,Roaring Skies,14,Uncommon,https://images.pokemontcg.io/xy6/14_hires.png,https://images.pokemontcg.io/xy6/14.png,0.05,0.25,999.99,0.1,0.1,,,,,,0.15,0.38,1.95,0.26,0.25,,,,,,,,,,
014.jpg,xy6-15,Talonflame,Pokémon,Fire,Roaring Skies,15,Rare,https://images.pokemontcg.io/xy6/15_hires.png,https://images.pokemontcg.io/xy6/15.png,0.08,0.38,999.99,0.24,0.23,,,,,,0.23,0.5,1.95,0.5,0.25,,,,,,,,,,
015.jpg,xy6-16,Articuno,Pokémon,Water,Roaring Skies,16,Rare,https://images.pokemontcg.io/xy6/16_hires.png,https://images.pokemontcg.io/xy6/16.png,0.5,1.48,5.0,1.47,1.49,,,,,,1.0,2.68,5.0,3.1,1.93,,,,,,,,,,
016.jpg,xy6-17,Articuno,Pokémon,Water,Roaring Skies,17,Rare,https://images.pokemontcg.io/xy6/17_hires.png,https://images.pokemontcg.io/xy6/17.png,0.2,0.97,4.44,0.84,0.72,,,,,,0.98,1.4,12.59,2.54,0.84,,,,,,,,,,
017.jpg,xy6-18,Wingull,Pokémon,Water,Roaring Skies,18,Common,https://images.pokemontcg.io/xy6/18_hires.png,https://images.pokemontcg.io/xy6/18.png,0.04,0.22,999.99,0.08,0.04,,,,,,0.1,0.29,999.99,0.19,0.1,,,,,,,,,,
018.jpg,xy6-19,Pelipper,Pokémon,Water,Roaring Skies,19,Uncommon,https://images.pokemontcg.io/xy6/19_hires.png,https://images.pokemontcg.io/xy6/19.png,0.05,0.25,999.99,0.13,0.1,,,,,,0.1,0.33,1.95,0.28,0.23,,,,,,,,,,
019.jpg,xy6-20,Pikachu,Pokémon,Lightning,Roaring Skies,20,Common,https://images.pokemontcg.io/xy6/20_hires.png,https://images.pokemontcg.io/xy6/20.png,0.09,0.4,1.49,0.21,0.18,,,,,,0.43,0.98,999.99,0.92,0.56,,,,,,,,,,
020.jpg,xy6-21,Voltorb,Pokémon,Lightning,Roaring Skies,21,Common,https://images.pokemontcg.io/xy6/21_hires.png,https://images.pokemontcg.io/xy6/21.png,0.01,0.25,999.99,0.1,0.05,,,,,,0.05,0.35,1.95,0.31,0.25,,,,,,,,,,
021.jpg,xy6-22,Electrode,Pokémon,Lightning,Roaring Skies,22,Uncommon,https://images.pokemontcg.io/xy6/22_hires.png,https://images.pokemontcg.io/xy6/22.png,0.04,0.25,999.99,0.13,0.04,,,,,,0.1,0.36,1.95,0.27,0.2,,,,,,,,,,
022.jpg,xy6-23,Zapdos,Pokémon,Lightning,Roaring Skies,23,Rare,https://images.pokemontcg.io/xy6/23_hires.png,https://images.pokemontcg.io/xy6/23.png,0.25,0.5,2.69,0.33,0.38,,,,,,0.45,0.83,3.99,0.99,0.47,,,,,,,,,,
023.jpg,xy6-24,Electrike,Pokémon,Lightning,Roaring Skies,24,Common,https://images.pokemontcg.io/xy6/24_hires.png,https://images.pokemontcg.io/xy6/24.png,0.05,0.25,999.99,0.08,,,,,,,0.11,0.3,2.99,0.18,0.11,,,,,,,,,,
024.jpg,xy6-25,Manectric,Pokémon,Lightning,Roaring Skies,25,Uncommon,https://images.pokemontcg.io/xy6/25_hires.png,https://images.pokemontcg.io/xy6/25.png,0.05,0.25,999.99,0.11,0.16,,,,,,0.1,0.3,1.95,0.25,0.15,,,,,,,,,,
