Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex1-1,Aggron,Pokémon,Metal,Ruby & Sapphire,1,Rare Holo,https://images.pokemontcg.io/ex1/1_hires.png,https://images.pokemontcg.io/ex1/1.png,,,,,,8.45,11.09,49.99,15.67,,6.83,10.23,29.99,11.99,9.39,,,,,,,,,,
001.jpg,ex1-2,Beautifly,Pokémon,Grass,Ruby & Sapphire,2,Rare Holo,https://images.pokemontcg.io/ex1/2_hires.png,https://images.pokemontcg.io/ex1/2.png,,,,,,4.95,11.99,19.99,11.01,11.99,3.32,4.75,999.99,6.07,2.59,,,,,,,,,,
002.jpg,ex1-3,Blaziken,Pokémon,Fire,Ruby & Sapphire,3,Rare Holo,https://images.pokemontcg.io/ex1/3_hires.png,https://images.pokemontcg.io/ex1/3.png,,,,,,17.95,49.32,94.99,54.9,17.95,15.0,29.27,35.0,22.6,,,,,,,,,,,
003.jpg,ex1-4,Camerupt,Pokémon,Fire,Ruby & Sapphire,4,Rare Holo,https://images.pokemontcg.io/ex1/4_hires.png,https://images.pokemontcg.io/ex1/4.png,,,,,,5.0,5.87,15.57,11.13,5.75,2.99,6.25,10.83,7.2,,,,,,,,,,,
004.jpg,ex1-5,Delcatty,Pokémon,Colorless,Ruby & Sapphire,5,Rare Holo,https://images.pokemontcg.io/ex1/5_hires.png,https://images.pokemontcg.io/ex1/5.png,,,,,,9.18,12.89,19.0,12.58,,10.0,16.77,35.99,17.38,,,,,,,,,,,
005.jpg,ex1-6,Dustox,Pokémon,Grass,Ruby & Sapphire,6,Rare Holo,https://images.pokemontcg.io/ex1/6_hires.png,https://images.pokemontcg.io/ex1/6.png,,,,,,5.47,9.99,29.1,9.89,9.98,5.99,13.68,19.95,4.79,17.1,,,,,,,,,,
006.jpg,ex1-7,Gardevoir,Pokémon,Psychic,Ruby & Sapphire,7,Rare Holo,https://images.pokemontcg.io/ex1/7_hires.png,https://images.pokemontcg.io/ex1/7.png,,,,,,12.98,18.08,68.95,30.87,15.29,7.48,19.99,38.69,22.15,,,,,,,,,,,
007.jpg,ex1-8,Hariyama,Pokémon,Fighting,Ruby & Sapphire,8,Rare Holo,https://images.pokemontcg.io/ex1/8_hires.png,https://images.pokemontcg.io/ex1/8.png,,,,,,5.46,6.99,19.99,9.62,5.35,2.06,7.94,14.99,8.94,2.06,,,,,,,,,,
008.jpg,ex1-9,Manectric,Pokémon,Lightning,Ruby & Sapphire,9,Rare Holo,https://images.pokemontcg.io/ex1/9_hires.png,https://images.pokemontcg.io/ex1/9.png,,,,,,3.98,12.25,16.0,9.65,3.98,3.0,5.93,8.73,7.94,5.88,,,,,,,,,,
009.jpg,ex1-10,Mightyena,Pokémon,Darkness,Ruby & Sapphire,10,Rare Holo,https://images.pokemontcg.io/ex1/10_hires.png,https://images.pokemontcg.io/ex1/10.png,,,,,,5.94,8.67,21.29,9.47,11.11,3.19,8.79,14.99,3.64,3.21,,,,,,,,,,
010.jpg,ex1-11,Sceptile,Pokémon,Grass,Ruby & Sapphire,11,Rare Holo,https://images.pokemontcg.io/ex1/11_hires.png,https://images.pokemontcg.io/ex1/11.png,,,,,,15.95,32.99,49.0,33.6,,11.89,14.46,54.99,16.78,,,,,,,,,,,
011.jpg,ex1-12,Slaking,Pokémon,Colorless,Ruby & Sapphire,12,Rare Holo,https://images.pokemontcg.io/ex1/12_hires.png,https://images.pokemontcg.io/ex1/12.png,,,,,,4.91,8.37,19.99,7.48,7.58,5.78,9.94,24.97,2.95,,,,,,,,,,,
012.jpg,ex1-13,Swampert,Pokémon,Water,Ruby & Sapphire,13,Rare Holo,https://images.pokemontcg.io/ex1/13_hires.png,https://images.pokemontcg.io/ex1/13.png,,,,,,18.47,28.7,50.0,35.69,,21.14,29.98,35.99,32.98,25.0,,,,,,,,,,
013.jpg,ex1-14,Wailord,Pokémon,Water,Ruby & Sapphire,14,Rare Holo,https://images.pokemontcg.io/ex1/14_hires.png,https://images.pokemontcg.io/ex1/14.png,,,,,,5.95,9.99,23.69,16.22,,7.3,8.5,28.51,12.99,7.3,,,,,,,,,,
014.jpg,ex1-15,Blaziken,Pokémon,Fire,Ruby & Sapphire,15,Rare,https://images.pokemontcg.io/ex1/15_hires.png,https://images.pokemontcg.io/ex1/15.png,0.48,1.25,3.49,1.6,0.39,,,,,,10.85,13.27,19.15,15.88,,,,,,,,,,,
015.jpg,ex1-16,Breloom,Pokémon,Grass,Ruby & Sapphire,16,Rare,https://images.pokemontcg.io/ex1/16_hires.png,https://images.pokemontcg.io/ex1/16.png,0.3,0.94,4.99,1.5,,,,,,,4.49,7.75,29.99,8.43,4.49,,,,,,,,,,
