Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,svp-1,Sprigatito,Pokémon,Grass,Scarlet & Violet Black Star Promos,1,Promo,https://images.pokemontcg.io/svp/1_hires.png,https://images.pokemontcg.io/svp/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,svp-2,Fuecoco,Pokémon,Fire,Scarlet & Violet Black Star Promos,2,Promo,https://images.pokemontcg.io/svp/2_hires.png,https://images.pokemontcg.io/svp/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,svp-3,Quaxly,Pokémon,Water,Scarlet & Violet Black Star Promos,3,Promo,https://images.pokemontcg.io/svp/3_hires.png,https://images.pokemontcg.io/svp/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,svp-4,Mimikyu ex,Pokémon,Psychic,Scarlet & Violet Black Star Promos,4,Promo,https://images.pokemontcg.io/svp/4_hires.png,https://images.pokemontcg.io/svp/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,svp-5,Quaquaval,Pokémon,Water,Scarlet & Violet Black Star Promos,5,Promo,https://images.pokemontcg.io/svp/5_hires.png,https://images.pokemontcg.io/svp/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,svp-6,Pawmot,Pokémon,Lightning,Scarlet & Violet Black Star Promos,6,Promo,https://images.pokemontcg.io/svp/6_hires.png,https://images.pokemontcg.io/svp/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,svp-7,Hawlucha,Pokémon,Fighting,Scarlet & Violet Black Star Promos,7,Promo,https://images.pokemontcg.io/svp/7_hires.png,https://images.pokemontcg.io/svp/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,svp-8,Revavroom,Pokémon,Metal,Scarlet & Violet Black Star Promos,8,Promo,https://images.pokemontcg.io/svp/8_hires.png,https://images.pokemontcg.io/svp/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,svp-9,Spidops,Pokémon,Grass,Scarlet & Violet Black Star Promos,9,Promo,https://images.pokemontcg.io/svp/9_hires.png,https://images.pokemontcg.io/svp/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,svp-10,Espathra,Pokémon,Psychic,Scarlet & Violet Black Star Promos,10,Promo,https://images.pokemontcg.io/svp/10_hires.png,https://images.pokemontcg.io/svp/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
