Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sve-1,Basic Grass Energy,Energy,,Scarlet & Violet Energies,1,Common,https://images.pokemontcg.io/sve/1_hires.png,https://images.pokemontcg.io/sve/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sve-2,Basic Fire Energy,Energy,,Scarlet & Violet Energies,2,Common,https://images.pokemontcg.io/sve/2_hires.png,https://images.pokemontcg.io/sve/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sve-3,Basic Water Energy,Energy,,Scarlet & Violet Energies,3,Common,https://images.pokemontcg.io/sve/3_hires.png,https://images.pokemontcg.io/sve/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sve-4,Basic Lightning Energy,Energy,,Scarlet & Violet Energies,4,Common,https://images.pokemontcg.io/sve/4_hires.png,https://images.pokemontcg.io/sve/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sve-5,Basic Psychic Energy,Energy,,Scarlet & Violet Energies,5,Common,https://images.pokemontcg.io/sve/5_hires.png,https://images.pokemontcg.io/sve/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sve-6,Basic Fighting Energy,Energy,,Scarlet & Violet Energies,6,Common,https://images.pokemontcg.io/sve/6_hires.png,https://images.pokemontcg.io/sve/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sve-7,Basic Darkness Energy,Energy,,Scarlet & Violet Energies,7,Common,https://images.pokemontcg.io/sve/7_hires.png,https://images.pokemontcg.io/sve/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sve-8,Basic Metal Energy,Energy,,Scarlet & Violet Energies,8,Common,https://images.pokemontcg.io/sve/8_hires.png,https://images.pokemontcg.io/sve/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sve-9,Basic Grass Energy,Energy,,Scarlet & Violet Energies,9,Common,https://images.pokemontcg.io/sve/9_hires.png,https://images.pokemontcg.io/sve/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sve-10,Basic Fire Energy,Energy,,Scarlet & Violet Energies,10,Common,https://images.pokemontcg.io/sve/10_hires.png,https://images.pokemontcg.io/sve/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,sve-11,Basic Water Energy,Energy,,Scarlet & Violet Energies,11,Common,https://images.pokemontcg.io/sve/11_hires.png,https://images.pokemontcg.io/sve/11.png,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,sve-12,Basic Lightning Energy,Energy,,Scarlet & Violet Energies,12,Common,https://images.pokemontcg.io/sve/12_hires.png,https://images.pokemontcg.io/sve/12.png,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,sve-13,Basic Psychic Energy,Energy,,Scarlet & Violet Energies,13,Common,https://images.pokemontcg.io/sve/13_hires.png,https://images.pokemontcg.io/sve/13.png,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,sve-14,Basic Fighting Energy,Energy,,Scarlet & Violet Energies,14,Common,https://images.pokemontcg.io/sve/14_hires.png,https://images.pokemontcg.io/sve/14.png,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,sve-15,Basic Darkness Energy,Energy,,Scarlet & Violet Energies,15,Common,https://images.pokemontcg.io/sve/15_hires.png,https://images.pokemontcg.io/sve/15.png,,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,sve-16,Basic Metal Energy,Energy,,Scarlet & Violet Energies,16,Common,https://images.pokemontcg.io/sve/16_hires.png,https://images.pokemontcg.io/sve/16.png,,,,,,,,,,,,,,,,,,,,,,,,,
