Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv1-1,Pineco,Pokémon,Grass,Scarlet & Violet,1,Common,https://images.pokemontcg.io/sv1/1_hires.png,https://images.pokemontcg.io/sv1/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv1-2,Heracross,Pokémon,Grass,Scarlet & Violet,2,Uncommon,https://images.pokemontcg.io/sv1/2_hires.png,https://images.pokemontcg.io/sv1/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv1-3,Shroomish,Pokémon,Grass,Scarlet & Violet,3,Common,https://images.pokemontcg.io/sv1/3_hires.png,https://images.pokemontcg.io/sv1/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv1-4,Breloom,Pokémon,Grass,Scarlet & Violet,4,Uncommon,https://images.pokemontcg.io/sv1/4_hires.png,https://images.pokemontcg.io/sv1/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv1-5,Cacnea,Pokémon,Grass,Scarlet & Violet,5,Common,https://images.pokemontcg.io/sv1/5_hires.png,https://images.pokemontcg.io/sv1/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv1-6,Cacturne,Pokémon,Grass,Scarlet & Violet,6,Uncommon,https://images.pokemontcg.io/sv1/6_hires.png,https://images.pokemontcg.io/sv1/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv1-7,Tropius,Pokémon,Grass,Scarlet & Violet,7,Common,https://images.pokemontcg.io/sv1/7_hires.png,https://images.pokemontcg.io/sv1/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv1-8,Scatterbug,Pokémon,Grass,Scarlet & Violet,8,Common,https://images.pokemontcg.io/sv1/8_hires.png,https://images.pokemontcg.io/sv1/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv1-9,Spewpa,Pokémon,Grass,Scarlet & Violet,9,Common,https://images.pokemontcg.io/sv1/9_hires.png,https://images.pokemontcg.io/sv1/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv1-10,Vivillon,Pokémon,Grass,Scarlet & Violet,10,Uncommon,https://images.pokemontcg.io/sv1/10_hires.png,https://images.pokemontcg.io/sv1/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,sv1-11,Skiddo,Pokémon,Grass,Scarlet & Violet,11,Common,https://images.pokemontcg.io/sv1/11_hires.png,https://images.pokemontcg.io/sv1/11.png,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,sv1-12,Gogoat,Pokémon,Grass,Scarlet & Violet,12,Common,https://images.pokemontcg.io/sv1/12_hires.png,https://images.pokemontcg.io/sv1/12.png,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,sv1-13,Sprigatito,Pokémon,Grass,Scarlet & Violet,13,Common,https://images.pokemontcg.io/sv1/13_hires.png,https://images.pokemontcg.io/sv1/13.png,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,sv1-14,Floragato,Pokémon,Grass,Scarlet & Violet,14,Uncommon,https://images.pokemontcg.io/sv1/14_hires.png,https://images.pokemontcg.io/sv1/14.png,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,sv1-15,Meowscarada,Pokémon,Grass,Scarlet & Violet,15,Rare,https://images.pokemontcg.io/sv1/15_hires.png,https://images.pokemontcg.io/sv1/15.png,,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,sv1-16,Tarountula,Pokémon,Grass,Scarlet & Violet,16,Common,https://images.pokemontcg.io/sv1/16_hires.png,https://images.pokemontcg.io/sv1/16.png,,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,sv1-17,Tarountula,Pokémon,Grass,Scarlet & Violet,17,Common,https://images.pokemontcg.io/sv1/17_hires.png,https://images.pokemontcg.io/sv1/17.png,,,,,,,,,,,,,,,,,,,,,,,,,
017.jpg,sv1-18,Tarountula,Pokémon,Grass,Scarlet & Violet,18,Common,https://images.pokemontcg.io/sv1/18_hires.png,https://images.pokemontcg.io/sv1/18.png,,,,,,,,,,,,,,,,,,,,,,,,,
018.jpg,sv1-19,Spidops ex,Pokémon,Grass,Scarlet & Violet,19,Double Rare,https://images.pokemontcg.io/sv1/19_hires.png,https://images.pokemontcg.io/sv1/19.png,,,,,,,,,,,,,,,,,,,,,,,,,
019.jpg,sv1-20,Smoliv,Pokémon,Grass,Scarlet & Violet,20,Common,https://images.pokemontcg.io/sv1/20_hires.png,https://images.pokemontcg.io/sv1/20.png,,,,,,,,,,,,,,,,,,,,,,,,,
020.jpg,sv1-21,Smoliv,Pokémon,Grass,Scarlet & Violet,21,Common,https://images.pokemontcg.io/sv1/21_hires.png,https://images.pokemontcg.io/sv1/21.png,,,,,,,,,,,,,,,,,,,,,,,,,
021.jpg,sv1-22,Dolliv,Pokémon,Grass,Scarlet & Violet,22,Common,https://images.pokemontcg.io/sv1/22_hires.png,https://images.pokemontcg.io/sv1/22.png,,,,,,,,,,,,,,,,,,,,,,,,,
022.jpg,sv1-23,Arboliva,Pokémon,Grass,Scarlet & Violet,23,Rare,https://images.pokemontcg.io/sv1/23_hires.png,https://images.pokemontcg.io/sv1/23.png,,,,,,,,,,,,,,,,,,,,,,,,,
023.jpg,sv1-24,Toedscool,Pokémon,Grass,Scarlet & Violet,24,Common,https://images.pokemontcg.io/sv1/24_hires.png,https://images.pokemontcg.io/sv1/24.png,,,,,,,,,,,,,,,,,,,,,,,,,
024.jpg,sv1-25,Toedscool,Pokémon,Grass,Scarlet & Violet,25,Common,https://images.pokemontcg.io/sv1/25_hires.png,https://images.pokemontcg.io/sv1/25.png,,,,,,,,,,,,,,,,,,,,,,,,,
025.jpg,sv1-26,Toedscruel,Pokémon,Grass,Scarlet & Violet,26,Uncommon,https://images.pokemontcg.io/sv1/26_hires.png,https://images.pokemontcg.io/sv1/26.png,,,,,,,,,,,,,,,,,,,,,,,,,
026.jpg,sv1-27,Capsakid,Pokémon,Grass,Scarlet & Violet,27,Common,https://images.pokemontcg.io/sv1/27_hires.png,https://images.pokemontcg.io/sv1/27.png,,,,,,,,,,,,,,,,,,,,,,,,,
027.jpg,sv1-28,Capsakid,Pokémon,Grass,Scarlet & Violet,28,Common,https://images.pokemontcg.io/sv1/28_hires.png,https://images.pokemontcg.io/sv1/28.png,,,,,,,,,,,,,,,,,,,,,,,,,
028.jpg,sv1-29,Scovillain,Pokémon,Grass,Scarlet & Violet,29,Uncommon,https://images.pokemontcg.io/sv1/29_hires.png,https://images.pokemontcg.io/sv1/29.png,,,,,,,,,,,,,,,,,,,,,,,,,
029.jpg,sv1-30,Growlithe,Pokémon,Fire,Scarlet & Violet,30,Common,https://images.pokemontcg.io/sv1/30_hires.png,https://images.pokemontcg.io/sv1/30.png,,,,,,,,,,,,,,,,,,,,,,,,,
030.jpg,sv1-31,Growlithe,Pokémon,Fire,Scarlet & Violet,31,Common,https://images.pokemontcg.io/sv1/31_hires.png,https://images.pokemontcg.io/sv1/31.png,,,,,,,,,,,,,,,,,,,,,,,,,
031.jpg,sv1-32,Arcanine ex,Pokémon,Fire,Scarlet & Violet,32,Double Rare,https://images.pokemontcg.io/sv1/32_hires.png,https://images.pokemontcg.io/sv1/32.png,,,,,,,,,,,,,,,,,,,,,,,,,
032.jpg,sv1-33,Houndour,Pokémon,Fire,Scarlet & Violet,33,Common,https://images.pokemontcg.io/sv1/33_hires.png,https://images.pokemontcg.io/sv1/33.png,,,,,,,,,,,,,,,,,,,,,,,,,
033.jpg,sv1-34,Houndoom,Pokémon,Fire,Scarlet & Violet,34,Common,https://images.pokemontcg.io/sv1/34_hires.png,https://images.pokemontcg.io/sv1/34.png,,,,,,,,,,,,,,,,,,,,,,,,,
034.jpg,sv1-35,Torkoal,Pokémon,Fire,Scarlet & Violet,35,Uncommon,https://images.pokemontcg.io/sv1/35_hires.png,https://images.pokemontcg.io/sv1/35.png,,,,,,,,,,,,,,,,,,,,,,,,,
035.jpg,sv1-36,Fuecoco,Pokémon,Fire,Scarlet & Violet,36,Common,https://images.pokemontcg.io/sv1/36_hires.png,https://images.pokemontcg.io/sv1/36.png,,,,,,,,,,,,,,,,,,,,,,,,,
036.jpg,sv1-37,Crocalor,Pokémon,Fire,Scarlet & Violet,37,Uncommon,https://images.pokemontcg.io/sv1/37_hires.png,https://images.pokemontcg.io/sv1/37.png,,,,,,,,,,,,,,,,,,,,,,,,,
037.jpg,sv1-38,Skeledirge,Pokémon,Fire,Scarlet & Violet,38,Rare,https://images.pokemontcg.io/sv1/38_hires.png,https://images.pokemontcg.io/sv1/38.png,,,,,,,,,,,,,,,,,,,,,,,,,
038.jpg,sv1-39,Charcadet,Pokémon,Fire,Scarlet & Violet,39,Common,https://images.pokemontcg.io/sv1/39_hires.png,https://images.pokemontcg.io/sv1/39.png,,,,,,,,,,,,,,,,,,,,,,,,,
039.jpg,sv1-40,Charcadet,Pokémon,Fire,Scarlet & Violet,40,Common,https://images.pokemontcg.io/sv1/40_hires.png,https://images.pokemontcg.io/sv1/40.png,,,,,,,,,,,,,,,,,,,,,,,,,
040.jpg,sv1-41,Armarouge,Pokémon,Fire,Scarlet & Violet,41,Rare,https://images.pokemontcg.io/sv1/41_hires.png,https://images.pokemontcg.io/sv1/41.png,,,,,,,,,,,,,,,,,,,,,,,,,
041.jpg,sv1-42,Slowpoke,Pokémon,Water,Scarlet & Violet,42,Common,https://images.pokemontcg.io/sv1/42_hires.png,https://images.pokemontcg.io/sv1/42.png,,,,,,,,,,,,,,,,,,,,,,,,,
