Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,dp3-1,Ampharos,Pokémon,Lightning,Secret Wonders,1,Rare Holo,https://images.pokemontcg.io/dp3/1_hires.png,https://images.pokemontcg.io/dp3/1.png,,,,,,5.63,13.07,19.99,16.54,,3.0,8.58,19.99,8.7,8.78,,,,,,,,,,
001.jpg,dp3-2,Blastoise,Pokémon,Water,Secret Wonders,2,Rare Holo,https://images.pokemontcg.io/dp3/2_hires.png,https://images.pokemontcg.io/dp3/2.png,,,,,,12.0,16.92,29.99,24.86,,14.93,19.97,47.66,18.6,8.47,,,,,,,,,,
002.jpg,dp3-3,Charizard,Pokémon,Fire,Secret Wonders,3,Rare Holo,https://images.pokemontcg.io/dp3/3_hires.png,https://images.pokemontcg.io/dp3/3.png,,,,,,45.06,53.48,219.99,146.33,38.99,48.95,59.98,99.95,102.54,35.99,,,,,,,,,,
003.jpg,dp3-4,Entei,Pokémon,Fire,Secret Wonders,4,Rare Holo,https://images.pokemontcg.io/dp3/4_hires.png,https://images.pokemontcg.io/dp3/4.png,,,,,,4.62,8.99,19.99,9.45,4.62,6.0,7.13,17.13,8.72,,,,,,,,,,,
004.jpg,dp3-5,Flygon,Pokémon,Fighting,Secret Wonders,5,Rare Holo,https://images.pokemontcg.io/dp3/5_hires.png,https://images.pokemontcg.io/dp3/5.png,,,,,,4.99,7.34,19.99,8.36,4.75,2.5,5.76,12.49,4.93,5.76,,,,,,,,,,
005.jpg,dp3-6,Gallade,Pokémon,Fighting,Secret Wonders,6,Rare Holo,https://images.pokemontcg.io/dp3/6_hires.png,https://images.pokemontcg.io/dp3/6.png,,,,,,3.7,5.16,9.99,4.85,5.29,4.49,5.95,8.16,4.65,,,,,,,,,,,
006.jpg,dp3-7,Gardevoir,Pokémon,Psychic,Secret Wonders,7,Rare Holo,https://images.pokemontcg.io/dp3/7_hires.png,https://images.pokemontcg.io/dp3/7.png,,,,,,12.0,15.59,19.15,13.8,,11.0,12.98,17.96,16.31,,,,,,,,,,,
007.jpg,dp3-8,Gastrodon East Sea,Pokémon,Water,Secret Wonders,8,Rare Holo,https://images.pokemontcg.io/dp3/8_hires.png,https://images.pokemontcg.io/dp3/8.png,,,,,,1.75,3.21,15.99,7.16,,1.18,5.23,10.49,2.65,5.23,,,,,,,,,,
008.jpg,dp3-9,Gastrodon West Sea,Pokémon,Fighting,Secret Wonders,9,Rare Holo,https://images.pokemontcg.io/dp3/9_hires.png,https://images.pokemontcg.io/dp3/9.png,,,,,,2.32,2.99,29.97,3.57,1.01,1.29,2.5,6.99,1.29,2.36,,,,,,,,,,
009.jpg,dp3-10,Ho-Oh,Pokémon,Fire,Secret Wonders,10,Rare Holo,https://images.pokemontcg.io/dp3/10_hires.png,https://images.pokemontcg.io/dp3/10.png,,,,,,5.3,12.0,29.99,25.17,,9.0,9.6,17.99,17.94,9.45,,,,,,,,,,
010.jpg,dp3-11,Jumpluff,Pokémon,Grass,Secret Wonders,11,Rare Holo,https://images.pokemontcg.io/dp3/11_hires.png,https://images.pokemontcg.io/dp3/11.png,,,,,,1.91,3.2,10.97,3.97,1.49,0.82,3.18,9.95,0.75,,,,,,,,,,,
011.jpg,dp3-12,Lickilicky,Pokémon,Colorless,Secret Wonders,12,Rare Holo,https://images.pokemontcg.io/dp3/12_hires.png,https://images.pokemontcg.io/dp3/12.png,,,,,,1.55,3.98,7.98,2.92,,0.8,4.24,5.99,1.9,0.98,,,,,,,,,,
012.jpg,dp3-13,Ludicolo,Pokémon,Water,Secret Wonders,13,Rare Holo,https://images.pokemontcg.io/dp3/13_hires.png,https://images.pokemontcg.io/dp3/13.png,,,,,,3.99,5.25,8.88,4.68,0.8,0.97,2.66,8.99,3.38,4.49,,,,,,,,,,
013.jpg,dp3-14,Lugia,Pokémon,Colorless,Secret Wonders,14,Rare Holo,https://images.pokemontcg.io/dp3/14_hires.png,https://images.pokemontcg.io/dp3/14.png,,,,,,20.85,39.95,140.4,33.0,,12.93,22.2,30.0,35.0,9.58,,,,,,,,,,
014.jpg,dp3-15,Mew,Pokémon,Psychic,Secret Wonders,15,Rare Holo,https://images.pokemontcg.io/dp3/15_hires.png,https://images.pokemontcg.io/dp3/15.png,,,,,,19.99,37.62,69.97,33.54,28.47,11.69,16.6,25.0,24.35,24.23,,,,,,,,,,
015.jpg,dp3-16,Raikou,Pokémon,Lightning,Secret Wonders,16,Rare Holo,https://images.pokemontcg.io/dp3/16_hires.png,https://images.pokemontcg.io/dp3/16.png,,,,,,3.99,13.0,26.98,8.38,,5.88,6.97,29.99,23.95,,,,,,,,,,,
016.jpg,dp3-17,Roserade,Pokémon,Grass,Secret Wonders,17,Rare Holo,https://images.pokemontcg.io/dp3/17_hires.png,https://images.pokemontcg.io/dp3/17.png,,,,,,2.75,3.15,5.15,3.46,,3.65,4.45,6.97,2.65,4.45,,,,,,,,,,
017.jpg,dp3-18,Salamence,Pokémon,Colorless,Secret Wonders,18,Rare Holo,https://images.pokemontcg.io/dp3/18_hires.png,https://images.pokemontcg.io/dp3/18.png,,,,,,4.0,8.0,9.0,7.29,,1.99,3.2,5.79,4.65,2.15,,,,,,,,,,
018.jpg,dp3-19,Suicune,Pokémon,Water,Secret Wonders,19,Rare Holo,https://images.pokemontcg.io/dp3/19_hires.png,https://images.pokemontcg.io/dp3/19.png,,,,,,5.7,9.1,23.99,11.52,11.99,7.69,8.0,22.33,22.34,,,,,,,,,,,
019.jpg,dp3-20,Venusaur,Pokémon,Grass,Secret Wonders,20,Rare Holo,https://images.pokemontcg.io/dp3/20_hires.png,https://images.pokemontcg.io/dp3/20.png,,,,,,8.45,12.73,24.98,16.38,19.99,11.0,11.7,89.98,9.79,,,,,,,,,,,
020.jpg,dp3-21,Absol,Pokémon,Darkness,Secret Wonders,21,Rare,https://images.pokemontcg.io/dp3/21_hires.png,https://images.pokemontcg.io/dp3/21.png,0.99,1.94,7.52,1.94,1.56,,,,,,2.17,3.18,7.27,3.65,,,,,,,,,,,
021.jpg,dp3-22,Arcanine,Pokémon,Fire,Secret Wonders,22,Rare,https://images.pokemontcg.io/dp3/22_hires.png,https://images.pokemontcg.io/dp3/22.png,0.45,1.35,5.33,2.78,1.79,,,,,,7.75,13.03,30.51,11.41,,,,,,,,,,,
022.jpg,dp3-23,Banette,Pokémon,Psychic,Secret Wonders,23,Rare,https://images.pokemontcg.io/dp3/23_hires.png,https://images.pokemontcg.io/dp3/23.png,0.5,0.75,2.45,0.65,,,,,,,0.96,1.28,2.99,1.76,,,,,,,,,,,
023.jpg,dp3-24,Dugtrio,Pokémon,Fighting,Secret Wonders,24,Common,https://images.pokemontcg.io/dp3/24_hires.png,https://images.pokemontcg.io/dp3/24.png,0.39,0.66,3.9,0.56,0.5,,,,,,0.66,0.95,4.99,0.99,0.67,,,,,,,,,,
024.jpg,dp3-25,Electivire,Pokémon,Lightning,Secret Wonders,25,Rare,https://images.pokemontcg.io/dp3/25_hires.png,https://images.pokemontcg.io/dp3/25.png,0.3,0.53,3.12,0.57,,,,,,,0.77,1.4,9.97,1.15,1.05,,,,,,,,,,
025.jpg,dp3-26,Electrode,Pokémon,Lightning,Secret Wonders,26,Rare,https://images.pokemontcg.io/dp3/26_hires.png,https://images.pokemontcg.io/dp3/26.png,0.2,0.5,3.13,0.38,0.25,,,,,,0.35,0.99,4.99,0.68,,,,,,,,,,,
026.jpg,dp3-27,Furret,Pokémon,Colorless,Secret Wonders,27,Rare,https://images.pokemontcg.io/dp3/27_hires.png,https://images.pokemontcg.io/dp3/27.png,1.0,2.52,2.8,1.58,0.59,,,,,,1.36,5.25,9.25,1.37,,,,,,,,,,,
027.jpg,dp3-28,Golduck,Pokémon,Water,Secret Wonders,28,Rare,https://images.pokemontcg.io/dp3/28_hires.png,https://images.pokemontcg.io/dp3/28.png,0.26,0.68,3.26,0.56,0.25,,,,,,0.48,0.86,3.99,1.77,,,,,,,,,,,
028.jpg,dp3-29,Golem,Pokémon,Fighting,Secret Wonders,29,Rare,https://images.pokemontcg.io/dp3/29_hires.png,https://images.pokemontcg.io/dp3/29.png,0.35,0.99,3.86,0.91,0.79,,,,,,0.7,1.96,4.99,0.86,3.15,,,,,,,,,,
029.jpg,dp3-30,Jynx,Pokémon,Psychic,Secret Wonders,30,Rare,https://images.pokemontcg.io/dp3/30_hires.png,https://images.pokemontcg.io/dp3/30.png,0.22,0.57,3.26,0.49,0.38,,,,,,0.58,0.79,3.99,0.91,0.62,,,,,,,,,,
030.jpg,dp3-31,Magmortar,Pokémon,Fire,Secret Wonders,31,Rare,https://images.pokemontcg.io/dp3/31_hires.png,https://images.pokemontcg.io/dp3/31.png,0.13,0.7,3.31,0.55,0.64,,,,,,0.5,1.06,2.99,1.0,,,,,,,,,,,
