Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh45-1,Yanma,Pokémon,Grass,Shining Fates,1,Common,https://images.pokemontcg.io/swsh45/1_hires.png,https://images.pokemontcg.io/swsh45/1.png,0.02,0.1,5.0,0.07,0.05,,,,,,0.01,0.23,5.0,0.15,0.15,,,,,,,,,,
001.jpg,swsh45-2,Yanmega,Pokémon,Grass,Shining Fates,2,Rare,https://images.pokemontcg.io/swsh45/2_hires.png,https://images.pokemontcg.io/swsh45/2.png,0.04,0.2,25.0,0.1,0.09,,,,,,0.05,0.35,5.0,0.29,0.26,,,,,,,,,,
002.jpg,swsh45-3,Celebi,Pokémon,Grass,Shining Fates,3,Rare,https://images.pokemontcg.io/swsh45/3_hires.png,https://images.pokemontcg.io/swsh45/3.png,0.03,0.25,25.0,0.1,0.1,,,,,,0.1,0.54,5.0,0.48,0.24,,,,,,,,,,
003.jpg,swsh45-4,Cacnea,Pokémon,Grass,Shining Fates,4,Common,https://images.pokemontcg.io/swsh45/4_hires.png,https://images.pokemontcg.io/swsh45/4.png,0.01,0.1,5.0,0.04,0.04,,,,,,0.04,0.2,5.0,0.15,0.17,,,,,,,,,,
004.jpg,swsh45-5,Tropius,Pokémon,Grass,Shining Fates,5,Uncommon,https://images.pokemontcg.io/swsh45/5_hires.png,https://images.pokemontcg.io/swsh45/5.png,0.01,0.1,5.0,0.05,0.05,,,,,,0.04,0.23,5.0,0.13,0.14,,,,,,,,,,
005.jpg,swsh45-6,Rowlet,Pokémon,Grass,Shining Fates,6,Common,https://images.pokemontcg.io/swsh45/6_hires.png,https://images.pokemontcg.io/swsh45/6.png,0.01,0.1,20.0,0.07,0.08,,,,,,0.04,0.25,5.0,0.16,0.16,,,,,,,,,,
006.jpg,swsh45-7,Dartrix,Pokémon,Grass,Shining Fates,7,Uncommon,https://images.pokemontcg.io/swsh45/7_hires.png,https://images.pokemontcg.io/swsh45/7.png,0.01,0.1,5.0,0.07,0.08,,,,,,0.05,0.25,5.0,0.2,0.21,,,,,,,,,,
007.jpg,swsh45-8,Decidueye,Pokémon,Grass,Shining Fates,8,Rare Holo,https://images.pokemontcg.io/swsh45/8_hires.png,https://images.pokemontcg.io/swsh45/8.png,,,,,,0.09,0.39,5.54,0.25,0.27,0.04,0.47,5.0,0.24,0.26,,,,,,,,,,
008.jpg,swsh45-9,Dhelmise V,Pokémon,Grass,Shining Fates,9,Rare Holo V,https://images.pokemontcg.io/swsh45/9_hires.png,https://images.pokemontcg.io/swsh45/9.png,,,,,,0.64,1.56,11.18,1.01,1.47,,,,,,,,,,,,,,,
009.jpg,swsh45-10,Dhelmise VMAX,Pokémon,Grass,Shining Fates,10,Rare Holo VMAX,https://images.pokemontcg.io/swsh45/10_hires.png,https://images.pokemontcg.io/swsh45/10.png,,,,,,2.0,3.0,19.95,2.45,3.0,,,,,,,,,,,,,,,
