Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm35-1,Bulbasaur,Pokémon,Grass,Shining Legends,1,Common,https://images.pokemontcg.io/sm35/1_hires.png,https://images.pokemontcg.io/sm35/1.png,0.05,0.72,4.59,0.85,0.61,,,,,,0.75,1.85,6.31,1.85,2.79,,,,,,,,,,
001.jpg,sm35-2,Ivysaur,Pokémon,Grass,Shining Legends,2,Common,https://images.pokemontcg.io/sm35/2_hires.png,https://images.pokemontcg.io/sm35/2.png,0.1,0.58,2.99,0.56,0.6,,,,,,0.99,1.99,999.99,2.02,1.53,,,,,,,,,,
002.jpg,sm35-3,Venusaur,Pokémon,Grass,Shining Legends,3,Uncommon,https://images.pokemontcg.io/sm35/3_hires.png,https://images.pokemontcg.io/sm35/3.png,0.74,1.74,5.37,1.75,1.8,,,,,,0.95,2.01,7.99,1.8,2.0,,,,,,,,,,
003.jpg,sm35-4,Shroomish,Pokémon,Grass,Shining Legends,4,Common,https://images.pokemontcg.io/sm35/4_hires.png,https://images.pokemontcg.io/sm35/4.png,0.04,0.2,25.0,0.09,0.1,,,,,,0.12,0.34,1.13,0.31,0.25,,,,,,,,,,
004.jpg,sm35-5,Breloom,Pokémon,Grass,Shining Legends,5,Common,https://images.pokemontcg.io/sm35/5_hires.png,https://images.pokemontcg.io/sm35/5.png,0.05,0.24,999.99,0.14,0.15,,,,,,0.12,0.37,1.0,0.35,,,,,,,,,,,
005.jpg,sm35-6,Carnivine,Pokémon,Grass,Shining Legends,6,Uncommon,https://images.pokemontcg.io/sm35/6_hires.png,https://images.pokemontcg.io/sm35/6.png,0.05,0.23,1.0,0.15,0.05,,,,,,0.22,0.39,1.04,0.35,0.46,,,,,,,,,,
006.jpg,sm35-7,Shaymin,Pokémon,Grass,Shining Legends,7,Rare Holo,https://images.pokemontcg.io/sm35/7_hires.png,https://images.pokemontcg.io/sm35/7.png,,,,,,0.15,0.44,3.39,0.23,0.23,0.4,0.59,1.99,0.82,0.96,,,,,,,,,,
007.jpg,sm35-8,Virizion,Pokémon,Grass,Shining Legends,8,Rare Holo,https://images.pokemontcg.io/sm35/8_hires.png,https://images.pokemontcg.io/sm35/8.png,,,,,,0.16,0.45,1.69,0.25,0.29,0.25,0.55,1.5,0.56,0.44,,,,,,,,,,
008.jpg,sm35-9,Shining Genesect,Pokémon,Grass,Shining Legends,9,Rare Shining,https://images.pokemontcg.io/sm35/9_hires.png,https://images.pokemontcg.io/sm35/9.png,,,,,,9.93,13.3,100.0,11.11,13.29,,,,,,,,,,,,,,,
009.jpg,sm35-10,Entei-GX,Pokémon,Fire,Shining Legends,10,Rare Holo GX,https://images.pokemontcg.io/sm35/10_hires.png,https://images.pokemontcg.io/sm35/10.png,,,,,,1.47,2.59,10.75,2.04,2.68,,,,,,,,,,,,,,,
010.jpg,sm35-10a,Entei-GX,Pokémon,Fire,Shining Legends,10a,Rare Holo GX,https://images.pokemontcg.io/sm35/10a_hires.png,https://images.pokemontcg.io/sm35/10a.png,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,sm35-11,Torkoal,Pokémon,Fire,Shining Legends,11,Common,https://images.pokemontcg.io/sm35/11_hires.png,https://images.pokemontcg.io/sm35/11.png,0.05,0.2,999.99,0.12,0.1,,,,,,0.15,0.34,2.35,0.32,0.15,,,,,,,,,,
012.jpg,sm35-12,Larvesta,Pokémon,Fire,Shining Legends,12,Common,https://images.pokemontcg.io/sm35/12_hires.png,https://images.pokemontcg.io/sm35/12.png,0.04,0.2,999.99,0.1,0.08,,,,,,0.1,0.35,1.15,0.3,,,,,,,,,,,
013.jpg,sm35-13,Volcarona,Pokémon,Fire,Shining Legends,13,Uncommon,https://images.pokemontcg.io/sm35/13_hires.png,https://images.pokemontcg.io/sm35/13.png,0.09,0.25,0.99,0.16,0.09,,,,,,0.07,0.48,1.07,0.46,0.29,,,,,,,,,,
014.jpg,sm35-14,Reshiram,Pokémon,Fire,Shining Legends,14,Rare Holo,https://images.pokemontcg.io/sm35/14_hires.png,https://images.pokemontcg.io/sm35/14.png,,,,,,0.25,0.5,4.39,0.36,0.39,0.49,0.73,1.99,0.64,0.64,,,,,,,,,,
015.jpg,sm35-15,Litten,Pokémon,Fire,Shining Legends,15,Common,https://images.pokemontcg.io/sm35/15_hires.png,https://images.pokemontcg.io/sm35/15.png,0.07,0.2,999.99,0.12,0.1,,,,,,0.15,0.42,1.59,0.37,0.25,,,,,,,,,,
016.jpg,sm35-16,Torracat,Pokémon,Fire,Shining Legends,16,Common,https://images.pokemontcg.io/sm35/16_hires.png,https://images.pokemontcg.io/sm35/16.png,0.05,0.23,999.99,0.13,0.14,,,,,,0.2,0.39,1.09,0.4,0.26,,,,,,,,,,
017.jpg,sm35-17,Incineroar,Pokémon,Fire,Shining Legends,17,Uncommon,https://images.pokemontcg.io/sm35/17_hires.png,https://images.pokemontcg.io/sm35/17.png,0.1,0.28,3.92,0.26,0.2,,,,,,0.25,0.63,3.22,0.61,,,,,,,,,,,
018.jpg,sm35-18,Totodile,Pokémon,Water,Shining Legends,18,Common,https://images.pokemontcg.io/sm35/18_hires.png,https://images.pokemontcg.io/sm35/18.png,0.09,0.25,999.99,0.23,0.2,,,,,,0.33,1.03,4.25,1.07,1.07,,,,,,,,,,
019.jpg,sm35-19,Croconaw,Pokémon,Water,Shining Legends,19,Common,https://images.pokemontcg.io/sm35/19_hires.png,https://images.pokemontcg.io/sm35/19.png,0.09,0.23,1.0,0.15,0.1,,,,,,0.08,0.5,2.32,0.51,0.47,,,,,,,,,,
020.jpg,sm35-20,Feraligatr,Pokémon,Water,Shining Legends,20,Uncommon,https://images.pokemontcg.io/sm35/20_hires.png,https://images.pokemontcg.io/sm35/20.png,0.1,0.48,2.09,0.48,0.33,,,,,,0.29,1.0,4.73,1.19,,,,,,,,,,,
021.jpg,sm35-21,Qwilfish,Pokémon,Water,Shining Legends,21,Common,https://images.pokemontcg.io/sm35/21_hires.png,https://images.pokemontcg.io/sm35/21.png,0.04,0.21,1.0,0.12,0.1,,,,,,0.14,0.36,1.04,0.34,0.21,,,,,,,,,,
022.jpg,sm35-22,Buizel,Pokémon,Water,Shining Legends,22,Common,https://images.pokemontcg.io/sm35/22_hires.png,https://images.pokemontcg.io/sm35/22.png,0.05,0.2,1.0,0.1,0.1,,,,,,0.15,0.36,1.05,0.35,0.25,,,,,,,,,,
023.jpg,sm35-23,Floatzel,Pokémon,Water,Shining Legends,23,Uncommon,https://images.pokemontcg.io/sm35/23_hires.png,https://images.pokemontcg.io/sm35/23.png,0.08,0.25,999.99,0.11,0.09,,,,,,0.22,0.4,1.13,0.34,,,,,,,,,,,
