Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sma-SV1,Scyther,Pokémon,Grass,Shiny Vault,SV1,Rare Shiny,https://images.pokemontcg.io/sma/SV1_hires.png,https://images.pokemontcg.io/sma/SV1.png,,,,,,4.9,8.47,32.99,7.54,8.11,,,,,,,,,,,,,,,
001.jpg,sma-SV2,Rowlet,Pokémon,Grass,Shiny Vault,SV2,Rare Shiny,https://images.pokemontcg.io/sma/SV2_hires.png,https://images.pokemontcg.io/sma/SV2.png,,,,,,0.99,2.57,8.99,1.88,2.15,,,,,,,,,,,,,,,
002.jpg,sma-SV3,Dartrix,Pokémon,Grass,Shiny Vault,SV3,Rare Shiny,https://images.pokemontcg.io/sma/SV3_hires.png,https://images.pokemontcg.io/sma/SV3.png,,,,,,1.23,3.07,7.99,1.65,1.23,,,,,,,,,,,,,,,
003.jpg,sma-SV4,Wimpod,Pokémon,Grass,Shiny Vault,SV4,Rare Shiny,https://images.pokemontcg.io/sma/SV4_hires.png,https://images.pokemontcg.io/sma/SV4.png,,,,,,0.98,2.73,9.51,1.8,2.44,,,,,,,,,,,,,,,
004.jpg,sma-SV5,Pheromosa,Pokémon,Grass,Shiny Vault,SV5,Rare Shiny,https://images.pokemontcg.io/sma/SV5_hires.png,https://images.pokemontcg.io/sma/SV5.png,,,,,,1.27,2.73,23.99,2.23,1.67,,,,,,,,,,,,,,,
005.jpg,sma-SV6,Charmander,Pokémon,Fire,Shiny Vault,SV6,Rare Shiny,https://images.pokemontcg.io/sma/SV6_hires.png,https://images.pokemontcg.io/sma/SV6.png,,,,,,15.0,20.99,50.0,18.13,19.99,,,,,,,,,,,,,,,
006.jpg,sma-SV7,Charmeleon,Pokémon,Fire,Shiny Vault,SV7,Rare Shiny,https://images.pokemontcg.io/sma/SV7_hires.png,https://images.pokemontcg.io/sma/SV7.png,,,,,,15.0,24.0,70.0,17.94,17.68,,,,,,,,,,,,,,,
007.jpg,sma-SV8,Alolan Vulpix,Pokémon,Water,Shiny Vault,SV8,Rare Shiny,https://images.pokemontcg.io/sma/SV8_hires.png,https://images.pokemontcg.io/sma/SV8.png,,,,,,2.99,4.65,999.99,3.65,4.05,,,,,,,,,,,,,,,
008.jpg,sma-SV9,Wooper,Pokémon,Water,Shiny Vault,SV9,Rare Shiny,https://images.pokemontcg.io/sma/SV9_hires.png,https://images.pokemontcg.io/sma/SV9.png,,,,,,2.75,4.33,18.99,3.16,3.59,,,,,,,,,,,,,,,
009.jpg,sma-SV10,Quagsire,Pokémon,Water,Shiny Vault,SV10,Rare Shiny,https://images.pokemontcg.io/sma/SV10_hires.png,https://images.pokemontcg.io/sma/SV10.png,,,,,,1.99,4.27,19.99,3.49,2.86,,,,,,,,,,,,,,,
010.jpg,sma-SV11,Froakie,Pokémon,Water,Shiny Vault,SV11,Rare Shiny,https://images.pokemontcg.io/sma/SV11_hires.png,https://images.pokemontcg.io/sma/SV11.png,,,,,,0.99,2.87,39.99,1.83,1.49,,,,,,,,,,,,,,,
011.jpg,sma-SV12,Frogadier,Pokémon,Water,Shiny Vault,SV12,Rare Shiny,https://images.pokemontcg.io/sma/SV12_hires.png,https://images.pokemontcg.io/sma/SV12.png,,,,,,1.89,3.48,14.99,2.35,3.13,,,,,,,,,,,,,,,
012.jpg,sma-SV13,Voltorb,Pokémon,Lightning,Shiny Vault,SV13,Rare Shiny,https://images.pokemontcg.io/sma/SV13_hires.png,https://images.pokemontcg.io/sma/SV13.png,,,,,,1.84,4.76,39.99,2.96,3.74,,,,,,,,,,,,,,,
013.jpg,sma-SV14,Xurkitree,Pokémon,Lightning,Shiny Vault,SV14,Rare Shiny,https://images.pokemontcg.io/sma/SV14_hires.png,https://images.pokemontcg.io/sma/SV14.png,,,,,,1.25,2.5,9.99,1.96,2.22,,,,,,,,,,,,,,,
