Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh12tg-TG01,Braixen,Pokémon,Fire,Silver Tempest Trainer Gallery,TG01,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12tg/TG01_hires.png,https://images.pokemontcg.io/swsh12tg/TG01.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh12tg-TG02,Milotic,Pokémon,Water,Silver Tempest Trainer Gallery,TG02,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12tg/TG02_hires.png,https://images.pokemontcg.io/swsh12tg/TG02.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh12tg-TG03,Flaaffy,Pokémon,Lightning,Silver Tempest Trainer Gallery,TG03,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12tg/TG03_hires.png,https://images.pokemontcg.io/swsh12tg/TG03.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh12tg-TG04,Jynx,Pokémon,Psychic,Silver Tempest Trainer Gallery,TG04,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12tg/TG04_hires.png,https://images.pokemontcg.io/swsh12tg/TG04.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh12tg-TG05,Gardevoir,Pokémon,Psychic,Silver Tempest Trainer Gallery,TG05,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12tg/TG05_hires.png,https://images.pokemontcg.io/swsh12tg/TG05.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh12tg-TG06,Malamar,Pokémon,Psychic,Silver Tempest Trainer Gallery,TG06,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12tg/TG06_hires.png,https://images.pokemontcg.io/swsh12tg/TG06.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh12tg-TG07,Rockruff,Pokémon,Fighting,Silver Tempest Trainer Gallery,TG07,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12tg/TG07_hires.png,https://images.pokemontcg.io/swsh12tg/TG07.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh12tg-TG08,Passimian,Pokémon,Fighting,Silver Tempest Trainer Gallery,TG08,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12tg/TG08_hires.png,https://images.pokemontcg.io/swsh12tg/TG08.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh12tg-TG09,Druddigon,Pokémon,Dragon,Silver Tempest Trainer Gallery,TG09,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12tg/TG09_hires.png,https://images.pokemontcg.io/swsh12tg/TG09.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh12tg-TG10,Smeargle,Pokémon,Colorless,Silver Tempest Trainer Gallery,TG10,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12tg/TG10_hires.png,https://images.pokemontcg.io/swsh12tg/TG10.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,swsh12tg-TG11,Altaria,Pokémon,Colorless,Silver Tempest Trainer Gallery,TG11,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12tg/TG11_hires.png,https://images.pokemontcg.io/swsh12tg/TG11.png,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,swsh12tg-TG12,Kricketune V,Pokémon,Grass,Silver Tempest Trainer Gallery,TG12,Rare Holo V,https://images.pokemontcg.io/swsh12tg/TG12_hires.png,https://images.pokemontcg.io/swsh12tg/TG12.png,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,swsh12tg-TG13,Serperior V,Pokémon,Grass,Silver Tempest Trainer Gallery,TG13,Rare Holo V,https://images.pokemontcg.io/swsh12tg/TG13_hires.png,https://images.pokemontcg.io/swsh12tg/TG13.png,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,swsh12tg-TG14,Blaziken V,Pokémon,Fire,Silver Tempest Trainer Gallery,TG14,Rare Holo V,https://images.pokemontcg.io/swsh12tg/TG14_hires.png,https://images.pokemontcg.io/swsh12tg/TG14.png,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,swsh12tg-TG15,Blaziken VMAX,Pokémon,Fire,Silver Tempest Trainer Gallery,TG15,Rare Holo VMAX,https://images.pokemontcg.io/swsh12tg/TG15_hires.png,https://images.pokemontcg.io/swsh12tg/TG15.png,,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,swsh12tg-TG16,Zeraora V,Pokémon,Lightning,Silver Tempest Trainer Gallery,TG16,Rare Holo V,https://images.pokemontcg.io/swsh12tg/TG16_hires.png,https://images.pokemontcg.io/swsh12tg/TG16.png,,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,swsh12tg-TG17,Mawile V,Pokémon,Psychic,Silver Tempest Trainer Gallery,TG17,Rare Holo V,https://images.pokemontcg.io/swsh12tg/TG17_hires.png,https://images.pokemontcg.io/swsh12tg/TG17.png,,,,,,,,,,,,,,,,,,,,,,,,,
