Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh12-1,Venonat,Pokémon,Grass,Silver Tempest,1,Common,https://images.pokemontcg.io/swsh12/1_hires.png,https://images.pokemontcg.io/swsh12/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh12-2,Venomoth,Pokémon,Grass,Silver Tempest,2,Uncommon,https://images.pokemontcg.io/swsh12/2_hires.png,https://images.pokemontcg.io/swsh12/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh12-3,Spinarak,Pokémon,Grass,Silver Tempest,3,Common,https://images.pokemontcg.io/swsh12/3_hires.png,https://images.pokemontcg.io/swsh12/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh12-4,Ariados,Pokémon,Grass,Silver Tempest,4,Rare Holo,https://images.pokemontcg.io/swsh12/4_hires.png,https://images.pokemontcg.io/swsh12/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh12-5,Sunkern,Pokémon,Grass,Silver Tempest,5,Common,https://images.pokemontcg.io/swsh12/5_hires.png,https://images.pokemontcg.io/swsh12/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh12-6,Sunflora,Pokémon,Grass,Silver Tempest,6,Uncommon,https://images.pokemontcg.io/swsh12/6_hires.png,https://images.pokemontcg.io/swsh12/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh12-7,Serperior V,Pokémon,Grass,Silver Tempest,7,Rare Holo V,https://images.pokemontcg.io/swsh12/7_hires.png,https://images.pokemontcg.io/swsh12/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh12-8,Serperior VSTAR,Pokémon,Grass,Silver Tempest,8,Rare Holo VSTAR,https://images.pokemontcg.io/swsh12/8_hires.png,https://images.pokemontcg.io/swsh12/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh12-9,Petilil,Pokémon,Grass,Silver Tempest,9,Common,https://images.pokemontcg.io/swsh12/9_hires.png,https://images.pokemontcg.io/swsh12/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh12-10,Hisuian Lilligant,Pokémon,Grass,Silver Tempest,10,Rare,https://images.pokemontcg.io/swsh12/10_hires.png,https://images.pokemontcg.io/swsh12/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,swsh12-11,Foongus,Pokémon,Grass,Silver Tempest,11,Common,https://images.pokemontcg.io/swsh12/11_hires.png,https://images.pokemontcg.io/swsh12/11.png,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,swsh12-12,Amoonguss,Pokémon,Grass,Silver Tempest,12,Rare,https://images.pokemontcg.io/swsh12/12_hires.png,https://images.pokemontcg.io/swsh12/12.png,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,swsh12-13,Durant,Pokémon,Grass,Silver Tempest,13,Common,https://images.pokemontcg.io/swsh12/13_hires.png,https://images.pokemontcg.io/swsh12/13.png,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,swsh12-14,Virizion,Pokémon,Grass,Silver Tempest,14,Rare,https://images.pokemontcg.io/swsh12/14_hires.png,https://images.pokemontcg.io/swsh12/14.png,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,swsh12-15,Chesnaught V,Pokémon,Grass,Silver Tempest,15,Rare Holo V,https://images.pokemontcg.io/swsh12/15_hires.png,https://images.pokemontcg.io/swsh12/15.png,,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,swsh12-16,Radiant Tsareena,Pokémon,Grass,Silver Tempest,16,Radiant Rare,https://images.pokemontcg.io/swsh12/16_hires.png,https://images.pokemontcg.io/swsh12/16.png,,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,swsh12-17,Vulpix,Pokémon,Fire,Silver Tempest,17,Common,https://images.pokemontcg.io/swsh12/17_hires.png,https://images.pokemontcg.io/swsh12/17.png,,,,,,,,,,,,,,,,,,,,,,,,,
017.jpg,swsh12-18,Ninetales,Pokémon,Fire,Silver Tempest,18,Uncommon,https://images.pokemontcg.io/swsh12/18_hires.png,https://images.pokemontcg.io/swsh12/18.png,,,,,,,,,,,,,,,,,,,,,,,,,
018.jpg,swsh12-19,Growlithe,Pokémon,Fire,Silver Tempest,19,Common,https://images.pokemontcg.io/swsh12/19_hires.png,https://images.pokemontcg.io/swsh12/19.png,,,,,,,,,,,,,,,,,,,,,,,,,
019.jpg,swsh12-20,Arcanine,Pokémon,Fire,Silver Tempest,20,Rare,https://images.pokemontcg.io/swsh12/20_hires.png,https://images.pokemontcg.io/swsh12/20.png,,,,,,,,,,,,,,,,,,,,,,,,,
020.jpg,swsh12-21,Ponyta,Pokémon,Fire,Silver Tempest,21,Common,https://images.pokemontcg.io/swsh12/21_hires.png,https://images.pokemontcg.io/swsh12/21.png,,,,,,,,,,,,,,,,,,,,,,,,,
021.jpg,swsh12-22,Rapidash,Pokémon,Fire,Silver Tempest,22,Rare Holo,https://images.pokemontcg.io/swsh12/22_hires.png,https://images.pokemontcg.io/swsh12/22.png,,,,,,,,,,,,,,,,,,,,,,,,,
022.jpg,swsh12-23,Victini,Pokémon,Fire,Silver Tempest,23,Rare,https://images.pokemontcg.io/swsh12/23_hires.png,https://images.pokemontcg.io/swsh12/23.png,,,,,,,,,,,,,,,,,,,,,,,,,
023.jpg,swsh12-24,Reshiram V,Pokémon,Fire,Silver Tempest,24,Rare Holo V,https://images.pokemontcg.io/swsh12/24_hires.png,https://images.pokemontcg.io/swsh12/24.png,,,,,,,,,,,,,,,,,,,,,,,,,
024.jpg,swsh12-25,Fennekin,Pokémon,Fire,Silver Tempest,25,Common,https://images.pokemontcg.io/swsh12/25_hires.png,https://images.pokemontcg.io/swsh12/25.png,,,,,,,,,,,,,,,,,,,,,,,,,
025.jpg,swsh12-26,Braixen,Pokémon,Fire,Silver Tempest,26,Uncommon,https://images.pokemontcg.io/swsh12/26_hires.png,https://images.pokemontcg.io/swsh12/26.png,,,,,,,,,,,,,,,,,,,,,,,,,
026.jpg,swsh12-27,Delphox,Pokémon,Fire,Silver Tempest,27,Rare,https://images.pokemontcg.io/swsh12/27_hires.png,https://images.pokemontcg.io/swsh12/27.png,,,,,,,,,,,,,,,,,,,,,,,,,
027.jpg,swsh12-28,Fletchinder,Pokémon,Fire,Silver Tempest,28,Uncommon,https://images.pokemontcg.io/swsh12/28_hires.png,https://images.pokemontcg.io/swsh12/28.png,,,,,,,,,,,,,,,,,,,,,,,,,
028.jpg,swsh12-29,Talonflame,Pokémon,Fire,Silver Tempest,29,Rare,https://images.pokemontcg.io/swsh12/29_hires.png,https://images.pokemontcg.io/swsh12/29.png,,,,,,,,,,,,,,,,,,,,,,,,,
029.jpg,swsh12-30,Litten,Pokémon,Fire,Silver Tempest,30,Common,https://images.pokemontcg.io/swsh12/30_hires.png,https://images.pokemontcg.io/swsh12/30.png,,,,,,,,,,,,,,,,,,,,,,,,,
030.jpg,swsh12-31,Torracat,Pokémon,Fire,Silver Tempest,31,Uncommon,https://images.pokemontcg.io/swsh12/31_hires.png,https://images.pokemontcg.io/swsh12/31.png,,,,,,,,,,,,,,,,,,,,,,,,,
031.jpg,swsh12-32,Incineroar,Pokémon,Fire,Silver Tempest,32,Rare,https://images.pokemontcg.io/swsh12/32_hires.png,https://images.pokemontcg.io/swsh12/32.png,,,,,,,,,,,,,,,,,,,,,,,,,
032.jpg,swsh12-33,Alolan Vulpix V,Pokémon,Water,Silver Tempest,33,Rare Holo V,https://images.pokemontcg.io/swsh12/33_hires.png,https://images.pokemontcg.io/swsh12/33.png,,,,,,,,,,,,,,,,,,,,,,,,,
033.jpg,swsh12-34,Alolan Vulpix VSTAR,Pokémon,Water,Silver Tempest,34,Rare Holo VSTAR,https://images.pokemontcg.io/swsh12/34_hires.png,https://images.pokemontcg.io/swsh12/34.png,,,,,,,,,,,,,,,,,,,,,,,,,
034.jpg,swsh12-35,Omastar V,Pokémon,Water,Silver Tempest,35,Rare Holo V,https://images.pokemontcg.io/swsh12/35_hires.png,https://images.pokemontcg.io/swsh12/35.png,,,,,,,,,,,,,,,,,,,,,,,,,
035.jpg,swsh12-36,Articuno,Pokémon,Water,Silver Tempest,36,Rare Holo,https://images.pokemontcg.io/swsh12/36_hires.png,https://images.pokemontcg.io/swsh12/36.png,,,,,,,,,,,,,,,,,,,,,,,,,
036.jpg,swsh12-37,Wailmer,Pokémon,Water,Silver Tempest,37,Common,https://images.pokemontcg.io/swsh12/37_hires.png,https://images.pokemontcg.io/swsh12/37.png,,,,,,,,,,,,,,,,,,,,,,,,,
