Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv7-1,Venusaur ex,Pokémon,Grass,Stellar Crown,1,Double Rare,https://images.pokemontcg.io/sv7/1_hires.png,https://images.pokemontcg.io/sv7/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv7-2,Ledyba,Pokémon,Grass,Stellar Crown,2,Common,https://images.pokemontcg.io/sv7/2_hires.png,https://images.pokemontcg.io/sv7/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv7-3,Ledian,Pokémon,Grass,Stellar Crown,3,Rare,https://images.pokemontcg.io/sv7/3_hires.png,https://images.pokemontcg.io/sv7/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv7-4,Celebi,Pokémon,Grass,Stellar Crown,4,Uncommon,https://images.pokemontcg.io/sv7/4_hires.png,https://images.pokemontcg.io/sv7/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv7-5,Lileep,Pokémon,Grass,Stellar Crown,5,Common,https://images.pokemontcg.io/sv7/5_hires.png,https://images.pokemontcg.io/sv7/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv7-6,Cradily,Pokémon,Grass,Stellar Crown,6,Rare,https://images.pokemontcg.io/sv7/6_hires.png,https://images.pokemontcg.io/sv7/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv7-7,Carnivine,Pokémon,Grass,Stellar Crown,7,Common,https://images.pokemontcg.io/sv7/7_hires.png,https://images.pokemontcg.io/sv7/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv7-8,Mow Rotom,Pokémon,Grass,Stellar Crown,8,Common,https://images.pokemontcg.io/sv7/8_hires.png,https://images.pokemontcg.io/sv7/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv7-9,Grubbin,Pokémon,Grass,Stellar Crown,9,Common,https://images.pokemontcg.io/sv7/9_hires.png,https://images.pokemontcg.io/sv7/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv7-10,Gossifleur,Pokémon,Grass,Stellar Crown,10,Common,https://images.pokemontcg.io/sv7/10_hires.png,https://images.pokemontcg.io/sv7/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,sv7-11,Eldegoss,Pokémon,Grass,Stellar Crown,11,Uncommon,https://images.pokemontcg.io/sv7/11_hires.png,https://images.pokemontcg.io/sv7/11.png,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,sv7-12,Applin,Pokémon,Grass,Stellar Crown,12,Common,https://images.pokemontcg.io/sv7/12_hires.png,https://images.pokemontcg.io/sv7/12.png,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,sv7-13,Dipplin,Pokémon,Grass,Stellar Crown,13,Common,https://images.pokemontcg.io/sv7/13_hires.png,https://images.pokemontcg.io/sv7/13.png,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,sv7-14,Hydrapple ex,Pokémon,Grass,Stellar Crown,14,Double Rare,https://images.pokemontcg.io/sv7/14_hires.png,https://images.pokemontcg.io/sv7/14.png,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,sv7-15,Nymble,Pokémon,Grass,Stellar Crown,15,Common,https://images.pokemontcg.io/sv7/15_hires.png,https://images.pokemontcg.io/sv7/15.png,,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,sv7-16,Lokix,Pokémon,Grass,Stellar Crown,16,Common,https://images.pokemontcg.io/sv7/16_hires.png,https://images.pokemontcg.io/sv7/16.png,,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,sv7-17,Toedscool,Pokémon,Grass,Stellar Crown,17,Common,https://images.pokemontcg.io/sv7/17_hires.png,https://images.pokemontcg.io/sv7/17.png,,,,,,,,,,,,,,,,,,,,,,,,,
017.jpg,sv7-18,Toedscruel,Pokémon,Grass,Stellar Crown,18,Uncommon,https://images.pokemontcg.io/sv7/18_hires.png,https://images.pokemontcg.io/sv7/18.png,,,,,,,,,,,,,,,,,,,,,,,,,
018.jpg,sv7-19,Ponyta,Pokémon,Fire,Stellar Crown,19,Common,https://images.pokemontcg.io/sv7/19_hires.png,https://images.pokemontcg.io/sv7/19.png,,,,,,,,,,,,,,,,,,,,,,,,,
019.jpg,sv7-20,Rapidash,Pokémon,Fire,Stellar Crown,20,Uncommon,https://images.pokemontcg.io/sv7/20_hires.png,https://images.pokemontcg.io/sv7/20.png,,,,,,,,,,,,,,,,,,,,,,,,,
020.jpg,sv7-21,Pansear,Pokémon,Fire,Stellar Crown,21,Common,https://images.pokemontcg.io/sv7/21_hires.png,https://images.pokemontcg.io/sv7/21.png,,,,,,,,,,,,,,,,,,,,,,,,,
021.jpg,sv7-22,Reshiram,Pokémon,Fire,Stellar Crown,22,Uncommon,https://images.pokemontcg.io/sv7/22_hires.png,https://images.pokemontcg.io/sv7/22.png,,,,,,,,,,,,,,,,,,,,,,,,,
022.jpg,sv7-23,Salandit,Pokémon,Fire,Stellar Crown,23,Common,https://images.pokemontcg.io/sv7/23_hires.png,https://images.pokemontcg.io/sv7/23.png,,,,,,,,,,,,,,,,,,,,,,,,,
023.jpg,sv7-24,Salazzle,Pokémon,Fire,Stellar Crown,24,Uncommon,https://images.pokemontcg.io/sv7/24_hires.png,https://images.pokemontcg.io/sv7/24.png,,,,,,,,,,,,,,,,,,,,,,,,,
024.jpg,sv7-25,Turtonator,Pokémon,Fire,Stellar Crown,25,Common,https://images.pokemontcg.io/sv7/25_hires.png,https://images.pokemontcg.io/sv7/25.png,,,,,,,,,,,,,,,,,,,,,,,,,
025.jpg,sv7-26,Scorbunny,Pokémon,Fire,Stellar Crown,26,Common,https://images.pokemontcg.io/sv7/26_hires.png,https://images.pokemontcg.io/sv7/26.png,,,,,,,,,,,,,,,,,,,,,,,,,
026.jpg,sv7-27,Raboot,Pokémon,Fire,Stellar Crown,27,Common,https://images.pokemontcg.io/sv7/27_hires.png,https://images.pokemontcg.io/sv7/27.png,,,,,,,,,,,,,,,,,,,,,,,,,
027.jpg,sv7-28,Cinderace ex,Pokémon,Fire,Stellar Crown,28,Double Rare,https://images.pokemontcg.io/sv7/28_hires.png,https://images.pokemontcg.io/sv7/28.png,,,,,,,,,,,,,,,,,,,,,,,,,
028.jpg,sv7-29,Charcadet,Pokémon,Fire,Stellar Crown,29,Common,https://images.pokemontcg.io/sv7/29_hires.png,https://images.pokemontcg.io/sv7/29.png,,,,,,,,,,,,,,,,,,,,,,,,,
029.jpg,sv7-30,Blastoise ex,Pokémon,Water,Stellar Crown,30,Double Rare,https://images.pokemontcg.io/sv7/30_hires.png,https://images.pokemontcg.io/sv7/30.png,,,,,,,,,,,,,,,,,,,,,,,,,
030.jpg,sv7-31,Lapras,Pokémon,Water,Stellar Crown,31,Uncommon,https://images.pokemontcg.io/sv7/31_hires.png,https://images.pokemontcg.io/sv7/31.png,,,,,,,,,,,,,,,,,,,,,,,,,
031.jpg,sv7-32,Lapras ex,Pokémon,Water,Stellar Crown,32,Double Rare,https://images.pokemontcg.io/sv7/32_hires.png,https://images.pokemontcg.io/sv7/32.png,,,,,,,,,,,,,,,,,,,,,,,,,
032.jpg,sv7-33,Marill,Pokémon,Water,Stellar Crown,33,Common,https://images.pokemontcg.io/sv7/33_hires.png,https://images.pokemontcg.io/sv7/33.png,,,,,,,,,,,,,,,,,,,,,,,,,
033.jpg,sv7-34,Azumarill,Pokémon,Water,Stellar Crown,34,Uncommon,https://images.pokemontcg.io/sv7/34_hires.png,https://images.pokemontcg.io/sv7/34.png,,,,,,,,,,,,,,,,,,,,,,,,,
034.jpg,sv7-35,Finneon,Pokémon,Water,Stellar Crown,35,Common,https://images.pokemontcg.io/sv7/35_hires.png,https://images.pokemontcg.io/sv7/35.png,,,,,,,,,,,,,,,,,,,,,,,,,
035.jpg,sv7-36,Lumineon,Pokémon,Water,Stellar Crown,36,Uncommon,https://images.pokemontcg.io/sv7/36_hires.png,https://images.pokemontcg.io/sv7/36.png,,,,,,,,,,,,,,,,,,,,,,,,,
036.jpg,sv7-37,Tirtouga,Pokémon,Water,Stellar Crown,37,Common,https://images.pokemontcg.io/sv7/37_hires.png,https://images.pokemontcg.io/sv7/37.png,,,,,,,,,,,,,,,,,,,,,,,,,
037.jpg,sv7-38,Carracosta,Pokémon,Water,Stellar Crown,38,Rare,https://images.pokemontcg.io/sv7/38_hires.png,https://images.pokemontcg.io/sv7/38.png,,,,,,,,,,,,,,,,,,,,,,,,,
038.jpg,sv7-39,Froakie,Pokémon,Water,Stellar Crown,39,Common,https://images.pokemontcg.io/sv7/39_hires.png,https://images.pokemontcg.io/sv7/39.png,,,,,,,,,,,,,,,,,,,,,,,,,
039.jpg,sv7-40,Frogadier,Pokémon,Water,Stellar Crown,40,Uncommon,https://images.pokemontcg.io/sv7/40_hires.png,https://images.pokemontcg.io/sv7/40.png,,,,,,,,,,,,,,,,,,,,,,,,,
040.jpg,sv7-41,Greninja ex,Pokémon,Water,Stellar Crown,41,Double Rare,https://images.pokemontcg.io/sv7/41_hires.png,https://images.pokemontcg.io/sv7/41.png,,,,,,,,,,,,,,,,,,,,,,,,,
041.jpg,sv7-42,Crabominable,Pokémon,Water,Stellar Crown,42,Uncommon,https://images.pokemontcg.io/sv7/42_hires.png,https://images.pokemontcg.io/sv7/42.png,,,,,,,,,,,,,,,,,,,,,,,,,
042.jpg,sv7-43,Chewtle,Pokémon,Water,Stellar Crown,43,Common,https://images.pokemontcg.io/sv7/43_hires.png,https://images.pokemontcg.io/sv7/43.png,,,,,,,,,,,,,,,,,,,,,,,,,
043.jpg,sv7-44,Drednaw,Pokémon,Water,Stellar Crown,44,Rare,https://images.pokemontcg.io/sv7/44_hires.png,https://images.pokemontcg.io/sv7/44.png,,,,,,,,,,,,,,,,,,,,,,,,,
