Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,dp7-1,Dusknoir,Pokémon,Psychic,Stormfront,1,Rare Holo,https://images.pokemontcg.io/dp7/1_hires.png,https://images.pokemontcg.io/dp7/1.png,,,,,,1.69,2.98,4.99,2.96,3.71,1.75,2.0,5.0,1.99,1.86,,,,,,,,,,
001.jpg,dp7-2,Empoleon,Pokémon,Metal,Stormfront,2,Rare Holo,https://images.pokemontcg.io/dp7/2_hires.png,https://images.pokemontcg.io/dp7/2.png,,,,,,3.23,4.63,7.94,5.0,3.23,0.87,1.7,6.93,0.92,,,,,,,,,,,
002.jpg,dp7-3,Infernape,Pokémon,Fighting,Stormfront,3,Rare Holo,https://images.pokemontcg.io/dp7/3_hires.png,https://images.pokemontcg.io/dp7/3.png,,,,,,3.0,7.94,16.89,7.98,2.47,2.04,2.95,12.78,5.45,,,,,,,,,,,
003.jpg,dp7-4,Lumineon,Pokémon,Water,Stormfront,4,Rare Holo,https://images.pokemontcg.io/dp7/4_hires.png,https://images.pokemontcg.io/dp7/4.png,,,,,,0.81,1.48,27.95,1.7,1.99,0.89,1.63,3.64,1.14,3.64,,,,,,,,,,
004.jpg,dp7-5,Magnezone,Pokémon,Metal,Stormfront,5,Rare Holo,https://images.pokemontcg.io/dp7/5_hires.png,https://images.pokemontcg.io/dp7/5.png,,,,,,1.28,1.35,2.0,1.96,,0.7,1.43,21.95,1.99,21.95,,,,,,,,,,
005.jpg,dp7-6,Magnezone,Pokémon,Lightning,Stormfront,6,Rare Holo,https://images.pokemontcg.io/dp7/6_hires.png,https://images.pokemontcg.io/dp7/6.png,,,,,,4.6,4.99,6.49,2.8,4.98,1.55,1.63,8.95,2.19,1.55,,,,,,,,,,
006.jpg,dp7-7,Mismagius,Pokémon,Psychic,Stormfront,7,Rare Holo,https://images.pokemontcg.io/dp7/7_hires.png,https://images.pokemontcg.io/dp7/7.png,,,,,,0.72,2.5,999.99,2.08,999.99,0.64,1.0,3.27,0.75,2.38,,,,,,,,,,
007.jpg,dp7-8,Raichu,Pokémon,Lightning,Stormfront,8,Rare Holo,https://images.pokemontcg.io/dp7/8_hires.png,https://images.pokemontcg.io/dp7/8.png,,,,,,3.54,6.38,23.76,6.38,4.49,2.19,2.98,10.16,5.0,2.98,,,,,,,,,,
008.jpg,dp7-9,Regigigas,Pokémon,Colorless,Stormfront,9,Rare Holo,https://images.pokemontcg.io/dp7/9_hires.png,https://images.pokemontcg.io/dp7/9.png,,,,,,1.0,2.99,9.95,2.55,1.91,2.33,4.0,15.0,3.64,,,,,,,,,,,
009.jpg,dp7-10,Sceptile,Pokémon,Grass,Stormfront,10,Rare Holo,https://images.pokemontcg.io/dp7/10_hires.png,https://images.pokemontcg.io/dp7/10.png,,,,,,7.1,7.71,10.75,8.46,7.1,2.5,3.39,10.99,5.0,,,,,,,,,,,
010.jpg,dp7-11,Torterra,Pokémon,Fighting,Stormfront,11,Rare Holo,https://images.pokemontcg.io/dp7/11_hires.png,https://images.pokemontcg.io/dp7/11.png,,,,,,5.67,7.12,19.99,7.3,4.97,29.96,29.98,29.99,3.71,29.98,,,,,,,,,,
011.jpg,dp7-12,Abomasnow,Pokémon,Water,Stormfront,12,Rare,https://images.pokemontcg.io/dp7/12_hires.png,https://images.pokemontcg.io/dp7/12.png,0.26,0.75,2.4,1.04,0.75,,,,,,1.16,2.74,7.38,2.22,1.68,,,,,,,,,,
012.jpg,dp7-13,Bronzong,Pokémon,Psychic,Stormfront,13,Rare,https://images.pokemontcg.io/dp7/13_hires.png,https://images.pokemontcg.io/dp7/13.png,0.26,0.59,2.49,0.53,,,,,,,0.49,0.88,4.99,1.99,,,,,,,,,,,
013.jpg,dp7-14,Cherrim,Pokémon,Grass,Stormfront,14,Rare,https://images.pokemontcg.io/dp7/14_hires.png,https://images.pokemontcg.io/dp7/14.png,0.48,0.62,2.49,0.8,,,,,,,0.5,2.3,6969.69,2.52,,,,,,,,,,,
014.jpg,dp7-15,Drapion,Pokémon,Darkness,Stormfront,15,Rare,https://images.pokemontcg.io/dp7/15_hires.png,https://images.pokemontcg.io/dp7/15.png,0.48,0.75,3.13,0.89,,,,,,,0.74,1.32,4.99,1.45,0.74,,,,,,,,,,
015.jpg,dp7-16,Drifblim,Pokémon,Psychic,Stormfront,16,Rare,https://images.pokemontcg.io/dp7/16_hires.png,https://images.pokemontcg.io/dp7/16.png,0.7,1.81,5.75,1.99,5.75,,,,,,1.5,3.81,5.95,1.52,,,,,,,,,,,
016.jpg,dp7-17,Dusknoir,Pokémon,Psychic,Stormfront,17,Rare,https://images.pokemontcg.io/dp7/17_hires.png,https://images.pokemontcg.io/dp7/17.png,0.5,0.8,3.24,1.03,,,,,,,1.0,1.55,6.83,1.8,,,,,,,,,,,
017.jpg,dp7-18,Gengar,Pokémon,Psychic,Stormfront,18,Rare,https://images.pokemontcg.io/dp7/18_hires.png,https://images.pokemontcg.io/dp7/18.png,9.99,13.87,24.99,14.19,9.1,,,,,,21.42,26.59,45.76,30.22,26.58,,,,,,,,,,
018.jpg,dp7-19,Gyarados,Pokémon,Water,Stormfront,19,Rare,https://images.pokemontcg.io/dp7/19_hires.png,https://images.pokemontcg.io/dp7/19.png,4.0,7.42,14.99,7.84,,,,,,,8.0,18.49,44.0,15.73,8.94,,,,,,,,,,
019.jpg,dp7-20,Machamp,Pokémon,Fighting,Stormfront,20,Rare,https://images.pokemontcg.io/dp7/20_hires.png,https://images.pokemontcg.io/dp7/20.png,4.6,8.95,9.94,8.2,9.32,,,,,,12.0,17.83,19.99,14.89,,,,,,,,,,,
020.jpg,dp7-21,Mamoswine,Pokémon,Fighting,Stormfront,21,Rare,https://images.pokemontcg.io/dp7/21_hires.png,https://images.pokemontcg.io/dp7/21.png,0.64,1.15,2.49,1.0,,,,,,,0.79,1.23,4.99,1.25,,,,,,,,,,,
021.jpg,dp7-22,Rapidash,Pokémon,Fire,Stormfront,22,Rare,https://images.pokemontcg.io/dp7/22_hires.png,https://images.pokemontcg.io/dp7/22.png,0.75,1.39,3.26,1.13,1.17,,,,,,0.4,1.61,4.82,1.9,0.88,,,,,,,,,,
022.jpg,dp7-23,Roserade,Pokémon,Psychic,Stormfront,23,Rare,https://images.pokemontcg.io/dp7/23_hires.png,https://images.pokemontcg.io/dp7/23.png,0.4,0.75,1.49,0.66,,,,,,,0.75,1.7,4.99,1.22,,,,,,,,,,,
023.jpg,dp7-24,Salamence,Pokémon,Colorless,Stormfront,24,Rare,https://images.pokemontcg.io/dp7/24_hires.png,https://images.pokemontcg.io/dp7/24.png,1.15,2.64,5.78,3.08,3.56,,,,,,0.95,6.83,7.95,4.87,5.09,,,,,,,,,,
024.jpg,dp7-25,Scizor,Pokémon,Grass,Stormfront,25,Rare,https://images.pokemontcg.io/dp7/25_hires.png,https://images.pokemontcg.io/dp7/25.png,2.28,2.39,4.0,3.03,2.29,,,,,,7.38,18.99,23.99,2.98,,,,,,,,,,,
025.jpg,dp7-26,Skuntank,Pokémon,Darkness,Stormfront,26,Rare,https://images.pokemontcg.io/dp7/26_hires.png,https://images.pokemontcg.io/dp7/26.png,0.21,0.53,3.13,0.34,0.21,,,,,,0.39,0.89,4.99,0.94,,,,,,,,,,,
026.jpg,dp7-27,Staraptor,Pokémon,Colorless,Stormfront,27,Rare,https://images.pokemontcg.io/dp7/27_hires.png,https://images.pokemontcg.io/dp7/27.png,0.4,0.75,3.31,0.76,0.4,,,,,,0.73,1.24,2.99,2.15,0.74,,,,,,,,,,
027.jpg,dp7-28,Steelix,Pokémon,Metal,Stormfront,28,Rare,https://images.pokemontcg.io/dp7/28_hires.png,https://images.pokemontcg.io/dp7/28.png,1.49,4.48,11.98,4.96,1.98,,,,,,4.48,5.5,11.24,5.66,,,,,,,,,,,
028.jpg,dp7-29,Tangrowth,Pokémon,Grass,Stormfront,29,Rare,https://images.pokemontcg.io/dp7/29_hires.png,https://images.pokemontcg.io/dp7/29.png,0.5,0.74,2.49,0.56,,,,,,,0.73,1.0,4.99,1.0,0.68,,,,,,,,,,
