Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm1-1,Caterpie,Pokémon,Grass,Sun & Moon,1,Common,https://images.pokemontcg.io/sm1/1_hires.png,https://images.pokemontcg.io/sm1/1.png,0.03,0.15,999.99,0.08,0.08,,,,,,0.1,0.3,1.95,0.19,0.19,,,,,,,,,,
001.jpg,sm1-2,Metapod,Pokémon,Grass,Sun & Moon,2,Uncommon,https://images.pokemontcg.io/sm1/2_hires.png,https://images.pokemontcg.io/sm1/2.png,0.01,0.19,2.97,0.06,0.05,,,,,,0.02,0.25,9.95,0.19,0.2,,,,,,,,,,
002.jpg,sm1-3,Butterfree,Pokémon,Grass,Sun & Moon,3,Rare,https://images.pokemontcg.io/sm1/3_hires.png,https://images.pokemontcg.io/sm1/3.png,0.1,0.25,6.95,0.18,0.18,,,,,,0.2,0.37,9.95,0.35,0.25,,,,,,,,,,
003.jpg,sm1-4,Paras,Pokémon,Grass,Sun & Moon,4,Common,https://images.pokemontcg.io/sm1/4_hires.png,https://images.pokemontcg.io/sm1/4.png,0.03,0.15,999.99,0.06,0.06,,,,,,0.1,0.26,9.95,0.24,0.16,,,,,,,,,,
004.jpg,sm1-5,Parasect,Pokémon,Grass,Sun & Moon,5,Rare,https://images.pokemontcg.io/sm1/5_hires.png,https://images.pokemontcg.io/sm1/5.png,0.09,0.3,20.0,0.32,0.11,,,,,,0.05,0.32,999.99,0.27,0.15,,,,,,,,,,
005.jpg,sm1-6,Pinsir,Pokémon,Grass,Sun & Moon,6,Uncommon,https://images.pokemontcg.io/sm1/6_hires.png,https://images.pokemontcg.io/sm1/6.png,0.05,0.2,2.97,0.11,0.11,,,,,,0.1,0.3,9.95,0.25,0.15,,,,,,,,,,
006.jpg,sm1-7,Surskit,Pokémon,Grass,Sun & Moon,7,Common,https://images.pokemontcg.io/sm1/7_hires.png,https://images.pokemontcg.io/sm1/7.png,0.01,0.17,999.99,0.07,0.07,,,,,,0.1,0.25,1.95,0.17,0.14,,,,,,,,,,
007.jpg,sm1-8,Masquerain,Pokémon,Grass,Sun & Moon,8,Rare,https://images.pokemontcg.io/sm1/8_hires.png,https://images.pokemontcg.io/sm1/8.png,0.03,0.25,6.95,0.15,0.09,,,,,,0.01,0.3,9.95,0.2,0.17,,,,,,,,,,
008.jpg,sm1-9,Rowlet,Pokémon,Grass,Sun & Moon,9,Common,https://images.pokemontcg.io/sm1/9_hires.png,https://images.pokemontcg.io/sm1/9.png,0.03,0.15,999.99,0.08,0.08,,,,,,0.17,0.34,9.95,0.33,0.17,,,,,,,,,,
009.jpg,sm1-10,Dartrix,Pokémon,Grass,Sun & Moon,10,Uncommon,https://images.pokemontcg.io/sm1/10_hires.png,https://images.pokemontcg.io/sm1/10.png,0.03,0.2,2.97,0.12,0.08,,,,,,0.1,0.31,9.95,0.22,0.1,,,,,,,,,,
010.jpg,sm1-11,Decidueye,Pokémon,Grass,Sun & Moon,11,Rare,https://images.pokemontcg.io/sm1/11_hires.png,https://images.pokemontcg.io/sm1/11.png,0.08,0.25,6.95,0.11,0.12,,,,,,0.14,0.39,9.95,0.34,0.14,,,,,,,,,,
011.jpg,sm1-12,Decidueye-GX,Pokémon,Grass,Sun & Moon,12,Rare Holo GX,https://images.pokemontcg.io/sm1/12_hires.png,https://images.pokemontcg.io/sm1/12.png,,,,,,0.9,2.27,11.73,1.75,2.68,,,,,,,,,,,,,,,
012.jpg,sm1-13,Grubbin,Pokémon,Grass,Sun & Moon,13,Common,https://images.pokemontcg.io/sm1/13_hires.png,https://images.pokemontcg.io/sm1/13.png,0.02,0.19,1.22,0.07,0.05,,,,,,0.1,0.33,1.95,0.25,0.24,,,,,,,,,,
013.jpg,sm1-14,Fomantis,Pokémon,Grass,Sun & Moon,14,Common,https://images.pokemontcg.io/sm1/14_hires.png,https://images.pokemontcg.io/sm1/14.png,0.01,0.19,999.99,0.07,0.05,,,,,,0.15,0.3,9.95,0.23,0.15,,,,,,,,,,
014.jpg,sm1-15,Lurantis-GX,Pokémon,Grass,Sun & Moon,15,Rare Holo GX,https://images.pokemontcg.io/sm1/15_hires.png,https://images.pokemontcg.io/sm1/15.png,,,,,,1.0,2.24,11.52,1.3,2.06,,,,,,,,,,,,,,,
015.jpg,sm1-16,Morelull,Pokémon,Grass,Sun & Moon,16,Common,https://images.pokemontcg.io/sm1/16_hires.png,https://images.pokemontcg.io/sm1/16.png,0.01,0.15,999.99,0.07,0.08,,,,,,0.08,0.25,9.95,0.16,0.14,,,,,,,,,,
016.jpg,sm1-17,Shiinotic,Pokémon,Grass,Sun & Moon,17,Rare Holo,https://images.pokemontcg.io/sm1/17_hires.png,https://images.pokemontcg.io/sm1/17.png,,,,,,0.19,0.5,9.95,0.31,0.25,0.25,0.65,9.95,0.64,0.3,,,,,,,,,,
017.jpg,sm1-18,Bounsweet,Pokémon,Grass,Sun & Moon,18,Common,https://images.pokemontcg.io/sm1/18_hires.png,https://images.pokemontcg.io/sm1/18.png,0.01,0.19,999.99,0.05,0.06,,,,,,0.07,0.26,9.95,0.18,0.13,,,,,,,,,,
018.jpg,sm1-19,Steenee,Pokémon,Grass,Sun & Moon,19,Uncommon,https://images.pokemontcg.io/sm1/19_hires.png,https://images.pokemontcg.io/sm1/19.png,0.03,0.2,2.97,0.08,0.04,,,,,,0.05,0.29,9.95,0.26,0.25,,,,,,,,,,
019.jpg,sm1-20,Tsareena,Pokémon,Grass,Sun & Moon,20,Rare Holo,https://images.pokemontcg.io/sm1/20_hires.png,https://images.pokemontcg.io/sm1/20.png,,,,,,0.2,0.49,999.99,0.41,0.36,0.25,0.54,9.95,0.54,0.54,,,,,,,,,,
020.jpg,sm1-21,Growlithe,Pokémon,Fire,Sun & Moon,21,Common,https://images.pokemontcg.io/sm1/21_hires.png,https://images.pokemontcg.io/sm1/21.png,0.02,0.17,999.99,0.09,0.07,,,,,,0.15,0.3,9.95,0.26,0.19,,,,,,,,,,
021.jpg,sm1-22,Arcanine,Pokémon,Fire,Sun & Moon,22,Rare Holo,https://images.pokemontcg.io/sm1/22_hires.png,https://images.pokemontcg.io/sm1/22.png,,,,,,0.25,0.95,4.95,0.96,0.94,0.3,0.98,9.95,1.06,0.77,,,,,,,,,,
022.jpg,sm1-23,Torkoal,Pokémon,Fire,Sun & Moon,23,Common,https://images.pokemontcg.io/sm1/23_hires.png,https://images.pokemontcg.io/sm1/23.png,0.03,0.15,999.99,0.08,0.09,,,,,,0.14,0.3,9.95,0.18,0.15,,,,,,,,,,
023.jpg,sm1-24,Litten,Pokémon,Fire,Sun & Moon,24,Common,https://images.pokemontcg.io/sm1/24_hires.png,https://images.pokemontcg.io/sm1/24.png,0.01,0.19,1.0,0.11,0.07,,,,,,0.14,0.26,9.95,0.22,0.14,,,,,,,,,,
024.jpg,sm1-25,Torracat,Pokémon,Fire,Sun & Moon,25,Uncommon,https://images.pokemontcg.io/sm1/25_hires.png,https://images.pokemontcg.io/sm1/25.png,0.01,0.2,999.99,0.08,0.06,,,,,,0.08,0.4,9.95,0.22,0.2,,,,,,,,,,
025.jpg,sm1-26,Incineroar,Pokémon,Fire,Sun & Moon,26,Rare,https://images.pokemontcg.io/sm1/26_hires.png,https://images.pokemontcg.io/sm1/26.png,0.03,0.25,6.95,0.14,0.15,,,,,,0.17,0.45,9.95,0.27,0.22,,,,,,,,,,
026.jpg,sm1-27,Incineroar-GX,Pokémon,Fire,Sun & Moon,27,Rare Holo GX,https://images.pokemontcg.io/sm1/27_hires.png,https://images.pokemontcg.io/sm1/27.png,,,,,,1.41,3.5,13.59,2.63,4.49,,,,,,,,,,,,,,,
027.jpg,sm1-28,Psyduck,Pokémon,Water,Sun & Moon,28,Common,https://images.pokemontcg.io/sm1/28_hires.png,https://images.pokemontcg.io/sm1/28.png,0.01,0.19,1.0,0.1,0.08,,,,,,0.15,0.33,9.95,0.33,0.19,,,,,,,,,,
028.jpg,sm1-29,Golduck,Pokémon,Water,Sun & Moon,29,Rare,https://images.pokemontcg.io/sm1/29_hires.png,https://images.pokemontcg.io/sm1/29.png,0.05,0.25,999.99,0.12,0.12,,,,,,0.15,0.35,9.95,0.29,0.22,,,,,,,,,,
029.jpg,sm1-30,Poliwag,Pokémon,Water,Sun & Moon,30,Common,https://images.pokemontcg.io/sm1/30_hires.png,https://images.pokemontcg.io/sm1/30.png,0.04,0.16,1.0,0.14,0.13,,,,,,0.15,0.3,3.0,0.27,0.24,,,,,,,,,,
030.jpg,sm1-31,Poliwhirl,Pokémon,Water,Sun & Moon,31,Uncommon,https://images.pokemontcg.io/sm1/31_hires.png,https://images.pokemontcg.io/sm1/31.png,0.04,0.19,2.97,0.11,0.09,,,,,,0.14,0.25,2.11,0.25,0.15,,,,,,,,,,
031.jpg,sm1-32,Poliwrath,Pokémon,Water,Sun & Moon,32,Rare Holo,https://images.pokemontcg.io/sm1/32_hires.png,https://images.pokemontcg.io/sm1/32.png,,,,,,0.24,0.62,9.95,0.48,0.54,0.3,0.69,2.99,0.81,0.5,,,,,,,,,,
032.jpg,sm1-33,Shellder,Pokémon,Water,Sun & Moon,33,Common,https://images.pokemontcg.io/sm1/33_hires.png,https://images.pokemontcg.io/sm1/33.png,0.01,0.15,999.99,0.1,0.07,,,,,,0.12,0.25,9.95,0.2,0.18,,,,,,,,,,
