Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,pl3-1,Absol G,Pokémon,Darkness,Supreme Victors,1,Rare Holo,https://images.pokemontcg.io/pl3/1_hires.png,https://images.pokemontcg.io/pl3/1.png,,,,,,3.49,5.5,10.15,4.91,,2.78,4.19,5.49,4.15,,,,,,,,,,,
001.jpg,pl3-2,Blaziken FB,Pokémon,Fire,Supreme Victors,2,Rare Holo,https://images.pokemontcg.io/pl3/2_hires.png,https://images.pokemontcg.io/pl3/2.png,,,,,,4.91,6.26,13.81,9.66,4.93,6.26,7.13,10.16,7.95,,,,,,,,,,,
002.jpg,pl3-3,Drifblim FB,Pokémon,Psychic,Supreme Victors,3,Rare Holo,https://images.pokemontcg.io/pl3/3_hires.png,https://images.pokemontcg.io/pl3/3.png,,,,,,2.83,5.1,9.97,5.1,5.09,2.91,4.45,5.0,1.0,4.45,,,,,,,,,,
003.jpg,pl3-4,Electivire FB,Pokémon,Lightning,Supreme Victors,4,Rare Holo,https://images.pokemontcg.io/pl3/4_hires.png,https://images.pokemontcg.io/pl3/4.png,,,,,,2.44,3.73,5.5,3.85,3.73,2.62,3.85,4.99,3.5,2.62,,,,,,,,,,
004.jpg,pl3-5,Garchomp,Pokémon,Colorless,Supreme Victors,5,Rare Holo,https://images.pokemontcg.io/pl3/5_hires.png,https://images.pokemontcg.io/pl3/5.png,,,,,,6.0,13.0,49.95,7.01,,7.63,8.21,11.78,8.32,7.63,,,,,,,,,,
005.jpg,pl3-6,Magmortar,Pokémon,Fire,Supreme Victors,6,Rare Holo,https://images.pokemontcg.io/pl3/6_hires.png,https://images.pokemontcg.io/pl3/6.png,,,,,,1.44,3.18,6.5,3.48,3.37,0.91,1.33,2.99,0.94,,,,,,,,,,,
006.jpg,pl3-7,Metagross,Pokémon,Metal,Supreme Victors,7,Rare Holo,https://images.pokemontcg.io/pl3/7_hires.png,https://images.pokemontcg.io/pl3/7.png,,,,,,1.9,2.99,5.95,4.41,,0.75,2.0,2.9,2.98,,,,,,,,,,,
007.jpg,pl3-8,Rayquaza C,Pokémon,Colorless,Supreme Victors,8,Rare Holo,https://images.pokemontcg.io/pl3/8_hires.png,https://images.pokemontcg.io/pl3/8.png,,,,,,11.91,28.33,70.0,35.88,25.0,11.28,20.1,30.0,21.66,11.28,,,,,,,,,,
008.jpg,pl3-9,Regigigas FB,Pokémon,Colorless,Supreme Victors,9,Rare Holo,https://images.pokemontcg.io/pl3/9_hires.png,https://images.pokemontcg.io/pl3/9.png,,,,,,2.48,2.64,3.99,4.69,,3.49,4.09,5.12,2.89,1.51,,,,,,,,,,
009.jpg,pl3-10,Rhyperior,Pokémon,Fighting,Supreme Victors,10,Rare Holo,https://images.pokemontcg.io/pl3/10_hires.png,https://images.pokemontcg.io/pl3/10.png,,,,,,1.0,1.84,2.49,1.88,,1.2,1.38,2.99,0.94,,,,,,,,,,,
010.jpg,pl3-11,Staraptor FB,Pokémon,Colorless,Supreme Victors,11,Rare Holo,https://images.pokemontcg.io/pl3/11_hires.png,https://images.pokemontcg.io/pl3/11.png,,,,,,3.02,5.0,9.95,7.67,,1.5,3.04,4.59,1.5,1.74,,,,,,,,,,
011.jpg,pl3-12,Swampert,Pokémon,Water,Supreme Victors,12,Rare Holo,https://images.pokemontcg.io/pl3/12_hires.png,https://images.pokemontcg.io/pl3/12.png,,,,,,3.5,5.93,9.98,7.08,,1.66,3.83,7.47,4.27,,,,,,,,,,,
012.jpg,pl3-13,Venusaur,Pokémon,Grass,Supreme Victors,13,Rare Holo,https://images.pokemontcg.io/pl3/13_hires.png,https://images.pokemontcg.io/pl3/13.png,,,,,,10.0,13.49,19.32,17.56,,8.61,9.85,11.49,9.68,,,,,,,,,,,
013.jpg,pl3-14,Yanmega,Pokémon,Grass,Supreme Victors,14,Rare Holo,https://images.pokemontcg.io/pl3/14_hires.png,https://images.pokemontcg.io/pl3/14.png,,,,,,1.0,1.58,3.52,1.56,,1.0,2.25,3.0,1.11,1.0,,,,,,,,,,
014.jpg,pl3-15,Arcanine G,Pokémon,Fire,Supreme Victors,15,Rare,https://images.pokemontcg.io/pl3/15_hires.png,https://images.pokemontcg.io/pl3/15.png,1.3,2.42,8.24,2.79,8.24,,,,,,2.37,3.25,3.99,2.95,,,,,,,,,,,
015.jpg,pl3-16,Articuno,Pokémon,Water,Supreme Victors,16,Rare,https://images.pokemontcg.io/pl3/16_hires.png,https://images.pokemontcg.io/pl3/16.png,4.21,8.99,12.99,8.18,9.99,,,,,,5.99,8.62,49.98,7.59,,,,,,,,,,,
016.jpg,pl3-17,Butterfree FB,Pokémon,Grass,Supreme Victors,17,Rare,https://images.pokemontcg.io/pl3/17_hires.png,https://images.pokemontcg.io/pl3/17.png,1.49,1.93,6.0,1.89,1.62,,,,,,0.99,1.95,3.54,1.42,,,,,,,,,,,
017.jpg,pl3-18,Camerupt,Pokémon,Fire,Supreme Victors,18,Rare,https://images.pokemontcg.io/pl3/18_hires.png,https://images.pokemontcg.io/pl3/18.png,0.24,0.69,2.49,0.5,,,,,,,0.54,0.96,4.99,0.69,0.76,,,,,,,,,,
018.jpg,pl3-19,Camerupt G,Pokémon,Fire,Supreme Victors,19,Rare,https://images.pokemontcg.io/pl3/19_hires.png,https://images.pokemontcg.io/pl3/19.png,0.39,0.58,2.49,0.59,0.46,,,,,,0.63,0.95,4.99,0.98,1.84,,,,,,,,,,
019.jpg,pl3-20,Charizard G,Pokémon,Fire,Supreme Victors,20,Rare,https://images.pokemontcg.io/pl3/20_hires.png,https://images.pokemontcg.io/pl3/20.png,17.99,26.5,43.98,30.91,30.74,,,,,,41.0,51.39,99.95,102.0,41.48,,,,,,,,,,
020.jpg,pl3-21,Chimecho,Pokémon,Psychic,Supreme Victors,21,Rare,https://images.pokemontcg.io/pl3/21_hires.png,https://images.pokemontcg.io/pl3/21.png,0.49,0.89,2.49,0.82,0.43,,,,,,0.5,0.89,4.99,0.9,0.6,,,,,,,,,,
021.jpg,pl3-22,Claydol,Pokémon,Psychic,Supreme Victors,22,Rare,https://images.pokemontcg.io/pl3/22_hires.png,https://images.pokemontcg.io/pl3/22.png,0.39,0.75,2.49,0.45,0.42,,,,,,0.48,0.74,4.99,1.0,0.72,,,,,,,,,,
022.jpg,pl3-23,Crawdaunt G,Pokémon,Darkness,Supreme Victors,23,Rare,https://images.pokemontcg.io/pl3/23_hires.png,https://images.pokemontcg.io/pl3/23.png,0.93,1.5,1.79,1.52,1.12,,,,,,0.86,1.0,4.99,0.99,0.99,,,,,,,,,,
023.jpg,pl3-24,Dewgong,Pokémon,Water,Supreme Victors,24,Rare,https://images.pokemontcg.io/pl3/24_hires.png,https://images.pokemontcg.io/pl3/24.png,0.7,0.99,2.29,0.88,,,,,,,0.25,1.49,2.0,2.0,0.93,,,,,,,,,,
024.jpg,pl3-25,Dodrio,Pokémon,Colorless,Supreme Victors,25,Rare,https://images.pokemontcg.io/pl3/25_hires.png,https://images.pokemontcg.io/pl3/25.png,0.58,1.07,2.49,0.74,,,,,,,0.33,0.92,4.99,0.98,,,,,,,,,,,
025.jpg,pl3-26,Dusknoir FB,Pokémon,Psychic,Supreme Victors,26,Rare,https://images.pokemontcg.io/pl3/26_hires.png,https://images.pokemontcg.io/pl3/26.png,0.85,0.99,1.8,0.85,,,,,,,0.61,0.99,4.99,1.01,0.67,,,,,,,,,,
026.jpg,pl3-27,Empoleon FB,Pokémon,Water,Supreme Victors,27,Rare,https://images.pokemontcg.io/pl3/27_hires.png,https://images.pokemontcg.io/pl3/27.png,0.55,1.0,2.97,1.32,0.98,,,,,,0.79,1.19,2.99,1.13,,,,,,,,,,,
027.jpg,pl3-28,Exploud,Pokémon,Colorless,Supreme Victors,28,Rare,https://images.pokemontcg.io/pl3/28_hires.png,https://images.pokemontcg.io/pl3/28.png,0.68,0.89,1.55,0.74,0.72,,,,,,0.68,0.89,4.99,1.0,0.88,,,,,,,,,,
028.jpg,pl3-29,Honchkrow,Pokémon,Darkness,Supreme Victors,29,Rare,https://images.pokemontcg.io/pl3/29_hires.png,https://images.pokemontcg.io/pl3/29.png,0.47,0.84,2.49,0.65,0.68,,,,,,0.72,0.97,4.99,0.82,0.72,,,,,,,,,,
029.jpg,pl3-30,Lickilicky C,Pokémon,Colorless,Supreme Victors,30,Rare,https://images.pokemontcg.io/pl3/30_hires.png,https://images.pokemontcg.io/pl3/30.png,0.7,1.57,2.97,1.31,0.95,,,,,,0.9,2.97,3.12,0.98,2.27,,,,,,,,,,
030.jpg,pl3-31,Lucario C,Pokémon,Fighting,Supreme Victors,31,Rare,https://images.pokemontcg.io/pl3/31_hires.png,https://images.pokemontcg.io/pl3/31.png,5.78,7.0,9.99,7.11,7.0,,,,,,5.51,16.52,37.95,8.36,,,,,,,,,,,
031.jpg,pl3-32,Lunatone,Pokémon,Psychic,Supreme Victors,32,Rare,https://images.pokemontcg.io/pl3/32_hires.png,https://images.pokemontcg.io/pl3/32.png,0.39,1.13,3.13,0.55,,,,,,,0.7,1.05,4.99,0.84,0.74,,,,,,,,,,
032.jpg,pl3-33,Mawile,Pokémon,Metal,Supreme Victors,33,Rare,https://images.pokemontcg.io/pl3/33_hires.png,https://images.pokemontcg.io/pl3/33.png,0.52,0.97,2.49,0.98,0.6,,,,,,0.58,1.27,2.99,1.1,0.58,,,,,,,,,,
033.jpg,pl3-34,Medicham,Pokémon,Psychic,Supreme Victors,34,Rare,https://images.pokemontcg.io/pl3/34_hires.png,https://images.pokemontcg.io/pl3/34.png,0.49,0.89,2.0,1.0,0.52,,,,,,0.5,0.79,1.5,0.88,0.87,,,,,,,,,,
