Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv8-1,Exeggcute,Pokémon,Grass,Surging Sparks,1,Common,https://images.pokemontcg.io/sv8/1_hires.png,https://images.pokemontcg.io/sv8/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv8-2,Exeggcute,Pokémon,Grass,Surging Sparks,2,Common,https://images.pokemontcg.io/sv8/2_hires.png,https://images.pokemontcg.io/sv8/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv8-3,Exeggutor,Pokémon,Grass,Surging Sparks,3,Uncommon,https://images.pokemontcg.io/sv8/3_hires.png,https://images.pokemontcg.io/sv8/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv8-4,Durant ex,Pokémon,Grass,Surging Sparks,4,Double Rare,https://images.pokemontcg.io/sv8/4_hires.png,https://images.pokemontcg.io/sv8/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv8-5,Scatterbug,Pokémon,Grass,Surging Sparks,5,Common,https://images.pokemontcg.io/sv8/5_hires.png,https://images.pokemontcg.io/sv8/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv8-6,Spewpa,Pokémon,Grass,Surging Sparks,6,Common,https://images.pokemontcg.io/sv8/6_hires.png,https://images.pokemontcg.io/sv8/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv8-7,Vivillon,Pokémon,Grass,Surging Sparks,7,Uncommon,https://images.pokemontcg.io/sv8/7_hires.png,https://images.pokemontcg.io/sv8/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv8-8,Morelull,Pokémon,Grass,Surging Sparks,8,Common,https://images.pokemontcg.io/sv8/8_hires.png,https://images.pokemontcg.io/sv8/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv8-9,Shiinotic,Pokémon,Grass,Surging Sparks,9,Uncommon,https://images.pokemontcg.io/sv8/9_hires.png,https://images.pokemontcg.io/sv8/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv8-10,Dhelmise,Pokémon,Grass,Surging Sparks,10,Common,https://images.pokemontcg.io/sv8/10_hires.png,https://images.pokemontcg.io/sv8/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,sv8-11,Zarude,Pokémon,Grass,Surging Sparks,11,Rare,https://images.pokemontcg.io/sv8/11_hires.png,https://images.pokemontcg.io/sv8/11.png,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,sv8-12,Capsakid,Pokémon,Grass,Surging Sparks,12,Common,https://images.pokemontcg.io/sv8/12_hires.png,https://images.pokemontcg.io/sv8/12.png,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,sv8-13,Rellor,Pokémon,Grass,Surging Sparks,13,Common,https://images.pokemontcg.io/sv8/13_hires.png,https://images.pokemontcg.io/sv8/13.png,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,sv8-14,Rabsca,Pokémon,Grass,Surging Sparks,14,Rare,https://images.pokemontcg.io/sv8/14_hires.png,https://images.pokemontcg.io/sv8/14.png,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,sv8-15,Wo-Chien,Pokémon,Grass,Surging Sparks,15,Uncommon,https://images.pokemontcg.io/sv8/15_hires.png,https://images.pokemontcg.io/sv8/15.png,,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,sv8-16,Vulpix,Pokémon,Fire,Surging Sparks,16,Common,https://images.pokemontcg.io/sv8/16_hires.png,https://images.pokemontcg.io/sv8/16.png,,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,sv8-17,Ninetales,Pokémon,Fire,Surging Sparks,17,Uncommon,https://images.pokemontcg.io/sv8/17_hires.png,https://images.pokemontcg.io/sv8/17.png,,,,,,,,,,,,,,,,,,,,,,,,,
017.jpg,sv8-18,Paldean Tauros,Pokémon,Fire,Surging Sparks,18,Uncommon,https://images.pokemontcg.io/sv8/18_hires.png,https://images.pokemontcg.io/sv8/18.png,,,,,,,,,,,,,,,,,,,,,,,,,
018.jpg,sv8-19,Ho-Oh,Pokémon,Fire,Surging Sparks,19,Uncommon,https://images.pokemontcg.io/sv8/19_hires.png,https://images.pokemontcg.io/sv8/19.png,,,,,,,,,,,,,,,,,,,,,,,,,
019.jpg,sv8-20,Castform Sunny Form,Pokémon,Fire,Surging Sparks,20,Common,https://images.pokemontcg.io/sv8/20_hires.png,https://images.pokemontcg.io/sv8/20.png,,,,,,,,,,,,,,,,,,,,,,,,,
020.jpg,sv8-21,Victini,Pokémon,Fire,Surging Sparks,21,Uncommon,https://images.pokemontcg.io/sv8/21_hires.png,https://images.pokemontcg.io/sv8/21.png,,,,,,,,,,,,,,,,,,,,,,,,,
021.jpg,sv8-22,Pansear,Pokémon,Fire,Surging Sparks,22,Common,https://images.pokemontcg.io/sv8/22_hires.png,https://images.pokemontcg.io/sv8/22.png,,,,,,,,,,,,,,,,,,,,,,,,,
022.jpg,sv8-23,Simisear,Pokémon,Fire,Surging Sparks,23,Common,https://images.pokemontcg.io/sv8/23_hires.png,https://images.pokemontcg.io/sv8/23.png,,,,,,,,,,,,,,,,,,,,,,,,,
