Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex4-1,Team Aqua's Cacturne,Pokémon,Grass__Darkness,Team Magma vs Team Aqua,1,Rare Holo,https://images.pokemontcg.io/ex4/1_hires.png,https://images.pokemontcg.io/ex4/1.png,,,,,,3.25,14.86,19.06,15.25,7.47,10.0,15.48,84.33,15.97,,,,,,,,,,,
001.jpg,ex4-2,Team Aqua's Crawdaunt,Pokémon,Water__Darkness,Team Magma vs Team Aqua,2,Rare Holo,https://images.pokemontcg.io/ex4/2_hires.png,https://images.pokemontcg.io/ex4/2.png,,,,,,5.88,10.99,32.99,7.56,,4.69,5.13,33.99,5.0,5.25,,,,,,,,,,
002.jpg,ex4-3,Team Aqua's Kyogre,Pokémon,Water__Darkness,Team Magma vs Team Aqua,3,Rare Holo,https://images.pokemontcg.io/ex4/3_hires.png,https://images.pokemontcg.io/ex4/3.png,,,,,,11.47,24.5,78.61,24.85,11.47,9.99,29.99,39.99,39.99,28.79,,,,,,,,,,
003.jpg,ex4-4,Team Aqua's Manectric,Pokémon,Lightning__Darkness,Team Magma vs Team Aqua,4,Rare Holo,https://images.pokemontcg.io/ex4/4_hires.png,https://images.pokemontcg.io/ex4/4.png,,,,,,7.9,12.78,25.78,15.19,,7.0,11.5,29.97,11.33,,,,,,,,,,,
004.jpg,ex4-5,Team Aqua's Sharpedo,Pokémon,Water__Darkness,Team Magma vs Team Aqua,5,Rare Holo,https://images.pokemontcg.io/ex4/5_hires.png,https://images.pokemontcg.io/ex4/5.png,,,,,,12.88,14.21,17.94,12.23,16.0,9.43,15.6,19.44,8.49,,,,,,,,,,,
005.jpg,ex4-6,Team Aqua's Walrein,Pokémon,Water__Darkness,Team Magma vs Team Aqua,6,Rare Holo,https://images.pokemontcg.io/ex4/6_hires.png,https://images.pokemontcg.io/ex4/6.png,,,,,,1.44,3.16,10.97,5.17,1.98,3.0,4.51,7.0,9.64,,,,,,,,,,,
006.jpg,ex4-7,Team Magma's Aggron,Pokémon,Fighting__Darkness,Team Magma vs Team Aqua,7,Rare Holo,https://images.pokemontcg.io/ex4/7_hires.png,https://images.pokemontcg.io/ex4/7.png,,,,,,2.9,5.03,29.99,11.26,4.14,9.81,14.96,31.3,14.97,10.0,,,,,,,,,,
007.jpg,ex4-8,Team Magma's Claydol,Pokémon,Psychic__Darkness,Team Magma vs Team Aqua,8,Rare Holo,https://images.pokemontcg.io/ex4/8_hires.png,https://images.pokemontcg.io/ex4/8.png,,,,,,7.48,13.5,15.97,12.99,14.37,9.94,10.32,10.71,6.73,10.69,,,,,,,,,,
008.jpg,ex4-9,Team Magma's Groudon,Pokémon,Fighting__Darkness,Team Magma vs Team Aqua,9,Rare Holo,https://images.pokemontcg.io/ex4/9_hires.png,https://images.pokemontcg.io/ex4/9.png,,,,,,19.25,30.0,38.49,27.92,,22.8,33.5,49.99,40.65,,,,,,,,,,,
009.jpg,ex4-10,Team Magma's Houndoom,Pokémon,Fire__Darkness,Team Magma vs Team Aqua,10,Rare Holo,https://images.pokemontcg.io/ex4/10_hires.png,https://images.pokemontcg.io/ex4/10.png,,,,,,18.81,20.87,25.0,31.24,19.54,12.97,30.38,50.77,12.97,12.97,,,,,,,,,,
010.jpg,ex4-11,Team Magma's Rhydon,Pokémon,Fighting__Darkness,Team Magma vs Team Aqua,11,Rare Holo,https://images.pokemontcg.io/ex4/11_hires.png,https://images.pokemontcg.io/ex4/11.png,,,,,,6.64,7.7,19.99,12.48,7.67,5.99,7.0,17.39,7.99,5.99,,,,,,,,,,
