Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex7-1,Azumarill,Pokémon,Water,Team Rocket Returns,1,Rare Holo,https://images.pokemontcg.io/ex7/1_hires.png,https://images.pokemontcg.io/ex7/1.png,,,,,,8.0,9.25,18.99,14.38,3.77,7.3,20.55,28.0,28.64,16.46,,,,,,,,,,
001.jpg,ex7-2,Dark Ampharos,Pokémon,Lightning__Darkness,Team Rocket Returns,2,Rare Holo,https://images.pokemontcg.io/ex7/2_hires.png,https://images.pokemontcg.io/ex7/2.png,,,,,,20.0,30.74,100.0,40.18,,51.0,54.99,78.03,16.0,,,,,,,,,,,
002.jpg,ex7-3,Dark Crobat,Pokémon,Grass__Darkness,Team Rocket Returns,3,Rare Holo,https://images.pokemontcg.io/ex7/3_hires.png,https://images.pokemontcg.io/ex7/3.png,,,,,,7.0,16.84,37.49,17.0,7.99,24.0,24.99,47.0,6.02,,,,,,,,,,,
003.jpg,ex7-4,Dark Electrode,Pokémon,Lightning__Darkness,Team Rocket Returns,4,Rare Holo,https://images.pokemontcg.io/ex7/4_hires.png,https://images.pokemontcg.io/ex7/4.png,,,,,,14.31,18.04,40.0,29.43,,24.99,34.99,79.14,34.99,,,,,,,,,,,
004.jpg,ex7-5,Dark Houndoom,Pokémon,Fire__Darkness,Team Rocket Returns,5,Rare Holo,https://images.pokemontcg.io/ex7/5_hires.png,https://images.pokemontcg.io/ex7/5.png,,,,,,17.37,34.99,59.98,49.93,10.61,37.99,49.99,65.99,39.26,,,,,,,,,,,
005.jpg,ex7-6,Dark Hypno,Pokémon,Psychic__Darkness,Team Rocket Returns,6,Rare Holo,https://images.pokemontcg.io/ex7/6_hires.png,https://images.pokemontcg.io/ex7/6.png,,,,,,11.25,15.15,28.5,18.19,,35.73,49.99,99.99,49.99,,,,,,,,,,,
006.jpg,ex7-7,Dark Marowak,Pokémon,Fighting__Darkness,Team Rocket Returns,7,Rare Holo,https://images.pokemontcg.io/ex7/7_hires.png,https://images.pokemontcg.io/ex7/7.png,,,,,,13.99,22.35,31.24,26.09,,27.96,39.98,44.97,22.99,,,,,,,,,,,
007.jpg,ex7-8,Dark Octillery,Pokémon,Water__Darkness,Team Rocket Returns,8,Rare Holo,https://images.pokemontcg.io/ex7/8_hires.png,https://images.pokemontcg.io/ex7/8.png,,,,,,7.51,10.48,19.99,11.75,7.51,11.99,19.0,25.18,18.61,,,,,,,,,,,
008.jpg,ex7-9,Dark Slowking,Pokémon,Psychic__Darkness,Team Rocket Returns,9,Rare Holo,https://images.pokemontcg.io/ex7/9_hires.png,https://images.pokemontcg.io/ex7/9.png,,,,,,20.57,37.86,74.99,32.66,,39.09,47.5,72.46,72.47,,,,,,,,,,,
009.jpg,ex7-10,Dark Steelix,Pokémon,Darkness__Metal,Team Rocket Returns,10,Rare Holo,https://images.pokemontcg.io/ex7/10_hires.png,https://images.pokemontcg.io/ex7/10.png,,,,,,24.92,34.32,62.49,59.99,24.95,20.0,60.23,89.99,23.94,26.95,,,,,,,,,,
010.jpg,ex7-11,Jumpluff,Pokémon,Grass,Team Rocket Returns,11,Rare Holo,https://images.pokemontcg.io/ex7/11_hires.png,https://images.pokemontcg.io/ex7/11.png,,,,,,4.0,8.86,18.91,11.59,,3.33,6.6,10.0,9.75,,,,,,,,,,,
011.jpg,ex7-12,Kingdra,Pokémon,Water,Team Rocket Returns,12,Rare Holo,https://images.pokemontcg.io/ex7/12_hires.png,https://images.pokemontcg.io/ex7/12.png,,,,,,12.98,14.24,19.99,15.51,14.23,11.24,14.94,41.31,11.99,,,,,,,,,,,
012.jpg,ex7-13,Piloswine,Pokémon,Fighting,Team Rocket Returns,13,Rare Holo,https://images.pokemontcg.io/ex7/13_hires.png,https://images.pokemontcg.io/ex7/13.png,,,,,,6.99,7.0,17.49,9.25,6.99,9.93,9.99,13.5,11.24,9.99,,,,,,,,,,
013.jpg,ex7-14,Togetic,Pokémon,Colorless,Team Rocket Returns,14,Rare Holo,https://images.pokemontcg.io/ex7/14_hires.png,https://images.pokemontcg.io/ex7/14.png,,,,,,15.0,23.6,89.95,17.71,,26.75,26.98,33.53,59.99,25.46,,,,,,,,,,
014.jpg,ex7-15,Dark Dragonite,Pokémon,Darkness,Team Rocket Returns,15,Rare,https://images.pokemontcg.io/ex7/15_hires.png,https://images.pokemontcg.io/ex7/15.png,10.5,18.12,79.97,18.86,,,,,,,99.99,120.0,219.95,209.99,,,,,,,,,,,
015.jpg,ex7-16,Dark Muk,Pokémon,Grass__Darkness,Team Rocket Returns,16,Rare,https://images.pokemontcg.io/ex7/16_hires.png,https://images.pokemontcg.io/ex7/16.png,0.78,2.19,4.6,2.63,1.76,,,,,,27.11,31.2,39.99,16.99,,,,,,,,,,,
016.jpg,ex7-17,Dark Raticate,Pokémon,Darkness,Team Rocket Returns,17,Rare,https://images.pokemontcg.io/ex7/17_hires.png,https://images.pokemontcg.io/ex7/17.png,0.75,2.69,5.0,3.47,4.99,,,,,,8.21,11.74,24.99,20.49,,,,,,,,,,,
017.jpg,ex7-18,Dark Sandslash,Pokémon,Fighting__Darkness,Team Rocket Returns,18,Rare,https://images.pokemontcg.io/ex7/18_hires.png,https://images.pokemontcg.io/ex7/18.png,4.18,7.19,11.99,5.41,11.99,,,,,,14.9,20.22,39.99,12.58,14.9,,,,,,,,,,
