Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm9-1,Celebi & Venusaur-GX,Pokémon,Grass,Team Up,1,Rare Holo GX,https://images.pokemontcg.io/sm9/1_hires.png,https://images.pokemontcg.io/sm9/1.png,,,,,,4.14,5.93,9.99,5.98,5.99,,,,,,,,,,,,,,,
001.jpg,sm9-2,Weedle,Pokémon,Grass,Team Up,2,Common,https://images.pokemontcg.io/sm9/2_hires.png,https://images.pokemontcg.io/sm9/2.png,0.04,0.25,0.95,0.11,0.11,,,,,,0.19,0.39,1.13,0.31,0.29,,,,,,,,,,
002.jpg,sm9-3,Weedle,Pokémon,Grass,Team Up,3,Common,https://images.pokemontcg.io/sm9/3_hires.png,https://images.pokemontcg.io/sm9/3.png,0.05,0.21,25.0,0.13,0.08,,,,,,0.13,0.34,3.0,0.29,0.19,,,,,,,,,,
003.jpg,sm9-4,Kakuna,Pokémon,Grass,Team Up,4,Uncommon,https://images.pokemontcg.io/sm9/4_hires.png,https://images.pokemontcg.io/sm9/4.png,0.05,0.25,1.05,0.23,0.23,,,,,,0.1,0.37,1.13,0.34,0.25,,,,,,,,,,
004.jpg,sm9-5,Beedrill,Pokémon,Grass,Team Up,5,Rare,https://images.pokemontcg.io/sm9/5_hires.png,https://images.pokemontcg.io/sm9/5.png,0.05,0.35,1.03,0.32,0.32,,,,,,0.44,0.72,6.9,0.72,0.48,,,,,,,,,,
005.jpg,sm9-6,Paras,Pokémon,Grass,Team Up,6,Common,https://images.pokemontcg.io/sm9/6_hires.png,https://images.pokemontcg.io/sm9/6.png,0.04,0.23,50.0,0.13,0.06,,,,,,0.18,0.39,1.13,0.3,0.27,,,,,,,,,,
006.jpg,sm9-7,Parasect,Pokémon,Grass,Team Up,7,Rare,https://images.pokemontcg.io/sm9/7_hires.png,https://images.pokemontcg.io/sm9/7.png,0.2,0.46,1.99,0.46,0.35,,,,,,0.4,0.89,2.99,0.51,,,,,,,,,,,
007.jpg,sm9-8,Exeggcute,Pokémon,Grass,Team Up,8,Common,https://images.pokemontcg.io/sm9/8_hires.png,https://images.pokemontcg.io/sm9/8.png,0.05,0.2,25.0,0.1,0.06,,,,,,0.1,0.33,1.13,0.29,0.22,,,,,,,,,,
008.jpg,sm9-9,Pinsir,Pokémon,Grass,Team Up,9,Rare,https://images.pokemontcg.io/sm9/9_hires.png,https://images.pokemontcg.io/sm9/9.png,0.19,0.3,1.13,0.31,0.19,,,,,,0.26,0.5,1.5,0.51,0.38,,,,,,,,,,
009.jpg,sm9-10,Shaymin ◇,Pokémon,Grass,Team Up,10,Rare Prism Star,https://images.pokemontcg.io/sm9/10_hires.png,https://images.pokemontcg.io/sm9/10.png,,,,,,0.94,1.95,5.0,1.7,1.75,,,,,,,,,,,,,,,
