Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv5-1,Scyther,Pokémon,Grass,Temporal Forces,1,Common,https://images.pokemontcg.io/sv5/1_hires.png,https://images.pokemontcg.io/sv5/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv5-2,Pineco,Pokémon,Grass,Temporal Forces,2,Common,https://images.pokemontcg.io/sv5/2_hires.png,https://images.pokemontcg.io/sv5/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv5-3,Seedot,Pokémon,Grass,Temporal Forces,3,Common,https://images.pokemontcg.io/sv5/3_hires.png,https://images.pokemontcg.io/sv5/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv5-4,Nuzleaf,Pokémon,Grass,Temporal Forces,4,Common,https://images.pokemontcg.io/sv5/4_hires.png,https://images.pokemontcg.io/sv5/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv5-5,Shiftry,Pokémon,Grass,Temporal Forces,5,Uncommon,https://images.pokemontcg.io/sv5/5_hires.png,https://images.pokemontcg.io/sv5/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv5-6,Shroomish,Pokémon,Grass,Temporal Forces,6,Common,https://images.pokemontcg.io/sv5/6_hires.png,https://images.pokemontcg.io/sv5/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv5-7,Breloom,Pokémon,Grass,Temporal Forces,7,Common,https://images.pokemontcg.io/sv5/7_hires.png,https://images.pokemontcg.io/sv5/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv5-8,Roselia,Pokémon,Grass,Temporal Forces,8,Common,https://images.pokemontcg.io/sv5/8_hires.png,https://images.pokemontcg.io/sv5/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv5-9,Roserade,Pokémon,Grass,Temporal Forces,9,Uncommon,https://images.pokemontcg.io/sv5/9_hires.png,https://images.pokemontcg.io/sv5/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv5-10,Turtwig,Pokémon,Grass,Temporal Forces,10,Common,https://images.pokemontcg.io/sv5/10_hires.png,https://images.pokemontcg.io/sv5/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,sv5-11,Grotle,Pokémon,Grass,Temporal Forces,11,Common,https://images.pokemontcg.io/sv5/11_hires.png,https://images.pokemontcg.io/sv5/11.png,,,,,,,,,,,,,,,,,,,,,,,,,
