Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv6-1,Tangela,Pokémon,Grass,Twilight Masquerade,1,Common,https://images.pokemontcg.io/sv6/1_hires.png,https://images.pokemontcg.io/sv6/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv6-2,Tangrowth,Pokémon,Grass,Twilight Masquerade,2,Common,https://images.pokemontcg.io/sv6/2_hires.png,https://images.pokemontcg.io/sv6/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv6-3,Pinsir,Pokémon,Grass,Twilight Masquerade,3,Common,https://images.pokemontcg.io/sv6/3_hires.png,https://images.pokemontcg.io/sv6/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv6-4,Spinarak,Pokémon,Grass,Twilight Masquerade,4,Common,https://images.pokemontcg.io/sv6/4_hires.png,https://images.pokemontcg.io/sv6/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv6-5,Ariados,Pokémon,Grass,Twilight Masquerade,5,Uncommon,https://images.pokemontcg.io/sv6/5_hires.png,https://images.pokemontcg.io/sv6/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv6-6,Sunkern,Pokémon,Grass,Twilight Masquerade,6,Common,https://images.pokemontcg.io/sv6/6_hires.png,https://images.pokemontcg.io/sv6/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv6-7,Sunflora,Pokémon,Grass,Twilight Masquerade,7,Uncommon,https://images.pokemontcg.io/sv6/7_hires.png,https://images.pokemontcg.io/sv6/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv6-8,Heracross,Pokémon,Grass,Twilight Masquerade,8,Uncommon,https://images.pokemontcg.io/sv6/8_hires.png,https://images.pokemontcg.io/sv6/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv6-9,Volbeat,Pokémon,Grass,Twilight Masquerade,9,Common,https://images.pokemontcg.io/sv6/9_hires.png,https://images.pokemontcg.io/sv6/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv6-10,Illumise,Pokémon,Grass,Twilight Masquerade,10,Common,https://images.pokemontcg.io/sv6/10_hires.png,https://images.pokemontcg.io/sv6/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,sv6-11,Leafeon,Pokémon,Grass,Twilight Masquerade,11,Uncommon,https://images.pokemontcg.io/sv6/11_hires.png,https://images.pokemontcg.io/sv6/11.png,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,sv6-12,Phantump,Pokémon,Grass,Twilight Masquerade,12,Common,https://images.pokemontcg.io/sv6/12_hires.png,https://images.pokemontcg.io/sv6/12.png,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,sv6-13,Trevenant,Pokémon,Grass,Twilight Masquerade,13,Common,https://images.pokemontcg.io/sv6/13_hires.png,https://images.pokemontcg.io/sv6/13.png,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,sv6-14,Grookey,Pokémon,Grass,Twilight Masquerade,14,Common,https://images.pokemontcg.io/sv6/14_hires.png,https://images.pokemontcg.io/sv6/14.png,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,sv6-15,Thwackey,Pokémon,Grass,Twilight Masquerade,15,Common,https://images.pokemontcg.io/sv6/15_hires.png,https://images.pokemontcg.io/sv6/15.png,,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,sv6-16,Rillaboom,Pokémon,Grass,Twilight Masquerade,16,Uncommon,https://images.pokemontcg.io/sv6/16_hires.png,https://images.pokemontcg.io/sv6/16.png,,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,sv6-17,Applin,Pokémon,Grass,Twilight Masquerade,17,Common,https://images.pokemontcg.io/sv6/17_hires.png,https://images.pokemontcg.io/sv6/17.png,,,,,,,,,,,,,,,,,,,,,,,,,
017.jpg,sv6-18,Dipplin,Pokémon,Grass,Twilight Masquerade,18,Uncommon,https://images.pokemontcg.io/sv6/18_hires.png,https://images.pokemontcg.io/sv6/18.png,,,,,,,,,,,,,,,,,,,,,,,,,
018.jpg,sv6-19,Iron Leaves,Pokémon,Grass,Twilight Masquerade,19,Rare,https://images.pokemontcg.io/sv6/19_hires.png,https://images.pokemontcg.io/sv6/19.png,,,,,,,,,,,,,,,,,,,,,,,,,
019.jpg,sv6-20,Poltchageist,Pokémon,Grass,Twilight Masquerade,20,Common,https://images.pokemontcg.io/sv6/20_hires.png,https://images.pokemontcg.io/sv6/20.png,,,,,,,,,,,,,,,,,,,,,,,,,
020.jpg,sv6-21,Poltchageist,Pokémon,Grass,Twilight Masquerade,21,Common,https://images.pokemontcg.io/sv6/21_hires.png,https://images.pokemontcg.io/sv6/21.png,,,,,,,,,,,,,,,,,,,,,,,,,
021.jpg,sv6-22,Sinistcha,Pokémon,Grass,Twilight Masquerade,22,Rare,https://images.pokemontcg.io/sv6/22_hires.png,https://images.pokemontcg.io/sv6/22.png,,,,,,,,,,,,,,,,,,,,,,,,,
