Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm5-1,Exeggcute,Pokémon,Grass,Ultra Prism,1,Common,https://images.pokemontcg.io/sm5/1_hires.png,https://images.pokemontcg.io/sm5/1.png,0.05,0.24,1.97,0.1,0.15,,,,,,0.11,0.34,1.95,0.2,0.25,,,,,,,,,,
001.jpg,sm5-2,Yanma,Pokémon,Grass,Ultra Prism,2,Common,https://images.pokemontcg.io/sm5/2_hires.png,https://images.pokemontcg.io/sm5/2.png,0.04,0.22,1.97,0.07,0.06,,,,,,0.08,0.33,1.95,0.24,0.19,,,,,,,,,,
002.jpg,sm5-3,Yanmega,Pokémon,Grass,Ultra Prism,3,Uncommon,https://images.pokemontcg.io/sm5/3_hires.png,https://images.pokemontcg.io/sm5/3.png,0.05,0.25,2.97,0.11,0.15,,,,,,0.13,0.35,1.95,0.21,0.25,,,,,,,,,,
003.jpg,sm5-4,Roselia,Pokémon,Grass,Ultra Prism,4,Common,https://images.pokemontcg.io/sm5/4_hires.png,https://images.pokemontcg.io/sm5/4.png,0.05,0.21,1.97,0.09,0.08,,,,,,0.09,0.3,1.95,0.22,0.22,,,,,,,,,,
004.jpg,sm5-5,Roserade,Pokémon,Grass,Ultra Prism,5,Rare,https://images.pokemontcg.io/sm5/5_hires.png,https://images.pokemontcg.io/sm5/5.png,0.09,0.32,4.95,0.18,0.2,,,,,,0.19,0.4,1.99,0.27,0.25,,,,,,,,,,
005.jpg,sm5-6,Turtwig,Pokémon,Grass,Ultra Prism,6,Common,https://images.pokemontcg.io/sm5/6_hires.png,https://images.pokemontcg.io/sm5/6.png,0.05,0.25,1.97,0.21,0.21,,,,,,0.15,0.29,1.95,0.24,0.25,,,,,,,,,,
006.jpg,sm5-7,Turtwig,Pokémon,Grass,Ultra Prism,7,Common,https://images.pokemontcg.io/sm5/7_hires.png,https://images.pokemontcg.io/sm5/7.png,0.05,0.25,1.97,0.17,0.2,,,,,,0.11,0.31,9.95,0.23,0.25,,,,,,,,,,
007.jpg,sm5-8,Grotle,Pokémon,Grass,Ultra Prism,8,Uncommon,https://images.pokemontcg.io/sm5/8_hires.png,https://images.pokemontcg.io/sm5/8.png,0.08,0.33,2.97,0.29,0.33,,,,,,0.15,0.38,1.95,0.34,0.34,,,,,,,,,,
008.jpg,sm5-9,Torterra,Pokémon,Grass,Ultra Prism,9,Rare Holo,https://images.pokemontcg.io/sm5/9_hires.png,https://images.pokemontcg.io/sm5/9.png,,,,,,0.92,1.5,2.91,1.53,1.54,0.8,1.12,1.54,1.43,1.43,,,,,,,,,,
009.jpg,sm5-10,Cherubi,Pokémon,Grass,Ultra Prism,10,Common,https://images.pokemontcg.io/sm5/10_hires.png,https://images.pokemontcg.io/sm5/10.png,0.05,0.25,1.97,0.12,0.1,,,,,,0.17,0.44,1.95,0.33,0.38,,,,,,,,,,
010.jpg,sm5-11,Cherrim,Pokémon,Grass,Ultra Prism,11,Uncommon,https://images.pokemontcg.io/sm5/11_hires.png,https://images.pokemontcg.io/sm5/11.png,0.05,0.25,2.97,0.12,0.1,,,,,,0.14,0.31,1.95,0.24,0.24,,,,,,,,,,
011.jpg,sm5-12,Carnivine,Pokémon,Grass,Ultra Prism,12,Common,https://images.pokemontcg.io/sm5/12_hires.png,https://images.pokemontcg.io/sm5/12.png,0.05,0.25,1.97,0.1,0.1,,,,,,0.16,0.31,9.95,0.17,0.19,,,,,,,,,,
012.jpg,sm5-13,Leafeon-GX,Pokémon,Grass,Ultra Prism,13,Rare Holo GX,https://images.pokemontcg.io/sm5/13_hires.png,https://images.pokemontcg.io/sm5/13.png,,,,,,4.21,6.25,19.95,4.93,5.0,,,,,,,,,,,,,,,
013.jpg,sm5-14,Mow Rotom,Pokémon,Grass,Ultra Prism,14,Rare,https://images.pokemontcg.io/sm5/14_hires.png,https://images.pokemontcg.io/sm5/14.png,0.19,0.37,1.93,0.33,0.34,,,,,,0.24,0.49,2.0,0.4,0.34,,,,,,,,,,
014.jpg,sm5-15,Shaymin,Pokémon,Grass,Ultra Prism,15,Rare Holo,https://images.pokemontcg.io/sm5/15_hires.png,https://images.pokemontcg.io/sm5/15.png,,,,,,0.15,0.75,3.93,0.57,0.44,0.22,0.68,1.95,0.62,,,,,,,,,,,
015.jpg,sm5-16,Dewpider,Pokémon,Grass,Ultra Prism,16,Common,https://images.pokemontcg.io/sm5/16_hires.png,https://images.pokemontcg.io/sm5/16.png,0.05,0.22,1.97,0.08,0.07,,,,,,0.1,0.32,9.95,0.19,0.1,,,,,,,,,,
016.jpg,sm5-17,Araquanid,Pokémon,Grass,Ultra Prism,17,Rare,https://images.pokemontcg.io/sm5/17_hires.png,https://images.pokemontcg.io/sm5/17.png,0.11,0.35,4.95,0.38,0.2,,,,,,0.1,0.45,2.0,0.25,0.25,,,,,,,,,,
017.jpg,sm5-18,Magmar,Pokémon,Fire,Ultra Prism,18,Common,https://images.pokemontcg.io/sm5/18_hires.png,https://images.pokemontcg.io/sm5/18.png,0.08,0.24,1.97,0.1,0.11,,,,,,0.15,0.35,1.95,0.24,0.15,,,,,,,,,,
018.jpg,sm5-19,Magmortar,Pokémon,Fire,Ultra Prism,19,Rare Holo,https://images.pokemontcg.io/sm5/19_hires.png,https://images.pokemontcg.io/sm5/19.png,,,,,,0.2,0.55,19.95,0.52,0.41,0.34,0.68,1.95,0.63,0.34,,,,,,,,,,
019.jpg,sm5-20,Chimchar,Pokémon,Fire,Ultra Prism,20,Common,https://images.pokemontcg.io/sm5/20_hires.png,https://images.pokemontcg.io/sm5/20.png,0.09,0.25,1.97,0.15,0.17,,,,,,0.1,0.34,1.95,0.23,0.23,,,,,,,,,,
020.jpg,sm5-21,Chimchar,Pokémon,Fire,Ultra Prism,21,Common,https://images.pokemontcg.io/sm5/21_hires.png,https://images.pokemontcg.io/sm5/21.png,0.09,0.25,1.97,0.18,0.22,,,,,,0.15,0.35,1.95,0.27,0.25,,,,,,,,,,
021.jpg,sm5-22,Monferno,Pokémon,Fire,Ultra Prism,22,Uncommon,https://images.pokemontcg.io/sm5/22_hires.png,https://images.pokemontcg.io/sm5/22.png,0.1,0.25,2.97,0.23,0.25,,,,,,0.15,0.46,1.95,0.37,0.34,,,,,,,,,,
022.jpg,sm5-23,Infernape,Pokémon,Fire,Ultra Prism,23,Rare Holo,https://images.pokemontcg.io/sm5/23_hires.png,https://images.pokemontcg.io/sm5/23.png,,,,,,0.55,1.0,3.93,0.69,0.68,0.78,1.16,6.38,1.36,,,,,,,,,,,
023.jpg,sm5-24,Heat Rotom,Pokémon,Fire,Ultra Prism,24,Rare,https://images.pokemontcg.io/sm5/24_hires.png,https://images.pokemontcg.io/sm5/24.png,0.17,0.35,4.95,0.27,0.3,,,,,,0.25,0.5,2.0,0.45,0.3,,,,,,,,,,
024.jpg,sm5-25,Salandit,Pokémon,Fire,Ultra Prism,25,Common,https://images.pokemontcg.io/sm5/25_hires.png,https://images.pokemontcg.io/sm5/25.png,0.03,0.21,1.97,0.09,0.09,,,,,,0.1,0.32,1.95,0.28,0.25,,,,,,,,,,
025.jpg,sm5-26,Salazzle,Pokémon,Fire,Ultra Prism,26,Rare,https://images.pokemontcg.io/sm5/26_hires.png,https://images.pokemontcg.io/sm5/26.png,0.15,0.35,1.93,0.26,0.15,,,,,,0.22,0.5,19.95,0.26,0.3,,,,,,,,,,
