Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm10-1,Pheromosa & Buzzwole-GX,Pokémon,Grass,Unbroken Bonds,1,Rare Holo GX,https://images.pokemontcg.io/sm10/1_hires.png,https://images.pokemontcg.io/sm10/1.png,,,,,,1.73,2.99,6.99,2.37,2.25,,,,,,,,,,,,,,,
001.jpg,sm10-2,Caterpie,Pokémon,Grass,Unbroken Bonds,2,Common,https://images.pokemontcg.io/sm10/2_hires.png,https://images.pokemontcg.io/sm10/2.png,0.04,0.21,1.0,0.11,0.04,,,,,,0.1,0.26,2.0,0.22,0.22,,,,,,,,,,
002.jpg,sm10-3,Metapod,Pokémon,Grass,Unbroken Bonds,3,Uncommon,https://images.pokemontcg.io/sm10/3_hires.png,https://images.pokemontcg.io/sm10/3.png,0.04,0.25,1.1,0.12,0.12,,,,,,0.15,0.35,1.13,0.35,0.25,,,,,,,,,,
003.jpg,sm10-4,Butterfree,Pokémon,Grass,Unbroken Bonds,4,Rare,https://images.pokemontcg.io/sm10/4_hires.png,https://images.pokemontcg.io/sm10/4.png,0.15,0.4,6.26,0.37,0.3,,,,,,0.27,0.63,1.49,0.63,1.0,,,,,,,,,,
004.jpg,sm10-5,Oddish,Pokémon,Grass,Unbroken Bonds,5,Common,https://images.pokemontcg.io/sm10/5_hires.png,https://images.pokemontcg.io/sm10/5.png,0.04,0.25,1.01,0.11,0.09,,,,,,0.1,0.31,2.0,0.24,0.25,,,,,,,,,,
005.jpg,sm10-6,Oddish,Pokémon,Grass,Unbroken Bonds,6,Common,https://images.pokemontcg.io/sm10/6_hires.png,https://images.pokemontcg.io/sm10/6.png,0.05,0.25,1.01,0.12,0.12,,,,,,0.1,0.32,5.48,0.32,0.29,,,,,,,,,,
006.jpg,sm10-7,Gloom,Pokémon,Grass,Unbroken Bonds,7,Uncommon,https://images.pokemontcg.io/sm10/7_hires.png,https://images.pokemontcg.io/sm10/7.png,0.1,0.25,1.1,0.22,0.15,,,,,,0.4,0.93,5.27,0.75,0.79,,,,,,,,,,
007.jpg,sm10-8,Vileplume,Pokémon,Grass,Unbroken Bonds,8,Rare Holo,https://images.pokemontcg.io/sm10/8_hires.png,https://images.pokemontcg.io/sm10/8.png,,,,,,0.35,0.75,1.99,0.75,0.72,0.25,0.63,1.99,0.59,0.65,,,,,,,,,,
008.jpg,sm10-9,Venonat,Pokémon,Grass,Unbroken Bonds,9,Common,https://images.pokemontcg.io/sm10/9_hires.png,https://images.pokemontcg.io/sm10/9.png,0.05,0.25,0.96,0.13,0.13,,,,,,0.1,0.3,1.99,0.22,0.21,,,,,,,,,,
009.jpg,sm10-10,Venonat,Pokémon,Grass,Unbroken Bonds,10,Common,https://images.pokemontcg.io/sm10/10_hires.png,https://images.pokemontcg.io/sm10/10.png,0.04,0.25,0.96,0.21,0.21,,,,,,0.1,0.35,1.13,0.31,0.3,,,,,,,,,,
010.jpg,sm10-11,Venomoth,Pokémon,Grass,Unbroken Bonds,11,Rare,https://images.pokemontcg.io/sm10/11_hires.png,https://images.pokemontcg.io/sm10/11.png,0.1,0.47,1.15,0.47,0.3,,,,,,0.28,0.5,1.81,0.48,0.28,,,,,,,,,,
011.jpg,sm10-12,Venomoth-GX,Pokémon,Grass,Unbroken Bonds,12,Rare Holo GX,https://images.pokemontcg.io/sm10/12_hires.png,https://images.pokemontcg.io/sm10/12.png,,,,,,1.0,2.24,5.59,1.75,2.35,,,,,,,,,,,,,,,
012.jpg,sm10-13,Bellsprout,Pokémon,Grass,Unbroken Bonds,13,Common,https://images.pokemontcg.io/sm10/13_hires.png,https://images.pokemontcg.io/sm10/13.png,0.04,0.2,1.01,0.11,0.04,,,,,,0.1,0.26,2.0,0.25,0.25,,,,,,,,,,
013.jpg,sm10-14,Weepinbell,Pokémon,Grass,Unbroken Bonds,14,Uncommon,https://images.pokemontcg.io/sm10/14_hires.png,https://images.pokemontcg.io/sm10/14.png,0.05,0.25,0.99,0.13,0.13,,,,,,0.14,0.3,2.0,0.27,0.25,,,,,,,,,,
014.jpg,sm10-15,Victreebel,Pokémon,Grass,Unbroken Bonds,15,Rare,https://images.pokemontcg.io/sm10/15_hires.png,https://images.pokemontcg.io/sm10/15.png,0.1,0.32,1.03,0.3,0.2,,,,,,0.22,0.5,2.5,0.36,0.25,,,,,,,,,,
015.jpg,sm10-16,Tangela,Pokémon,Grass,Unbroken Bonds,16,Common,https://images.pokemontcg.io/sm10/16_hires.png,https://images.pokemontcg.io/sm10/16.png,0.04,0.2,0.96,0.11,0.08,,,,,,0.1,0.27,1.13,0.22,0.22,,,,,,,,,,
016.jpg,sm10-17,Tangrowth,Pokémon,Grass,Unbroken Bonds,17,Rare,https://images.pokemontcg.io/sm10/17_hires.png,https://images.pokemontcg.io/sm10/17.png,0.1,0.29,999.99,0.22,0.2,,,,,,0.15,0.44,2.0,0.37,0.22,,,,,,,,,,
017.jpg,sm10-18,Grubbin,Pokémon,Grass,Unbroken Bonds,18,Common,https://images.pokemontcg.io/sm10/18_hires.png,https://images.pokemontcg.io/sm10/18.png,0.04,0.25,1.0,0.13,0.1,,,,,,0.1,0.31,2.0,0.22,0.22,,,,,,,,,,
018.jpg,sm10-19,Kartana,Pokémon,Grass,Unbroken Bonds,19,Rare Holo,https://images.pokemontcg.io/sm10/19_hires.png,https://images.pokemontcg.io/sm10/19.png,,,,,,0.27,0.75,3.0,0.74,0.72,0.25,0.69,2.0,0.54,0.56,,,,,,,,,,
019.jpg,sm10-20,Reshiram & Charizard-GX,Pokémon,Fire,Unbroken Bonds,20,Rare Holo GX,https://images.pokemontcg.io/sm10/20_hires.png,https://images.pokemontcg.io/sm10/20.png,,,,,,8.2,10.99,100.0,9.74,10.43,,,,,,,,,,,,,,,
020.jpg,sm10-21,Growlithe,Pokémon,Fire,Unbroken Bonds,21,Common,https://images.pokemontcg.io/sm10/21_hires.png,https://images.pokemontcg.io/sm10/21.png,0.04,0.23,1.0,0.12,0.04,,,,,,0.1,0.3,1.77,0.26,0.2,,,,,,,,,,
021.jpg,sm10-22,Arcanine,Pokémon,Fire,Unbroken Bonds,22,Rare Holo,https://images.pokemontcg.io/sm10/22_hires.png,https://images.pokemontcg.io/sm10/22.png,,,,,,0.6,1.98,4.99,1.84,1.96,1.06,1.81,3.99,1.7,1.27,,,,,,,,,,
022.jpg,sm10-23,Darumaka,Pokémon,Fire,Unbroken Bonds,23,Common,https://images.pokemontcg.io/sm10/23_hires.png,https://images.pokemontcg.io/sm10/23.png,0.04,0.22,999.99,0.1,0.05,,,,,,0.1,0.29,1.13,0.27,0.25,,,,,,,,,,
023.jpg,sm10-24,Darmanitan,Pokémon,Fire,Unbroken Bonds,24,Rare,https://images.pokemontcg.io/sm10/24_hires.png,https://images.pokemontcg.io/sm10/24.png,0.1,0.3,1.13,0.22,,,,,,,0.2,0.45,2.0,0.33,0.3,,,,,,,,,,
024.jpg,sm10-25,Volcanion,Pokémon,Fire,Unbroken Bonds,25,Rare Holo,https://images.pokemontcg.io/sm10/25_hires.png,https://images.pokemontcg.io/sm10/25.png,,,,,,0.4,1.42,189.07,0.63,0.48,0.5,1.51,999.99,1.49,1.42,,,,,,,,,,
