Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,rsv10pt5-1,Sewaddle,Pokémon,Grass,White Flare,1,Common,https://images.pokemontcg.io/rsv10pt5/1_hires.png,https://images.pokemontcg.io/rsv10pt5/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,rsv10pt5-2,Swadloon,Pokémon,Grass,White Flare,2,Common,https://images.pokemontcg.io/rsv10pt5/2_hires.png,https://images.pokemontcg.io/rsv10pt5/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,rsv10pt5-3,Leavanny,Pokémon,Grass,White Flare,3,Uncommon,https://images.pokemontcg.io/rsv10pt5/3_hires.png,https://images.pokemontcg.io/rsv10pt5/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,rsv10pt5-4,Cottonee,Pokémon,Grass,White Flare,4,Common,https://images.pokemontcg.io/rsv10pt5/4_hires.png,https://images.pokemontcg.io/rsv10pt5/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,rsv10pt5-5,Whimsicott ex,Pokémon,Grass,White Flare,5,Double Rare,https://images.pokemontcg.io/rsv10pt5/5_hires.png,https://images.pokemontcg.io/rsv10pt5/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,rsv10pt5-6,Deerling,Pokémon,Grass,White Flare,6,Common,https://images.pokemontcg.io/rsv10pt5/6_hires.png,https://images.pokemontcg.io/rsv10pt5/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,rsv10pt5-7,Sawsbuck,Pokémon,Grass,White Flare,7,Uncommon,https://images.pokemontcg.io/rsv10pt5/7_hires.png,https://images.pokemontcg.io/rsv10pt5/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,rsv10pt5-8,Shelmet,Pokémon,Grass,White Flare,8,Common,https://images.pokemontcg.io/rsv10pt5/8_hires.png,https://images.pokemontcg.io/rsv10pt5/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,rsv10pt5-9,Accelgor,Pokémon,Grass,White Flare,9,Uncommon,https://images.pokemontcg.io/rsv10pt5/9_hires.png,https://images.pokemontcg.io/rsv10pt5/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,rsv10pt5-10,Virizion,Pokémon,Grass,White Flare,10,Rare,https://images.pokemontcg.io/rsv10pt5/10_hires.png,https://images.pokemontcg.io/rsv10pt5/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,rsv10pt5-11,Tepig,Pokémon,Fire,White Flare,11,Common,https://images.pokemontcg.io/rsv10pt5/11_hires.png,https://images.pokemontcg.io/rsv10pt5/11.png,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,rsv10pt5-12,Pignite,Pokémon,Fire,White Flare,12,Common,https://images.pokemontcg.io/rsv10pt5/12_hires.png,https://images.pokemontcg.io/rsv10pt5/12.png,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,rsv10pt5-13,Emboar,Pokémon,Fire,White Flare,13,Rare,https://images.pokemontcg.io/rsv10pt5/13_hires.png,https://images.pokemontcg.io/rsv10pt5/13.png,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,rsv10pt5-14,Pansear,Pokémon,Fire,White Flare,14,Common,https://images.pokemontcg.io/rsv10pt5/14_hires.png,https://images.pokemontcg.io/rsv10pt5/14.png,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,rsv10pt5-15,Simisear,Pokémon,Fire,White Flare,15,Uncommon,https://images.pokemontcg.io/rsv10pt5/15_hires.png,https://images.pokemontcg.io/rsv10pt5/15.png,,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,rsv10pt5-16,Litwick,Pokémon,Fire,White Flare,16,Common,https://images.pokemontcg.io/rsv10pt5/16_hires.png,https://images.pokemontcg.io/rsv10pt5/16.png,,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,rsv10pt5-17,Lampent,Pokémon,Fire,White Flare,17,Common,https://images.pokemontcg.io/rsv10pt5/17_hires.png,https://images.pokemontcg.io/rsv10pt5/17.png,,,,,,,,,,,,,,,,,,,,,,,,,
017.jpg,rsv10pt5-18,Chandelure,Pokémon,Fire,White Flare,18,Rare,https://images.pokemontcg.io/rsv10pt5/18_hires.png,https://images.pokemontcg.io/rsv10pt5/18.png,,,,,,,,,,,,,,,,,,,,,,,,,
018.jpg,rsv10pt5-19,Heatmor,Pokémon,Fire,White Flare,19,Uncommon,https://images.pokemontcg.io/rsv10pt5/19_hires.png,https://images.pokemontcg.io/rsv10pt5/19.png,,,,,,,,,,,,,,,,,,,,,,,,,
019.jpg,rsv10pt5-20,Reshiram ex,Pokémon,Fire,White Flare,20,Double Rare,https://images.pokemontcg.io/rsv10pt5/20_hires.png,https://images.pokemontcg.io/rsv10pt5/20.png,,,,,,,,,,,,,,,,,,,,,,,,,
020.jpg,rsv10pt5-21,Oshawott,Pokémon,Water,White Flare,21,Common,https://images.pokemontcg.io/rsv10pt5/21_hires.png,https://images.pokemontcg.io/rsv10pt5/21.png,,,,,,,,,,,,,,,,,,,,,,,,,
021.jpg,rsv10pt5-22,Dewott,Pokémon,Water,White Flare,22,Common,https://images.pokemontcg.io/rsv10pt5/22_hires.png,https://images.pokemontcg.io/rsv10pt5/22.png,,,,,,,,,,,,,,,,,,,,,,,,,
022.jpg,rsv10pt5-23,Samurott,Pokémon,Water,White Flare,23,Rare,https://images.pokemontcg.io/rsv10pt5/23_hires.png,https://images.pokemontcg.io/rsv10pt5/23.png,,,,,,,,,,,,,,,,,,,,,,,,,
023.jpg,rsv10pt5-24,Basculin,Pokémon,Water,White Flare,24,Common,https://images.pokemontcg.io/rsv10pt5/24_hires.png,https://images.pokemontcg.io/rsv10pt5/24.png,,,,,,,,,,,,,,,,,,,,,,,,,
024.jpg,rsv10pt5-25,Ducklett,Pokémon,Water,White Flare,25,Common,https://images.pokemontcg.io/rsv10pt5/25_hires.png,https://images.pokemontcg.io/rsv10pt5/25.png,,,,,,,,,,,,,,,,,,,,,,,,,
025.jpg,rsv10pt5-26,Swanna,Pokémon,Water,White Flare,26,Uncommon,https://images.pokemontcg.io/rsv10pt5/26_hires.png,https://images.pokemontcg.io/rsv10pt5/26.png,,,,,,,,,,,,,,,,,,,,,,,,,
026.jpg,rsv10pt5-27,Vanillite,Pokémon,Water,White Flare,27,Common,https://images.pokemontcg.io/rsv10pt5/27_hires.png,https://images.pokemontcg.io/rsv10pt5/27.png,,,,,,,,,,,,,,,,,,,,,,,,,
027.jpg,rsv10pt5-28,Vanillish,Pokémon,Water,White Flare,28,Common,https://images.pokemontcg.io/rsv10pt5/28_hires.png,https://images.pokemontcg.io/rsv10pt5/28.png,,,,,,,,,,,,,,,,,,,,,,,,,
028.jpg,rsv10pt5-29,Vanilluxe,Pokémon,Water,White Flare,29,Uncommon,https://images.pokemontcg.io/rsv10pt5/29_hires.png,https://images.pokemontcg.io/rsv10pt5/29.png,,,,,,,,,,,,,,,,,,,,,,,,,
029.jpg,rsv10pt5-30,Keldeo ex,Pokémon,Water,White Flare,30,Double Rare,https://images.pokemontcg.io/rsv10pt5/30_hires.png,https://images.pokemontcg.io/rsv10pt5/30.png,,,,,,,,,,,,,,,,,,,,,,,,,
030.jpg,rsv10pt5-31,Blitzle,Pokémon,Lightning,White Flare,31,Common,https://images.pokemontcg.io/rsv10pt5/31_hires.png,https://images.pokemontcg.io/rsv10pt5/31.png,,,,,,,,,,,,,,,,,,,,,,,,,
031.jpg,rsv10pt5-32,Zebstrika,Pokémon,Lightning,White Flare,32,Uncommon,https://images.pokemontcg.io/rsv10pt5/32_hires.png,https://images.pokemontcg.io/rsv10pt5/32.png,,,,,,,,,,,,,,,,,,,,,,,,,
032.jpg,rsv10pt5-33,Joltik,Pokémon,Lightning,White Flare,33,Common,https://images.pokemontcg.io/rsv10pt5/33_hires.png,https://images.pokemontcg.io/rsv10pt5/33.png,,,,,,,,,,,,,,,,,,,,,,,,,
033.jpg,rsv10pt5-34,Galvantula,Pokémon,Lightning,White Flare,34,Uncommon,https://images.pokemontcg.io/rsv10pt5/34_hires.png,https://images.pokemontcg.io/rsv10pt5/34.png,,,,,,,,,,,,,,,,,,,,,,,,,
034.jpg,rsv10pt5-35,Stunfisk,Pokémon,Lightning,White Flare,35,Uncommon,https://images.pokemontcg.io/rsv10pt5/35_hires.png,https://images.pokemontcg.io/rsv10pt5/35.png,,,,,,,,,,,,,,,,,,,,,,,,,
035.jpg,rsv10pt5-36,Woobat,Pokémon,Psychic,White Flare,36,Common,https://images.pokemontcg.io/rsv10pt5/36_hires.png,https://images.pokemontcg.io/rsv10pt5/36.png,,,,,,,,,,,,,,,,,,,,,,,,,
036.jpg,rsv10pt5-37,Swoobat,Pokémon,Psychic,White Flare,37,Uncommon,https://images.pokemontcg.io/rsv10pt5/37_hires.png,https://images.pokemontcg.io/rsv10pt5/37.png,,,,,,,,,,,,,,,,,,,,,,,,,
037.jpg,rsv10pt5-38,Sigilyph,Pokémon,Psychic,White Flare,38,Uncommon,https://images.pokemontcg.io/rsv10pt5/38_hires.png,https://images.pokemontcg.io/rsv10pt5/38.png,,,,,,,,,,,,,,,,,,,,,,,,,
038.jpg,rsv10pt5-39,Yamask,Pokémon,Psychic,White Flare,39,Common,https://images.pokemontcg.io/rsv10pt5/39_hires.png,https://images.pokemontcg.io/rsv10pt5/39.png,,,,,,,,,,,,,,,,,,,,,,,,,
