Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,basep-1,Pikachu,Pokémon,Lightning,Wizards Black Star Promos,1,Promo,https://images.pokemontcg.io/basep/1_hires.png,https://images.pokemontcg.io/basep/1.png,3.5,7.0,360.74,7.47,3.68,,,,,,,,,,,,,,,,,,,,
001.jpg,basep-2,Electabuzz,Pokémon,Lightning,Wizards Black Star Promos,2,Promo,https://images.pokemontcg.io/basep/2_hires.png,https://images.pokemontcg.io/basep/2.png,0.99,2.98,9.99,3.03,3.45,,,,,,,,,,,,,,,,,,,,
002.jpg,basep-3,Mewtwo,Pokémon,Psychic,Wizards Black Star Promos,3,Promo,https://images.pokemontcg.io/basep/3_hires.png,https://images.pokemontcg.io/basep/3.png,3.72,9.69,34.95,10.96,7.38,,,,,,,,,,,,,,,,,,,,
003.jpg,basep-4,Pikachu,Pokémon,Lightning,Wizards Black Star Promos,4,Promo,https://images.pokemontcg.io/basep/4_hires.png,https://images.pokemontcg.io/basep/4.png,2.99,8.55,22.0,10.23,,,,,,,,,,,,,,,,,,,,,
004.jpg,basep-5,Dragonite,Pokémon,Colorless,Wizards Black Star Promos,5,Promo,https://images.pokemontcg.io/basep/5_hires.png,https://images.pokemontcg.io/basep/5.png,3.5,10.02,20.0,9.43,4.99,,,,,,,,,,,,,,,,,,,,
005.jpg,basep-6,Arcanine,Pokémon,Fire,Wizards Black Star Promos,6,Promo,https://images.pokemontcg.io/basep/6_hires.png,https://images.pokemontcg.io/basep/6.png,3.99,7.02,18.99,6.74,6.25,,,,,,,,,,,,,,,,,,,,
006.jpg,basep-7,Jigglypuff,Pokémon,Colorless,Wizards Black Star Promos,7,Promo,https://images.pokemontcg.io/basep/7_hires.png,https://images.pokemontcg.io/basep/7.png,3.74,5.56,14.99,5.63,4.76,,,,,,,,,,,,,,,,,,,,
007.jpg,basep-8,Mew,Pokémon,Psychic,Wizards Black Star Promos,8,Promo,https://images.pokemontcg.io/basep/8_hires.png,https://images.pokemontcg.io/basep/8.png,,,,,,7.28,15.0,49.99,13.67,8.5,,,,,,,,,,,,,,,
008.jpg,basep-9,Mew,Pokémon,Psychic,Wizards Black Star Promos,9,Promo,https://images.pokemontcg.io/basep/9_hires.png,https://images.pokemontcg.io/basep/9.png,,,,,,3.5,7.99,49.99,8.08,4.06,,,,,,,,,,,,,,,
009.jpg,basep-10,Meowth,Pokémon,Colorless,Wizards Black Star Promos,10,Promo,https://images.pokemontcg.io/basep/10_hires.png,https://images.pokemontcg.io/basep/10.png,,,,,,4.0,8.83,38.95,8.26,5.46,,,,,,,,,,,,,,,
010.jpg,basep-11,Eevee,Pokémon,Colorless,Wizards Black Star Promos,11,Promo,https://images.pokemontcg.io/basep/11_hires.png,https://images.pokemontcg.io/basep/11.png,,,,,,9.0,20.0,249.99,19.81,6.64,,,,,,,,,,,,,,,
011.jpg,basep-12,Mewtwo,Pokémon,Psychic,Wizards Black Star Promos,12,Promo,https://images.pokemontcg.io/basep/12_hires.png,https://images.pokemontcg.io/basep/12.png,21.0,32.0,60.0,33.57,33.65,,,,,,,,,,,,,,,,,,,,
012.jpg,basep-13,Venusaur,Pokémon,Grass,Wizards Black Star Promos,13,Promo,https://images.pokemontcg.io/basep/13_hires.png,https://images.pokemontcg.io/basep/13.png,,,,,,58.96,102.97,375.0,147.48,119.99,,,,,,,,,,,,,,,
013.jpg,basep-14,Mewtwo,Pokémon,Psychic,Wizards Black Star Promos,14,Promo,https://images.pokemontcg.io/basep/14_hires.png,https://images.pokemontcg.io/basep/14.png,2.74,4.16,15.0,5.2,4.05,,,,,,,,,,,,,,,,,,,,
014.jpg,basep-15,Cool Porygon,Pokémon,Colorless,Wizards Black Star Promos,15,Promo,https://images.pokemontcg.io/basep/15_hires.png,https://images.pokemontcg.io/basep/15.png,,,,,,22.74,26.0,44.99,23.68,,,,,,,,,,,,,,,,
015.jpg,basep-16,Computer Error,Trainer,,Wizards Black Star Promos,16,Promo,https://images.pokemontcg.io/basep/16_hires.png,https://images.pokemontcg.io/basep/16.png,0.65,1.72,7.0,1.56,1.35,,,,,,,,,,,,,,,,,,,,
016.jpg,basep-17,Dark Persian,Pokémon,Colorless,Wizards Black Star Promos,17,Promo,https://images.pokemontcg.io/basep/17_hires.png,https://images.pokemontcg.io/basep/17.png,,,,,,14.0,19.98,59.93,25.33,18.95,,,,,,,,,,,,,,,
017.jpg,basep-18,Team Rocket's Meowth,Pokémon,Colorless,Wizards Black Star Promos,18,Promo,https://images.pokemontcg.io/basep/18_hires.png,https://images.pokemontcg.io/basep/18.png,2.86,5.0,16.2,5.06,2.96,,,,,,,,,,,,,,,,,,,,
018.jpg,basep-19,Sabrina's Abra,Pokémon,Psychic,Wizards Black Star Promos,19,Promo,https://images.pokemontcg.io/basep/19_hires.png,https://images.pokemontcg.io/basep/19.png,18.98,22.24,44.93,24.18,9.47,,,,,,,,,,,,,,,,,,,,
019.jpg,basep-20,Psyduck,Pokémon,Water,Wizards Black Star Promos,20,Promo,https://images.pokemontcg.io/basep/20_hires.png,https://images.pokemontcg.io/basep/20.png,4.99,7.92,10.24,7.09,6.74,,,,,,,,,,,,,,,,,,,,
020.jpg,basep-21,Moltres,Pokémon,Fire,Wizards Black Star Promos,21,Promo,https://images.pokemontcg.io/basep/21_hires.png,https://images.pokemontcg.io/basep/21.png,3.71,5.51,35.99,6.15,4.96,,,,,,,,,,,,,,,,,,,,
021.jpg,basep-22,Articuno,Pokémon,Water,Wizards Black Star Promos,22,Promo,https://images.pokemontcg.io/basep/22_hires.png,https://images.pokemontcg.io/basep/22.png,3.0,5.99,37.99,6.25,,,,,,,,,,,,,,,,,,,,,
022.jpg,basep-23,Zapdos,Pokémon,Lightning,Wizards Black Star Promos,23,Promo,https://images.pokemontcg.io/basep/23_hires.png,https://images.pokemontcg.io/basep/23.png,2.99,5.19,38.45,5.78,5.48,,,,,,,,,,,,,,,,,,,,
