Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,xy1-1,Venusaur-EX,Pokémon,Grass,XY,1,Rare Holo EX,https://images.pokemontcg.io/xy1/1_hires.png,https://images.pokemontcg.io/xy1/1.png,,,,,,1.5,3.96,999.99,3.05,3.19,,,,,,,,,,,,,,,
001.jpg,xy1-2,M Venusaur-EX,Pokémon,Grass,XY,2,Rare Holo EX,https://images.pokemontcg.io/xy1/2_hires.png,https://images.pokemontcg.io/xy1/2.png,,,,,,6.0,7.39,19.99,7.49,,,,,,,,,,,,,,,,
002.jpg,xy1-3,Weedle,Pokémon,Grass,XY,3,Common,https://images.pokemontcg.io/xy1/3_hires.png,https://images.pokemontcg.io/xy1/3.png,0.05,0.25,1.0,0.19,0.11,,,,,,0.23,0.5,1.95,0.4,0.23,,,,,,,,,,
003.jpg,xy1-4,Kakuna,Pokémon,Grass,XY,4,Uncommon,https://images.pokemontcg.io/xy1/4_hires.png,https://images.pokemontcg.io/xy1/4.png,0.05,0.25,1.0,0.15,0.2,,,,,,0.15,0.45,1.95,1.95,0.23,,,,,,,,,,
004.jpg,xy1-5,Beedrill,Pokémon,Grass,XY,5,Rare,https://images.pokemontcg.io/xy1/5_hires.png,https://images.pokemontcg.io/xy1/5.png,0.09,0.55,2.92,0.32,,,,,,,0.62,0.74,1.32,1.32,0.62,,,,,,,,,,
005.jpg,xy1-6,Ledyba,Pokémon,Grass,XY,6,Common,https://images.pokemontcg.io/xy1/6_hires.png,https://images.pokemontcg.io/xy1/6.png,0.05,0.25,999.99,0.15,0.09,,,,,,0.23,0.38,1.95,0.31,0.25,,,,,,,,,,
006.jpg,xy1-7,Ledian,Pokémon,Grass,XY,7,Uncommon,https://images.pokemontcg.io/xy1/7_hires.png,https://images.pokemontcg.io/xy1/7.png,0.11,0.25,1.0,0.19,0.17,,,,,,0.28,0.5,1.95,0.42,0.29,,,,,,,,,,
007.jpg,xy1-8,Volbeat,Pokémon,Grass,XY,8,Uncommon,https://images.pokemontcg.io/xy1/8_hires.png,https://images.pokemontcg.io/xy1/8.png,0.1,0.25,999.99,0.16,,,,,,,0.2,0.42,1.95,0.21,,,,,,,,,,,
008.jpg,xyp-XY01,Chespin,Pokémon,Grass,XY Black Star Promos,XY01,Promo,https://images.pokemontcg.io/xyp/XY01_hires.png,https://images.pokemontcg.io/xyp/XY01.png,,,,,,1.99,3.88,7.01,3.84,3.74,,,,,,,,,,,,,,,
009.jpg,xyp-XY02,Fennekin,Pokémon,Fire,XY Black Star Promos,XY02,Promo,https://images.pokemontcg.io/xyp/XY02_hires.png,https://images.pokemontcg.io/xyp/XY02.png,,,,,,1.39,2.0,7.19,1.97,,,,,,,,,,,,,,,,
