Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,base1-1,Alakazam,Pokémon,Psychic,Base,1,Rare Holo,https://images.pokemontcg.io/base1/1_hires.png,https://images.pokemontcg.io/base1/1.png,80,"[{""name"": ""Damage Swap"", ""text"": ""As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Pokémon to another as long as you don't Knock Out that Pokémon. This power can't be used if Alakazam is Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Confuse Ray"", ""cost"": [""Psychic"", ""Psychic"", ""Psychic""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Confused.""}]",Confuse Ray,30,"Flip a coin. If heads, the Defending Pokémon is now Confused.",Psychic:×2,,Colorless__Colorless__Colorless,Kadabra,Ken Sugimori,Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5000.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,base1-2,Blastoise,Pokémon,Water,Base,2,Rare Holo,https://images.pokemontcg.io/base1/2_hires.png,https://images.pokemontcg.io/base1/2.png,100,"[{""name"": ""Rain Dance"", ""text"": ""As often as you like during your turn (before your attack), you may attach 1 Water Energy card to 1 of your Water Pokémon. (This doesn't use up your 1 Energy card attachment for the turn.) This power can't be used if Blastoise is Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Hydro Pump"", ""cost"": [""Water"", ""Water"", ""Water""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""Does 40 damage plus 10 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count.""}]",Hydro Pump,40+,Does 40 damage plus 10 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count.,Lightning:×2,,Colorless__Colorless__Colorless,Wartortle,Ken Sugimori,A brutal Pokémon with pressurized water jets on its shell. They are used for high-speed tackles.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,base1-3,Chansey,Pokémon,Colorless,Base,3,Rare Holo,https://images.pokemontcg.io/base1/3_hires.png,https://images.pokemontcg.io/base1/3.png,120,,"[{""name"": ""Scrunch"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Flip a coin. If heads, prevent all damage done to Chansey during your opponent's next turn. (Any other effects of attacks still happen.)""}, {""name"": ""Double-edge"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80"", ""text"": ""Chansey does 80 damage to itself.""}]",Scrunch|Double-edge,|80,"Flip a coin. If heads, prevent all damage done to Chansey during your opponent's next turn. (Any other effects of attacks still happen.)|Chansey does 80 damage to itself.",Fighting:×2,Psychic:-30,Colorless,,Ken Sugimori,A rare and elusive Pokémon that is said to bring happiness to those who manage to catch it.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,base1-4,Charizard,Pokémon,Fire,Base,4,Rare Holo,https://images.pokemontcg.io/base1/4_hires.png,https://images.pokemontcg.io/base1/4.png,120,"[{""name"": ""Energy Burn"", ""text"": ""As often as you like during your turn (before your attack), you may turn all Energy attached to Charizard into Fire Energy for the rest of the turn. This power can't be used if Charizard is Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Fire Spin"", ""cost"": [""Fire"", ""Fire"", ""Fire"", ""Fire""], ""convertedEnergyCost"": 4, ""damage"": ""100"", ""text"": ""Discard 2 Energy cards attached to Charizard in order to use this attack.""}]",Fire Spin,100,Discard 2 Energy cards attached to Charizard in order to use this attack.,Water:×2,Fighting:-30,Colorless__Colorless__Colorless,Charmeleon,Mitsuhiro Arita,Spits fire that is hot enough to melt boulders. Known to unintentionally cause forest fires.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,base1-5,Clefairy,Pokémon,Colorless,Base,5,Rare Holo,https://images.pokemontcg.io/base1/5_hires.png,https://images.pokemontcg.io/base1/5.png,40,,"[{""name"": ""Sing"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Asleep.""}, {""name"": ""Metronome"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. (No matter what type the Defending Pokémon is, Clefairy's type is still Colorless.)""}]",Sing|Metronome,|,"Flip a coin. If heads, the Defending Pokémon is now Asleep.|Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. (No matter what type the Defending Pokémon is, Clefairy's type is still Colorless.)",Fighting:×2,Psychic:-30,Colorless,,Ken Sugimori,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,base1-6,Gyarados,Pokémon,Water,Base,6,Rare Holo,https://images.pokemontcg.io/base1/6_hires.png,https://images.pokemontcg.io/base1/6.png,100,,"[{""name"": ""Dragon Rage"", ""cost"": [""Water"", ""Water"", ""Water""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}, {""name"": ""Bubblebeam"", ""cost"": [""Water"", ""Water"", ""Water"", ""Water""], ""convertedEnergyCost"": 4, ""damage"": ""40"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}]",Dragon Rage|Bubblebeam,50|40,"|Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Grass:×2,Fighting:-30,Colorless__Colorless__Colorless,Magikarp,Mitsuhiro Arita,"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,base1-7,Hitmonchan,Pokémon,Fighting,Base,7,Rare Holo,https://images.pokemontcg.io/base1/7_hires.png,https://images.pokemontcg.io/base1/7.png,70,,"[{""name"": ""Jab"", ""cost"": [""Fighting""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Special Punch"", ""cost"": [""Fighting"", ""Fighting"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": """"}]",Jab|Special Punch,20|40,|,Psychic:×2,,Colorless__Colorless,,Ken Sugimori,"While seeming to do nothing, it fires punches in lightning-fast volleys that are impossible to see.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,base1-8,Machamp,Pokémon,Fighting,Base,8,Rare Holo,https://images.pokemontcg.io/base1/8_hires.png,https://images.pokemontcg.io/base1/8.png,100,"[{""name"": ""Strikes Back"", ""text"": ""Whenever your opponent's attack damages Machamp (even if Machamp is Knocked Out), this power does 10 damage to the attacking Pokémon. (Don't apply Weakness and Resistance.) This power can't be used if Machamp is Asleep, Confused, or Paralyzed when your opponent attacks."", ""type"": ""Pokémon Power""}]","[{""name"": ""Seismic Toss"", ""cost"": [""Fighting"", ""Fighting"", ""Fighting"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60"", ""text"": """"}]",Seismic Toss,60,,Psychic:×2,,Colorless__Colorless__Colorless,Machoke,Ken Sugimori,"Using its amazing muscles, it throws powerful punches that can knock its victim clear over the horizon.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,base1-9,Magneton,Pokémon,Lightning,Base,9,Rare Holo,https://images.pokemontcg.io/base1/9_hires.png,https://images.pokemontcg.io/base1/9.png,60,,"[{""name"": ""Thunder Wave"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}, {""name"": ""Selfdestruct"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80"", ""text"": ""Does 20 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Magneton does 80 damage to itself.""}]",Thunder Wave|Selfdestruct,30|80,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.|Does 20 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Magneton does 80 damage to itself.",Fighting:×2,,Colorless,Magnemite,Keiji Kinebuchi,Formed by several Magnemites linked together. It frequently appears when sunspots flare up.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,base1-10,Mewtwo,Pokémon,Psychic,Base,10,Rare Holo,https://images.pokemontcg.io/base1/10_hires.png,https://images.pokemontcg.io/base1/10.png,60,,"[{""name"": ""Psychic"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Does 10 damage plus 10 more damage for each Energy card attached to the Defending Pokémon.""}, {""name"": ""Barrier"", ""cost"": [""Psychic"", ""Psychic""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Discard 1 Psychic Energy card attached to Mewtwo in order to prevent all effects of attacks, including damage, done to Mewtwo during your opponent's next turn.""}]",Psychic|Barrier,10+|,"Does 10 damage plus 10 more damage for each Energy card attached to the Defending Pokémon.|Discard 1 Psychic Energy card attached to Mewtwo in order to prevent all effects of attacks, including damage, done to Mewtwo during your opponent's next turn.",Psychic:×2,,Colorless__Colorless__Colorless,,Ken Sugimori,A scientist created this Pokémon after years of horrific gene-splicing and DNA engineering experiments.,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,base1-11,Nidoking,Pokémon,Grass,Base,11,Rare Holo,https://images.pokemontcg.io/base1/11_hires.png,https://images.pokemontcg.io/base1/11.png,90,,"[{""name"": ""Thrash"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30+"", ""text"": ""Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage and Nidoking does 10 damage to itself.""}, {""name"": ""Toxic"", ""cost"": [""Grass"", ""Grass"", ""Grass""], ""convertedEnergyCost"": 3, ""damage"": ""20"", ""text"": ""The Defending Pokémon is now Poisoned. It now takes 20 Poison damage instead of 10 after each player's turn (even if it was already Poisoned).""}]",Thrash|Toxic,30+|20,"Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage and Nidoking does 10 damage to itself.|The Defending Pokémon is now Poisoned. It now takes 20 Poison damage instead of 10 after each player's turn (even if it was already Poisoned).",Psychic:×2,,Colorless__Colorless__Colorless,Nidorino,Ken Sugimori,"Uses its powerful tail in battle to smash, constrict, then break its prey's bones.",,,,,,,,,,,,,,,,,,,,,,,,,
