Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,base3-1,Aerodactyl,Pokémon,Fighting,Fossil,1,Rare Holo,https://images.pokemontcg.io/base3/1_hires.png,https://images.pokemontcg.io/base3/1.png,60,"[{""name"": ""Prehistoric Power"", ""text"": ""No more Evolution cards can be played. This power stops working while Aerodactyl is Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Wing Attack"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": """"}]",Wing Attack,30,,Grass:×2,Fighting:-30,Colorless__Colorless,Mysterious Fossil,Kagemaru Himeno,A ferocious prehistoric Pokémon that goes for the enemy's throat with its serrated saw-like fangs.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,base3-2,Articuno,Pokémon,Water,Fossil,2,Rare Holo,https://images.pokemontcg.io/base3/2_hires.png,https://images.pokemontcg.io/base3/2.png,70,,"[{""name"": ""Freeze Dry"", ""cost"": [""Water"", ""Water"", ""Water""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}, {""name"": ""Blizzard"", ""cost"": [""Water"", ""Water"", ""Water"", ""Water""], ""convertedEnergyCost"": 4, ""damage"": ""50"", ""text"": ""Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Freeze Dry|Blizzard,30|50,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.|Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",,Fighting:-30,Colorless__Colorless,,Mitsuhiro Arita,A legendary bird Pokémon that is said to appear to doomed people who are lost in icy mountains.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,base3-3,Ditto,Pokémon,Colorless,Fossil,3,Rare Holo,https://images.pokemontcg.io/base3/3_hires.png,https://images.pokemontcg.io/base3/3.png,50,"[{""name"": ""Transform"", ""text"": ""If Ditto is your Active Pokémon, treat it as if it were the same card as the Defending Pokémon, including type, Hit Points, Weakness, and so on, except Ditto can't evolve, always has this Pokémon Power, and you may treat any Energy attached to Ditto as Energy of any type. Ditto isn't a copy of any other Pokémon while Ditto is Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]",,,,,Fighting:×2,Psychic:-30,Colorless,,Keiji Kinebuchi,Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,base3-4,Dragonite,Pokémon,Colorless,Fossil,4,Rare Holo,https://images.pokemontcg.io/base3/4_hires.png,https://images.pokemontcg.io/base3/4.png,100,"[{""name"": ""Step In"", ""text"": ""Once during your turn (before your attack), if Dragonite is on your Bench, you may switch it with your Active Pokémon."", ""type"": ""Pokémon Power""}]","[{""name"": ""Slam"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""40×"", ""text"": ""Flip 2 coins. This attack does 40 damage times the number of heads.""}]",Slam,40×,Flip 2 coins. This attack does 40 damage times the number of heads.,,Fighting:-30,Colorless,Dragonair,Kagemaru Himeno,An extremely rarely seen marine Pokémon. Its intelligence is said to match that of humans.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,base3-5,Gengar,Pokémon,Psychic,Fossil,5,Rare Holo,https://images.pokemontcg.io/base3/5_hires.png,https://images.pokemontcg.io/base3/5.png,80,"[{""name"": ""Curse"", ""text"": ""Once during your turn (before your attack), you may move 1 damage counter from 1 of your opponent's Pokémon to another (even if it would Knock Out the other Pokémon). This power can't be used if Gengar is Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Dark Mind"", ""cost"": [""Psychic"", ""Psychic"", ""Psychic""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""If your opponent has any Benched Pokémon, choose 1 of them and this attack does 10 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Dark Mind,30,"If your opponent has any Benched Pokémon, choose 1 of them and this attack does 10 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)",,Fighting:-30,Colorless,Haunter,Keiji Kinebuchi,"Under a full moon, this Pokémon likes to mimic the shadows of people and laugh at their fright.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,base3-6,Haunter,Pokémon,Psychic,Fossil,6,Rare Holo,https://images.pokemontcg.io/base3/6_hires.png,https://images.pokemontcg.io/base3/6.png,50,"[{""name"": ""Transparency"", ""text"": ""Whenever an attack does anything to Haunter, flip a coin. If heads, prevent all effects of that attack, including damage, done to Haunter. This power stops working while Haunter is Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Nightmare"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10"", ""text"": ""The Defending Pokémon is now Asleep.""}]",Nightmare,10,The Defending Pokémon is now Asleep.,,Fighting:-30,,Gastly,Ken Sugimori,"Because of its ability to slip through block walls, it is said to be from another dimension.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,base3-7,Hitmonlee,Pokémon,Fighting,Fossil,7,Rare Holo,https://images.pokemontcg.io/base3/7_hires.png,https://images.pokemontcg.io/base3/7.png,60,,"[{""name"": ""Stretch Kick"", ""cost"": [""Fighting"", ""Fighting""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""If your opponent has any Benched Pokémon, choose 1 of them and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""High Jump Kick"", ""cost"": [""Fighting"", ""Fighting"", ""Fighting""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Stretch Kick|High Jump Kick,|50,"If your opponent has any Benched Pokémon, choose 1 of them and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)|",Psychic:×2,,Colorless,,Ken Sugimori,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,base3-8,Hypno,Pokémon,Psychic,Fossil,8,Rare Holo,https://images.pokemontcg.io/base3/8_hires.png,https://images.pokemontcg.io/base3/8.png,90,,"[{""name"": ""Prophecy"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Look at up to 3 cards from the top of either player's deck and rearrange them as you like.""}, {""name"": ""Dark Mind"", ""cost"": [""Psychic"", ""Psychic"", ""Psychic""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""If your opponent has any Benched Pokémon, choose 1 of them and this attack does 10 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Prophecy|Dark Mind,|30,"Look at up to 3 cards from the top of either player's deck and rearrange them as you like.|If your opponent has any Benched Pokémon, choose 1 of them and this attack does 10 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)",Psychic:×2,,Colorless__Colorless,Drowzee,Ken Sugimori,"When it locks eyes with an enemy, it will use a mix of psi moves such as Hypnosis and Confusion.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,base3-9,Kabutops,Pokémon,Fighting,Fossil,9,Rare Holo,https://images.pokemontcg.io/base3/9_hires.png,https://images.pokemontcg.io/base3/9.png,60,,"[{""name"": ""Sharp Sickle"", ""cost"": [""Fighting"", ""Fighting""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}, {""name"": ""Absorb"", ""cost"": [""Fighting"", ""Fighting"", ""Fighting"", ""Fighting""], ""convertedEnergyCost"": 4, ""damage"": ""40"", ""text"": ""Remove a number of damage counters from Kabutops equal to half the damage done to the Defending Pokémon (after applying Weakness and Resistance) (rounded up to the nearest 10). If Kabutops has fewer damage counters than that, remove all of them.""}]",Sharp Sickle|Absorb,30|40,"|Remove a number of damage counters from Kabutops equal to half the damage done to the Defending Pokémon (after applying Weakness and Resistance) (rounded up to the nearest 10). If Kabutops has fewer damage counters than that, remove all of them.",Grass:×2,,Colorless,Kabuto,Ken Sugimori,Its sleek shape is perfect for swimming. It slashes prey with its claws and drains the body fluids.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,base3-10,Lapras,Pokémon,Water,Fossil,10,Rare Holo,https://images.pokemontcg.io/base3/10_hires.png,https://images.pokemontcg.io/base3/10.png,80,,"[{""name"": ""Water Gun"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Does 10 damage plus 10 more damage for each Water Energy attached to Lapras but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.""}, {""name"": ""Confuse Ray"", ""cost"": [""Water"", ""Water""], ""convertedEnergyCost"": 2, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Confused.""}]",Water Gun|Confuse Ray,10+|10,"Does 10 damage plus 10 more damage for each Water Energy attached to Lapras but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.|Flip a coin. If heads, the Defending Pokémon is now Confused.",Lightning:×2,,Colorless__Colorless,,Ken Sugimori,A Pokémon that has been overhunted almost to extinction. It can ferry people across water.,,,,,,,,,,,,,,,,,,,,,,,,,
