Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,gym1-1,Blaine's Moltres,Pokémon,Fire,Gym Heroes,1,Rare Holo,https://images.pokemontcg.io/gym1/1_hires.png,https://images.pokemontcg.io/gym1/1.png,90,,"[{""name"": ""Phoenix Flame"", ""cost"": [""Fire"", ""Fire"", ""Fire"", ""Fire"", ""Fire""], ""convertedEnergyCost"": 5, ""damage"": ""90"", ""text"": ""Flip a coin. If tails, shuffle Blaine's Moltres and all cards attached to it into your deck (after doing damage).""}]",Phoenix Flame,90,"Flip a coin. If tails, shuffle Blaine's Moltres and all cards attached to it into your deck (after doing damage).",,Fighting:-30,Colorless__Colorless__Colorless,,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,gym1-2,Brock's Rhydon,Pokémon,Fighting,Gym Heroes,2,Rare Holo,https://images.pokemontcg.io/gym1/2_hires.png,https://images.pokemontcg.io/gym1/2.png,80,"[{""name"": ""Bench Guard"", ""text"": ""As long as Brock's Rhydon is Benched, whenever 1 of your Benched Pokémon is damaged, you may do 10 of that damage to Brock's Rhydon instead. (If more than 1 of your Benched Pokémon is damaged at the same time, you may use this power once for each of them.)"", ""type"": ""Pokémon Power""}]","[{""name"": ""Lariat"", ""cost"": [""Fighting"", ""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""70"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}]",Lariat,70,"Flip a coin. If tails, this attack does nothing.",Grass:×2,Lightning:-30,Colorless__Colorless__Colorless,Brock's Rhyhorn,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,gym1-3,Erika's Clefable,Pokémon,Colorless,Gym Heroes,3,Rare Holo,https://images.pokemontcg.io/gym1/3_hires.png,https://images.pokemontcg.io/gym1/3.png,70,,"[{""name"": ""Fairy Power"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, you may return any number of your Pokémon in play and all cards attached to them to your hand.""}, {""name"": ""Moon Impact"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": """"}]",Fairy Power|Moon Impact,|30,"Flip a coin. If heads, you may return any number of your Pokémon in play and all cards attached to them to your hand.|",Fighting:×2,Psychic:-30,Colorless__Colorless,Erika's Clefairy,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,gym1-4,Erika's Dragonair,Pokémon,Colorless,Gym Heroes,4,Rare Holo,https://images.pokemontcg.io/gym1/4_hires.png,https://images.pokemontcg.io/gym1/4.png,80,,"[{""name"": ""Blizzard"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Take Away"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": """", ""text"": ""Shuffle Erika's Dragonair and all cards attached to it into your deck. Then, your opponent shuffles his or her Active Pokémon and all cards attached to it into his or her deck.""}]",Blizzard|Take Away,30|,"Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|Shuffle Erika's Dragonair and all cards attached to it into your deck. Then, your opponent shuffles his or her Active Pokémon and all cards attached to it into his or her deck.",,Psychic:-30,Colorless__Colorless,Erika's Dratini,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,gym1-5,Erika's Vileplume,Pokémon,Grass,Gym Heroes,5,Rare Holo,https://images.pokemontcg.io/gym1/5_hires.png,https://images.pokemontcg.io/gym1/5.png,80,"[{""name"": ""Pollen Defense"", ""text"": ""If an attack does damage to Erika's Vileplume while it's your Active Pokémon (even if it's Knocked Out), flip a coin. If heads, your opponent's Active Pokémon is now Confused. This power works even while Erika's Vileplume is Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Mega Drain"", ""cost"": [""Grass"", ""Grass"", ""Grass""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""If Erika's Vileplume does damage to the Defending Pokémon (after applying Weakness and Resistance), remove a number of damage counters from Erika's Vileplume equal to half the damage done to the Defending Pokémon (rounded up to the nearest 10). If Erika's Vileplume has fewer damage counters than that, remove all of them.""}]",Mega Drain,30,"If Erika's Vileplume does damage to the Defending Pokémon (after applying Weakness and Resistance), remove a number of damage counters from Erika's Vileplume equal to half the damage done to the Defending Pokémon (rounded up to the nearest 10). If Erika's Vileplume has fewer damage counters than that, remove all of them.",Fire:×2,,Colorless__Colorless,Erika's Gloom,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,gym1-6,Lt. Surge's Electabuzz,Pokémon,Lightning,Gym Heroes,6,Rare Holo,https://images.pokemontcg.io/gym1/6_hires.png,https://images.pokemontcg.io/gym1/6.png,70,,"[{""name"": ""Charge"", ""cost"": [""Lightning""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Take up to 2 Lightning Energy cards from your discard pile and attach them to Lt. Surge's Electabuzz.""}, {""name"": ""Discharge"", ""cost"": [""Lightning""], ""convertedEnergyCost"": 1, ""damage"": ""30×"", ""text"": ""Discard all Lightning Energy cards attached to Lt. Surge's Electabuzz in order to use this attack. Flip a number of coins equal to the number of Lightning Energy cards you discarded. This attack does 30 damage times the number of heads.""}]",Charge|Discharge,|30×,Take up to 2 Lightning Energy cards from your discard pile and attach them to Lt. Surge's Electabuzz.|Discard all Lightning Energy cards attached to Lt. Surge's Electabuzz in order to use this attack. Flip a number of coins equal to the number of Lightning Energy cards you discarded. This attack does 30 damage times the number of heads.,Fighting:×2,,Colorless__Colorless,,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,gym1-7,Lt. Surge's Fearow,Pokémon,Colorless,Gym Heroes,7,Rare Holo,https://images.pokemontcg.io/gym1/7_hires.png,https://images.pokemontcg.io/gym1/7.png,70,,"[{""name"": ""Repeating Drill"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10×"", ""text"": ""Flip 5 coins. This attack does 10 damage times the number of heads.""}, {""name"": ""Clutch"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""The Defending Pokémon can't retreat during your opponent's next turn.""}]",Repeating Drill|Clutch,10×|30,Flip 5 coins. This attack does 10 damage times the number of heads.|The Defending Pokémon can't retreat during your opponent's next turn.,Lightning:×2,Fighting:-30,,Lt. Surge's Spearow,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,gym1-8,Lt. Surge's Magneton,Pokémon,Lightning,Gym Heroes,8,Rare Holo,https://images.pokemontcg.io/gym1/8_hires.png,https://images.pokemontcg.io/gym1/8.png,70,"[{""name"": ""Energy Charge"", ""text"": ""As often as you like during your turn (before your attack), if Lt. Surge's Magneton is your Active Pokémon, you may take 1 Lightning Energy card attached to 1 of your Pokémon and attach it to Lt. Surge's Magneton. This power can't be used if Lt. Surge's Magneton is Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Mega Shock"", ""cost"": [""Lightning"", ""Lightning"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""50"", ""text"": ""Flip a coin. If tails, Lt. Surge's Magneton does 20 damage to itself.""}]",Mega Shock,50,"Flip a coin. If tails, Lt. Surge's Magneton does 20 damage to itself.",Fighting:×2,,Colorless__Colorless,Lt. Surge's Magnemite,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,gym1-9,Misty's Seadra,Pokémon,Water,Gym Heroes,9,Rare Holo,https://images.pokemontcg.io/gym1/9_hires.png,https://images.pokemontcg.io/gym1/9.png,70,,"[{""name"": ""Tail Snap"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Knockout Needle"", ""cost"": [""Water"", ""Water"", ""Water""], ""convertedEnergyCost"": 3, ""damage"": ""30+"", ""text"": ""Flip 2 coins. If both of them are heads, this attack does 30 damage plus 60 more damage. If 1 or both of them are tails, this attack does 30 damage.""}]",Tail Snap|Knockout Needle,20|30+,"|Flip 2 coins. If both of them are heads, this attack does 30 damage plus 60 more damage. If 1 or both of them are tails, this attack does 30 damage.",Lightning:×2,,Colorless,Misty's Horsea,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,gym1-10,Misty's Tentacruel,Pokémon,Water,Gym Heroes,10,Rare Holo,https://images.pokemontcg.io/gym1/10_hires.png,https://images.pokemontcg.io/gym1/10.png,70,"[{""name"": ""Flee"", ""text"": ""If an attack does damage to Misty's Tentacruel while it's your Active Pokémon, you may switch it with 1 of your Benched Pokémon, which prevents all other effects of that attack on Misty's Tentacruel. This power can't be used if Misty's Tentacruel is already Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Jellyfish Poison"", ""cost"": [""Water"", ""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Poisoned. If tails, the Defending Pokémon is now Confused.""}]",Jellyfish Poison,30,"Flip a coin. If heads, the Defending Pokémon is now Poisoned. If tails, the Defending Pokémon is now Confused.",Lightning:×2,,,Misty's Tentacool,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
