Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,base2-1,Clefable,Pokémon,Colorless,Jungle,1,Rare Holo,https://images.pokemontcg.io/base2/1_hires.png,https://images.pokemontcg.io/base2/1.png,70,,"[{""name"": ""Metronome"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. (No matter what type the Defending Pokémon is, Clefable's type is still Colorless.)""}, {""name"": ""Minimize"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""All damage done by attacks to Clefable during your opponent's next turn is reduced by 20 (after applying Weakness and Resistance).""}]",Metronome|Minimize,|,"Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. (No matter what type the Defending Pokémon is, Clefable's type is still Colorless.)|All damage done by attacks to Clefable during your opponent's next turn is reduced by 20 (after applying Weakness and Resistance).",Fighting:×2,Psychic:-30,Colorless__Colorless,Clefairy,Mitsuhiro Arita,A timid Fairy Pokémon that is rarely seen. It will run and hide the moment it senses people.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,base2-2,Electrode,Pokémon,Lightning,Jungle,2,Rare Holo,https://images.pokemontcg.io/base2/2_hires.png,https://images.pokemontcg.io/base2/2.png,90,,"[{""name"": ""Tackle"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}, {""name"": ""Chain Lightning"", ""cost"": [""Lightning"", ""Lightning"", ""Lightning""], ""convertedEnergyCost"": 3, ""damage"": ""20"", ""text"": ""If the Defending Pokémon isn't Colorless, this attack does 10 damage to each Benched Pokémon of the same type as the Defending Pokémon (including your own).""}]",Tackle|Chain Lightning,20|20,"|If the Defending Pokémon isn't Colorless, this attack does 10 damage to each Benched Pokémon of the same type as the Defending Pokémon (including your own).",Fighting:×2,,Colorless,Voltorb,Mitsuhiro Arita,It stores electrical energy under very high pressure. It often explodes with little or no provocation.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,base2-3,Flareon,Pokémon,Fire,Jungle,3,Rare Holo,https://images.pokemontcg.io/base2/3_hires.png,https://images.pokemontcg.io/base2/3.png,70,,"[{""name"": ""Quick Attack"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.""}, {""name"": ""Flamethrower"", ""cost"": [""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60"", ""text"": ""Discard 1 Fire Energy card attached to Flareon in order to use this attack.""}]",Quick Attack|Flamethrower,10+|60,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.|Discard 1 Fire Energy card attached to Flareon in order to use this attack.",Water:×2,,Colorless,Eevee,Kagemaru Himeno,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,base2-4,Jolteon,Pokémon,Lightning,Jungle,4,Rare Holo,https://images.pokemontcg.io/base2/4_hires.png,https://images.pokemontcg.io/base2/4.png,70,,"[{""name"": ""Quick Attack"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.""}, {""name"": ""Pin Missile"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""20×"", ""text"": ""Flip 4 coins. This attack does 20 damage times the number of heads.""}]",Quick Attack|Pin Missile,10+|20×,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.|Flip 4 coins. This attack does 20 damage times the number of heads.",Fighting:×2,,Colorless,Eevee,Kagemaru Himeno,"It accumulates negative ions from the atmosphere to blast out 10,000-volt lightning bolts.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,base2-5,Kangaskhan,Pokémon,Colorless,Jungle,5,Rare Holo,https://images.pokemontcg.io/base2/5_hires.png,https://images.pokemontcg.io/base2/5.png,90,,"[{""name"": ""Fetch"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw a card.""}, {""name"": ""Comet Punch"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""20×"", ""text"": ""Flip 4 coins. This attack does 20 damage times the number of heads.""}]",Fetch|Comet Punch,|20×,Draw a card.|Flip 4 coins. This attack does 20 damage times the number of heads.,Fighting:×2,Psychic:-30,Colorless__Colorless__Colorless,,Mitsuhiro Arita,The infant rarely ventures out of its mother's protective pouch until it is three years old.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,base2-6,Mr. Mime,Pokémon,Psychic,Jungle,6,Rare Holo,https://images.pokemontcg.io/base2/6_hires.png,https://images.pokemontcg.io/base2/6.png,40,"[{""name"": ""Invisible Wall"", ""text"": ""Whenever an attack (including your own) does 30 or more damage to Mr. Mime (after applying Weakness and Resistance), prevent that damage. (Any other effects of attacks still happen.) This power can't be used if Mr. Mime is Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Meditate"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Does 10 damage plus 10 more damage for each damage counter on the Defending Pokémon.""}]",Meditate,10+,Does 10 damage plus 10 more damage for each damage counter on the Defending Pokémon.,Psychic:×2,,Colorless,,Ken Sugimori,"If interrupted while miming, it will slap around the enemy with its broad hands.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,base2-7,Nidoqueen,Pokémon,Grass,Jungle,7,Rare Holo,https://images.pokemontcg.io/base2/7_hires.png,https://images.pokemontcg.io/base2/7.png,90,,"[{""name"": ""Boyfriends"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Does 20 damage plus 20 more damage for each Nidoking you have in play.""}, {""name"": ""Mega Punch"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""50"", ""text"": """"}]",Boyfriends|Mega Punch,20+|50,Does 20 damage plus 20 more damage for each Nidoking you have in play.|,Psychic:×2,,Colorless__Colorless__Colorless,Nidorina,Ken Sugimori,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,base2-8,Pidgeot,Pokémon,Colorless,Jungle,8,Rare Holo,https://images.pokemontcg.io/base2/8_hires.png,https://images.pokemontcg.io/base2/8.png,80,,"[{""name"": ""Wing Attack"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}, {""name"": ""Hurricane"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""Unless this attack Knocks Out the Defending Pokémon, return the Defending Pokémon and all cards attached to it to your opponent's hand.""}]",Wing Attack|Hurricane,20|30,"|Unless this attack Knocks Out the Defending Pokémon, return the Defending Pokémon and all cards attached to it to your opponent's hand.",Lightning:×2,Fighting:-30,,Pidgeotto,Kagemaru Himeno,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,base2-9,Pinsir,Pokémon,Grass,Jungle,9,Rare Holo,https://images.pokemontcg.io/base2/9_hires.png,https://images.pokemontcg.io/base2/9.png,60,,"[{""name"": ""Irongrip"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}, {""name"": ""Guillotine"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""50"", ""text"": """"}]",Irongrip|Guillotine,20|50,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.|",Fire:×2,,Colorless,,Kagemaru Himeno,"If it fails to crush the victim in its pincers, it will swing its victim around and toss it hard.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,base2-10,Scyther,Pokémon,Grass,Jungle,10,Rare Holo,https://images.pokemontcg.io/base2/10_hires.png,https://images.pokemontcg.io/base2/10.png,70,,"[{""name"": ""Swords Dance"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""During your next turn, Scyther's Slash attack's base damage is 60 instead of 30.""}, {""name"": ""Slash"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": """"}]",Swords Dance|Slash,|30,"During your next turn, Scyther's Slash attack's base damage is 60 instead of 30.|",Fire:×2,Fighting:-30,,,Ken Sugimori,"With ninja-like agility and speed, it can create the illusion that there is more than one of it.",,,,,,,,,,,,,,,,,,,,,,,,,
