Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,basep-1,Pikachu,Pokémon,Lightning,Wizards Black Star Promos,1,Promo,https://images.pokemontcg.io/basep/1_hires.png,https://images.pokemontcg.io/basep/1.png,60,,"[{""name"": ""Growl"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""If the Defending Pokémon attacks Pikachu during your opponent's next turn, any damage done by the attack is reduced by 10 (after applying Weakness and Resistance). (Benching either Pokémon ends this effect.)""}, {""name"": ""Thundershock"", ""cost"": [""Lightning"", ""Lightning""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}]",Growl|Thundershock,|20,"If the Defending Pokémon attacks Pikachu during your opponent's next turn, any damage done by the attack is reduced by 10 (after applying Weakness and Resistance). (Benching either Pokémon ends this effect.)|Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Fighting:×2,,Colorless,,Keiji Kinebuchi,"When several of these Pokémon gather, their electricity could build and cause lightning storms.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,basep-2,Electabuzz,Pokémon,Lightning,Wizards Black Star Promos,2,Promo,https://images.pokemontcg.io/basep/2_hires.png,https://images.pokemontcg.io/basep/2.png,60,,"[{""name"": ""Light Screen"", ""cost"": [""Lightning""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Whenever an attack does damage to Electabuzz (after applying Weakness and Resistance) during your opponent's next turn, that attack only does half the damage to Electabuzz (rounded down to the nearest 10). (Any other effects of attacks still happen.)""}, {""name"": ""Quick Attack"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.""}]",Light Screen|Quick Attack,|10+,"Whenever an attack does damage to Electabuzz (after applying Weakness and Resistance) during your opponent's next turn, that attack only does half the damage to Electabuzz (rounded down to the nearest 10). (Any other effects of attacks still happen.)|Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.",Fighting:×2,,Colorless__Colorless,,Ken Sugimori,"A wild Pokémon with a short temper. It is able to distinguish colors, and likes the color red.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,basep-3,Mewtwo,Pokémon,Psychic,Wizards Black Star Promos,3,Promo,https://images.pokemontcg.io/basep/3_hires.png,https://images.pokemontcg.io/basep/3.png,70,,"[{""name"": ""Energy Absorption"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Choose up to 2 Energy cards from your discard pile and attach them to Mewtwo.""}, {""name"": ""Psyburn"", ""cost"": [""Psychic"", ""Psychic"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": """"}]",Energy Absorption|Psyburn,|40,Choose up to 2 Energy cards from your discard pile and attach them to Mewtwo.|,Psychic:×2,,Colorless__Colorless,,Ken Sugimori,Years of genetic experiments resulted in the creation of this never-before-seen violent Pokémon.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,basep-4,Pikachu,Pokémon,Lightning,Wizards Black Star Promos,4,Promo,https://images.pokemontcg.io/basep/4_hires.png,https://images.pokemontcg.io/basep/4.png,50,,"[{""name"": ""Recharge"", ""cost"": [""Lightning""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Lightning Energy card and attach it to Pikachu. Shuffle your deck afterward.""}, {""name"": ""Thunderbolt"", ""cost"": [""Lightning"", ""Lightning"", ""Lightning""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Discard all Energy cards attached to Pikachu in order to use this attack.""}]",Recharge|Thunderbolt,|50,Search your deck for a Lightning Energy card and attach it to Pikachu. Shuffle your deck afterward.|Discard all Energy cards attached to Pikachu in order to use this attack.,Fighting:×2,,Colorless,,Ken Sugimori,"When several of these Pokémon gather, they attract so much electricity that they can cause lightning to strike.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,basep-5,Dragonite,Pokémon,Colorless,Wizards Black Star Promos,5,Promo,https://images.pokemontcg.io/basep/5_hires.png,https://images.pokemontcg.io/basep/5.png,90,"[{""name"": ""Special Delivery"", ""text"": ""Once during your turn (before your attack), you may draw a card. If you do, choose a card from your hand and put it on top of your deck. This power can't be used if Dragonite is Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Supersonic Flight"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}]",Supersonic Flight,60,"Flip a coin. If tails, this attack does nothing.",,Fighting:-30,Colorless__Colorless,Dragonair,Toshinao Aoki,This Pokémon can fly is spite of its large bulk. It is said to be able to circumnavigate the earth in just 16 hours.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,basep-6,Arcanine,Pokémon,Fire,Wizards Black Star Promos,6,Promo,https://images.pokemontcg.io/basep/6_hires.png,https://images.pokemontcg.io/basep/6.png,70,,"[{""name"": ""Quick Attack"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.""}, {""name"": ""Flames of Rage"", ""cost"": [""Fire"", ""Fire""], ""convertedEnergyCost"": 2, ""damage"": ""40+"", ""text"": ""Discard 2 Fire Energy cards attached to Arcanine in order to use this attack. This attack does 40 damage plus 10 more damage for each damage counter on Arcanine.""}]",Quick Attack|Flames of Rage,10+|40+,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.|Discard 2 Fire Energy cards attached to Arcanine in order to use this attack. This attack does 40 damage plus 10 more damage for each damage counter on Arcanine.",Water:×2,,Colorless,Growlithe,Ken Sugimori,A legendary Pokémon famous for its beauty. It looks almost as if it flies when it runs.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,basep-7,Jigglypuff,Pokémon,Colorless,Wizards Black Star Promos,7,Promo,https://images.pokemontcg.io/basep/7_hires.png,https://images.pokemontcg.io/basep/7.png,50,,"[{""name"": ""First Aid"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Remove 1 damage counter from Jigglypuff.""}, {""name"": ""Double-edge"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""Jigglypuff does 20 damage to itself.""}]",First Aid|Double-edge,|40,Remove 1 damage counter from Jigglypuff.|Jigglypuff does 20 damage to itself.,Fighting:×2,Psychic:-30,Colorless,,Keiji Kinebuchi,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,basep-8,Mew,Pokémon,Psychic,Wizards Black Star Promos,8,Promo,https://images.pokemontcg.io/basep/8_hires.png,https://images.pokemontcg.io/basep/8.png,50,,"[{""name"": ""Psywave"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Does 10 damage times the number of Energy cards attached to the Defending Pokémon.""}, {""name"": ""Devolution Beam"", ""cost"": [""Psychic"", ""Psychic""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose an evolved Pokémon (your own or your opponent's). Return the highest Stage Evolution card on that Pokémon to its player's hand. That Pokémon is no longer Asleep, Confused, Paralyzed, or Poisoned, or anything else that might be the result of an attack (just as if you had evolved it).""}]",Psywave|Devolution Beam,10×|,"Does 10 damage times the number of Energy cards attached to the Defending Pokémon.|Choose an evolved Pokémon (your own or your opponent's). Return the highest Stage Evolution card on that Pokémon to its player's hand. That Pokémon is no longer Asleep, Confused, Paralyzed, or Poisoned, or anything else that might be the result of an attack (just as if you had evolved it).",Psychic:×2,,Colorless,,Ken Sugimori,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,basep-9,Mew,Pokémon,Psychic,Wizards Black Star Promos,9,Promo,https://images.pokemontcg.io/basep/9_hires.png,https://images.pokemontcg.io/basep/9.png,50,,"[{""name"": ""Psywave"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Does 10 damage times the number of Energy cards attached to the Defending Pokémon.""}, {""name"": ""Devolution Beam"", ""cost"": [""Psychic"", ""Psychic""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose an evolved Pokémon (your own or your opponent's). Return the highest Stage Evolution card on that Pokémon to its player's hand. That Pokémon is no longer Asleep, Confused, Paralyzed, or Poisoned, or anything else that might be the result of an attack (just as if you had evolved it).""}]",Psywave|Devolution Beam,10×|,"Does 10 damage times the number of Energy cards attached to the Defending Pokémon.|Choose an evolved Pokémon (your own or your opponent's). Return the highest Stage Evolution card on that Pokémon to its player's hand. That Pokémon is no longer Asleep, Confused, Paralyzed, or Poisoned, or anything else that might be the result of an attack (just as if you had evolved it).",Psychic:×2,,Colorless,,Ken Sugimori,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,basep-10,Meowth,Pokémon,Colorless,Wizards Black Star Promos,10,Promo,https://images.pokemontcg.io/basep/10_hires.png,https://images.pokemontcg.io/basep/10.png,50,,"[{""name"": ""Cat Punch"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Flip a coin. If heads, this attack does 20 damage. If tails and if your opponent has any Benched Pokémon, he or she chooses 1 of them and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Cat Punch,,"Flip a coin. If heads, this attack does 20 damage. If tails and if your opponent has any Benched Pokémon, he or she chooses 1 of them and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fighting:×2,Psychic:-30,Colorless,,Kagemaru Himeno,Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.,,,,,,,,,,,,,,,,,,,,,,,,,
